,lemmas
"'not',",84
"'people',",57
"'know',",55
"'thank',",55
"'thing',",51
"'life',",50
"'time',",43
"'work',",37
"'good',",36
"'money',",30
"'truth',",29
"'mean',",27
"'feel',",27
"'need',",26
"'start',",26
"'want',",26
"'email',",25
"'come',",25
"'think',",25
"'world',",24
"'change',",23
"'lot',",22
"'buy',",22
"'year',",22
"'read',",21
"'help',",21
"'build',",21
"'s',",21
"'way',",21
"'book',",20
"'right',",19
"'love',",19
"'live',",19
"'share',",19
"'nearbuy',",18
"'make',",18
'thank'],17
"'ask',",17
"['ankurwarikoobot',",17
"['gabbbarsingh',",17
"'bad',",17
"'hope',",16
"['kunalb',",16
"'big',",16
"'waricrew',",16
"'company',",15
"'spend',",15
"'get',",15
"'=',",15
"'team',",15
"'say',",15
'thread'],15
"['warikoo',",14
[],14
"'day',",14
"'startup',",14
"'kunalb',",14
"'job',",14
"'today',",14
"'try',",14
"'tell',",14
"'founder',",13
"'parent',",13
"['difference',",13
"'find',",13
"'happy',",13
"'go',",13
"'hack',",13
"'yes',",12
"'set',",12
"'success',",12
"'decision',",12
"'college',",12
"'one',",12
"'experience',",12
"'happen',",12
"'twitter',",12
'time'],12
"'like',",12
"'oh',",12
"'cold',",12
"['bitter',",12
"['harsh',",11
"'let',",11
"'easy',",11
"'different',",11
"['people',",11
"'run',",11
"['know',",11
"'opportunity',",11
"'relationship',",11
"['productivity',",11
"'believe',",11
"['lie',",11
"'seek',",11
"'warikoo',",11
"'thought',",10
"'long',",10
"'paraschopra',",10
"'call',",10
"'everyday',",10
"'naval',",10
"'great',",10
"'question',",10
"'remember',",10
"'idea',",10
'work'],10
"'slow',",10
"'plan',",10
"'person',",9
"'hard',",9
"'important',",9
'-warikoo'],9
"'create',",9
"'answer',",9
"['raunak',",9
"['equation',",9
"'freedom',",9
"'choice',",9
"'busy',",8
'lot'],8
"'wow',",8
"'give',",8
"'learn',",8
"'calendar',",8
"'education',",8
"'product',",8
"'failure',",8
"['paraschopra',",8
'think'],8
"'brilliant',",8
'life'],8
"'progress',",8
"'goal',",8
"'respect',",7
"'rich',",7
"'personally',",7
"'content',",7
"'hire',",7
"'video',",7
"'smart',",7
"'comfort',",7
"'truly',",7
"'profit',",7
"'self',",7
"'write',",7
"'grow',",7
"'assume',",7
'love'],7
"'look',",7
"'hour',",7
"'die',",7
"'reason',",7
"'kid',",7
"'gift',",7
"'friend',",7
"'lie',",7
'day'],7
"'sleep',",7
"'simple',",7
"'talk',",7
'help'],7
"'whatsapp',",7
"'tweet',",7
"['world',",7
"'wrong',",7
"'save',",7
"'take',",7
"'option',",7
"'sorry',",6
"'point',",6
"'small',",6
"'strength',",6
"'ability',",6
"'realize',",6
"'man',",6
"'intern',",6
"'well',",6
"'financial',",6
"'maybe',",6
"'list',",6
"'lead',",6
"'month',",6
'yes'],6
"'quarter',",6
"'mistake',",6
"'value',",6
"'investment',",6
'people'],6
"'business',",6
"'follow',",6
"'pay',",6
"'platform',",6
"['life',",6
"'choose',",6
"'understand',",6
"'wish',",6
"'trust',",6
'year'],6
'come'],6
"'fit',",6
"'stay',",6
"'exercise',",6
"'network',",6
'money'],6
'true'],6
"'action',",6
"'india',",6
"'true',",6
"'speak',",6
"'gabbbarsingh',",6
"'beerbicepsguy',",6
'soon'],6
"'journey',",6
"'hear',",6
'live'],6
"'send',",6
'haha'],6
"'house',",6
"'care',",6
"'motivation',",6
"'toxic',",5
"'sure',",5
'need'],5
"'news',",5
"'offer',",5
"'fail',",5
"'nahi',",5
"'mahakmakharia',",5
"'week',",5
"'fear',",5
"'drop',",5
"'powerful',",5
"'agree',",5
"'outcome',",5
"'raise',",5
'hahaha'],5
"'wealth',",5
"'leadership',",5
"'typefullyapp',",5
"'win',",5
"'problem',",5
"'simply',",5
"'phd',",5
"'instead',",5
"'instagram',",5
"'wake',",5
"['ask',",5
"'dream',",5
"'privilege',",5
"'space',",5
"'forget',",5
'hai'],5
'today'],5
"'worry',",5
"'mind',",5
"['vaibhavsisinty',",5
"'quote',",5
'story'],5
'fun'],5
"'age',",5
'man'],5
"'bed',",5
"['mahakmakharia',",5
"['naval',",5
"'act',",5
"'define',",5
'not'],5
"'skill',",5
'read'],5
'ask'],5
"'form',",5
'decision'],5
"'entire',",5
"'min',",5
"'card',",5
'book'],5
"'loan',",5
"'hoon',",5
"['iammarkmanson',",5
"'thread',",5
"'play',",5
"['think',",5
"'energy',",5
"'use',",5
"'rarely',",5
"'kind',",5
"'student',",5
"'asset',",5
"'allow',",5
"'design',",5
'tell'],5
"'office',",5
'right'],5
"'will',",5
"'usually',",4
"'home',",4
"'title',",4
"'asshole',",4
"'intend',",4
"'game',",4
'th'],4
"'task',",4
"'sense',",4
"'habit',",4
"'advice',",4
"'super',",4
"['time',",4
"'thanks',",4
'h'],4
"'completely',",4
'simple'],4
"'family',",4
"'authenticity',",4
"['nishantgupta',",4
'video'],4
"'hide',",4
"'schedule',",4
"'hai',",4
"'anger',",4
"'fact',",4
"['shaneaparrish',",4
"'new',",4
"['age',",4
"'generate',",4
"'feeling',",4
'b'],4
"'story',",4
"'path',",4
"'earn',",4
"'courage',",4
"['want',",4
"'lose',",4
"'tuesday',",4
"'serve',",4
"'boy',",4
"'favorite',",4
"['bad',",4
'want'],4
"'manage',",4
"'confidence',",4
"'birthday',",4
"'pm',",4
"'tomorrow',",4
"'kunal',",4
"'case',",4
"'absolutely',",4
"['joinmanish',",4
"['good',",4
"'role',",4
'e'],4
"'credit',",4
"'place',",4
"'emailing',",4
"'purpose',",4
"'desire',",4
"'word',",4
"'rheasha',",4
"'delhi',",4
"'anshumor',",4
"'watch',",4
"'settle',",4
'wi'],4
"'consider',",4
'share'],4
"'approach',",4
"'mirror',",4
"'covid',",4
"'remind',",4
"'cause',",4
"'responsibility',",4
"'best',",4
"'measure',",4
"'nope',",4
"'race',",4
"'reflection',",4
"'personal',",4
"'average',",4
"'possible',",4
'c'],4
'email'],4
'awesome'],4
"'app',",4
'thing'],4
"['not',",4
"'event',",4
"'suck',",4
"'kill',",4
"'sign',",4
'know'],4
"'car',",4
'choice'],4
"'frankly',",4
"'manager',",4
'end'],4
"'power',",4
"['long',",4
"'distribute',",4
"'add',",4
"'high',",4
'happy'],4
"'angry',",4
'skill'],3
"'spread',",3
"'drive',",3
"'chat',",3
"'matter',",3
"'fast',",3
"'check',",3
'waricrew'],3
'follow'],3
"'emotion',",3
"'head',",3
"['davidperell',",3
"'social',",3
"'finish',",3
"'x',",3
"'poor',",3
"'thebetterindia',",3
"['subtlyperfect',",3
"'entrepreneur',",3
"['shl',",3
"'blame',",3
"'availability',",3
"'term',",3
"'competition',",3
"'young',",3
"'charge',",3
'start'],3
'enjoy'],3
"'group',",3
"'obvious',",3
"'ko',",3
"['believe',",3
"'feed',",3
"'crazy',",3
"['sahilypatel',",3
"'acknowledge',",3
"'validation',",3
'hug'],3
'w'],3
"'source',",3
"'treat',",3
"'youtube',",3
"'teach',",3
"['proffeynman',",3
'shit'],3
"'grandparent',",3
"'survival',",3
'idea'],3
"['today',",3
'good'],3
'purpose'],3
"'open',",3
"'note',",3
"'discord',",3
"'equally',",3
"'discomfort',",3
'yup'],3
"['way',",3
"'loss',",3
"'be',",3
"'attention',",3
"'number',",3
"'c',",3
"'imo',",3
"'rework',",3
'answer'],3
"'road',",3
'lie'],3
'way'],3
"'force',",3
"'terrible',",3
'yo'],3
"'see',",3
"['founder',",3
'nahi'],3
"'google',",3
"'night',",3
"'sheet',",3
"'test',",3
"'safety',",3
"'join',",3
"'sahilypatel',",3
"['puneetbirmaan',",3
"'thankful',",3
"'evaluate',",3
"'glad',",3
"'salary',",3
"'attach',",3
'let'],3
'happen'],3
'warikoo'],3
"'price',",3
'tha'],3
"['drsouravsarkar',",3
"['tripoclock',",3
"'orbit',",3
"'witness',",3
"'explore',",3
"'hi',",3
"'fault',",3
"['grow',",3
"'excuse',",3
"'gym',",3
"'excel',",3
"'level',",3
"'joinmanish',",3
"'tool',",3
"'early',",3
'buy'],3
"'mental',",3
"'key',",3
"'stupid',",3
"'core',",3
"'wealthy',",3
'blame'],3
"'operate',",3
"'mandeep',",3
'figure'],3
"'gain',",3
"'state',",3
'sir'],3
"'learning',",3
'hav'],3
"'component',",3
"'enjoy',",3
"'school',",3
'settle'],3
"'se',",3
"['itsajinkya',",3
"'minute',",3
"'common',",3
"'net',",3
"'laziness',",3
"'step',",3
"['jamesclear',",3
"'rajeshsawhney',",3
"'woh',",3
"['madhurchadha',",3
"'curious',",3
"'put',",3
"'vote',",3
"'android',",3
"'tough',",3
"'exist',",3
"'host',",3
'curiosity'],3
"'hate',",3
"['apoorvagupta',",3
"'accept',",3
"'pradologue',",3
"'calm',",3
"['thedakshsethi',",3
"'knowledge',",3
"'mein',",3
"['galjudo',",3
'acknowledge'],3
'listen'],3
"['alicodermaker',",3
"'compile',",3
"'non',",3
"'partner',",3
"'esop',",3
"'better',",3
"'sell',",3
"'human',",3
"['money',",3
'try'],3
"'consistency',",3
"'jewelry',",3
"'attempt',",3
"'mn',",3
"'daydream',",3
"'reply',",3
"['varunduggi',",3
"'raunak',",3
"['feel',",3
"'pain',",3
"'current',",3
"['year',",3
"'data',",3
"'stop',",3
"'bear',",3
"'-pm',",3
"'line',",3
"'regret',",3
"'end',",3
"'th',",3
"'financially',",3
"'chaand',",3
"['spend',",3
"'main',",3
"['dkpareek',",3
"'leader',",3
"'math',",3
'f'],3
"'listen',",3
"'maintain',",3
"'mba',",3
"'convertkit',",3
"['important',",3
"'lesson',",3
"'ceo',",3
"'pe',",3
"'hit',",3
"'ek',",3
'past'],3
"'reaction',",3
'fear'],2
"'webinar',",2
"['go',",2
'go'],2
"'motivational',",2
"'spot',",2
"'vouch',",2
"'donate',",2
'pick'],2
"'sender',",2
'ankur'],2
"'hospital',",2
"'exam',",2
"'technically',",2
'interest'],2
"'mention',",2
"'estermatter',",2
"'pick',",2
"['step',",2
"'debt',",2
'check'],2
'laziness'],2
"'medium',",2
"'brand',",2
"'rebel',",2
"'garyvee',",2
"'dhh',",2
"'youtubeindia',",2
"'focus',",2
"'empathy',",2
"['lot',",2
"'changer',",2
'thought'],2
"['remember',",2
"'jasonfried',",2
"'rishsamjain',",2
'apoorva'],2
"'dhaaga',",2
"'rely',",2
"'surely',",2
"'liquidity',",2
"'intelligence',",2
"'anymore',",2
'believe'],2
"['ashav',",2
