,lemmas
"'credit',",170
"'earth',",152
"'space',",151
"'capture',",118
'video'],65
"'image',",62
"'view',",58
"'international',",58
"'see',",57
"'nasa',",49
"'timelapse',",47
"'star',",43
"'like',",43
"'moon',",40
"'know',",40
"'look',",39
"'way',",38
"['amazing',",38
"'sun',",36
"'create',",36
"'station',",36
"'spacecraft',",31
"'footage',",31
"['timelapse',",30
"'video',",30
'station'],30
'space'],29
"'solar',",28
"'light',",28
"'galaxy',",27
"'mars',",26
"'time',",26
"'night',",26
"'size',",25
"'year',",25
'ig'],25
"'new',",24
"'planet',",24
"'watch',",23
"'photo',",23
"['elonmusk',",23
"'show',",23
"'surface',",23
"'science',",23
"'blue',",23
"'cloud',",22
"'courtesy',",22
"'astronaut',",22
"'milky',",22
"['earth',",22
"'amazing',",22
"'take',",22
"'wonderofscience',",21
"'rise',",21
"'hubble',",21
"'remote',",21
"['incredible',",21
"'whale',",21
"'ocean',",20
"'sky',",20
"'orbit',",20
"'world',",20
"'johnson',",20
"'water',",20
"'sensing',",20
"'day',",20
"['size',",20
"'sea',",19
"'large',",19
"'unit',",19
"'billion',",19
"'center',",18
"'photographer',",18
"'carl',",18
"'near',",18
"'small',",18
"'launch',",18
'source'],17
"['stunning',",17
"'nebula',",17
"'ice',",16
"'follow',",16
"'octopus',",16
"'km',",16
"'jupiter',",16
"'beautiful',",15
"'esa',",15
"'atmosphere',",15
"'call',",15
"'compare',",15
"'color',",15
"['fly',",15
"'aurora',",15
"'close',",15
"'horizon',",14
"['beautiful',",14
"'million',",14
"'butterfly',",14
"'sagan',",14
"['view',",13
"['physicsj',",13
'youtube'],13
"'pass',",13
"['astronaut',",13
"'iss',",13
"'motion',",13
"'version',",13
"'inside',",13
"'system',",13
'spacecraft'],13
"'encounter',",13
"'find',",13
"'human',",12
"'kilometer',",12
"'twitter',",12
"'cassini',",12
"'fly',",12
"'sunrise',",12
"'ring',",12
"'hole',",12
"'form',",12
"'life',",12
'nasa'],12
"['spectacular',",12
"'shuttle',",11
"'use',",11
'earth'],11
"'minute',",11
"'telescope',",11
"'air',",11
"['sunset',",11
"'great',",11
"'animal',",11
"'travel',",11
"'long',",11
"'north',",11
'sagan'],11
"['watch',",11
"['sun',",11
"['aurora',",10
"'black',",10
"'falcon',",10
"'spectacular',",10
"'beauty',",10
"'dolphin',",10
"'asteroid',",10
'th'],10
"'high',",10
"'satellite',",10
"'rocket',",10
"'tiny',",10
"['latestinspace',",10
"['starfolk',",10
"'away',",10
"'film',",10
"'visualization',",10
"'sunset',",10
'image'],10
"'pluto',",10
"['sea',",10
"'eye',",10
"'universe',",10
"'live',",9
"'lunar',",9
"'nature',",9
"'australia',",9
"'run',",9
"'leave',",9
"'original',",9
"'bend',",9
"'cover',",9
"'second',",9
"['milky',",9
"'japanese',",9
"'dance',",9
"'single',",9
"'scale',",9
"'happy',",9
"'make',",9
"'storm',",9
"'hour',",9
"'borealis',",9
"'power',",9
"'lava',",9
"'humpback',",9
"'saturn',",9
"'gravity',",9
"'turn',",9
"'flight',",9
"'contain',",9
"'cosmic',",9
"'bubble',",9
"'length',",9
"'ray',",8
"'real',",8
"'lightning',",8
"'animation',",8
"'magnetic',",8
"'giant',",8
"'camera',",8
"['international',",8
"'fall',",8
"'rover',",8
"'resolution',",8
"'tree',",8
'iss'],8
"'volcano',",8
"'grow',",8
"'play',",8
"'observatory',",8
"'plasma',",8
"'crystal',",8
"'spot',",8
"'result',",8
"'work',",8
"'massive',",8
"['read',",8
"'swim',",8
"['know',",7
"['surface',",7
"'cause',",7
"['carl',",7
"'lake',",7
"['jupiter',",7
"'marine',",7
"['mind',",7
"'hold',",7
"'place',",7
"'gas',",7
"'sight',",7
"'mile',",7
"'change',",7
"'base',",7
"'sound',",7
"'cell',",7
"'spider',",7
"'mountain',",7
"'crater',",7
"'move',",7
"'help',",7
"'set',",7
'credit'],7
"'cosmos',",7
"'dust',",7
"'window',",7
"'infrared',",7
"'go',",7
"'northern',",7
"'camouflage',",7
"'red',",7
"'ft',",7
"'curiosity',",7
'download'],7
"['sunrise',",7
"'stunning',",7
"'ultraviolet',",7
"['massive',",7
"'beach',",7
"'source',",7
"'tweet',",7
"'cat',",6
'w'],6
'e--'],6
"'shoot',",6
"'otter',",6
"'return',",6
"'spacex',",6
"'shadow',",6
'beautiful'],6
"'track',",6
"'norway',",6
"'ride',",6
"'hd',",6
"'face',",6
"'green',",6
"'distance',",6
"['spacex',",6
"'object',",6
"'tail',",6
"'feed',",6
"'age',",6
"'wide',",6
"'e',",6
"'burn',",6
"['whale',",6
'instagram'],6
"'month',",6
"'meteor',",6
"['brummo',",6
"'snow',",6
"'bear',",6
"'orbiter',",6
"'venus',",6
"'get',",6
"['natgeo',",6
"'speed',",6
"'dream',",6
"'fish',",6
"'visible',",6
"'h',",6
"'booster',",6
"'walk',",6
"'incredible',",6
"'bird',",6
"'mind',",6
"'dark',",6
"'fill',",6
"'river',",6
"'simulation',",6
"'land',",6
"['close',",6
"'comet',",6
"'bright',",6
"['baby',",6
"'approach',",6
"'come',",6
"'end',",6
"'mass',",6
"'baby',",6
"['nasa',",6
"'flow',",6
"['happen',",5
"'sleep',",5
"'collide',",5
'sp'],5
"['octopus',",5
"'big',",5
"'ground',",5
"['mesmerizing',",5
"'wing',",5
"'beneath',",5
"'art',",5
"'circle',",5
"'p',",5
'day'],5
"'build',",5
"'think',",5
"'movement',",5
'cred'],5
"'far',",5
"'progress',",5
"'foot',",5
"'suspend',",5
"['zoom',",5
"'africa',",5
"'america',",5
"'behavior',",5
"'boat',",5
"['saturn',",5
"'exploration',",5
"['original',",5
"'rain',",5
"'dot',",5
"'leaf',",5
'h'],5
"'glacier',",5
'center'],5
"'landing',",5
"'eagle',",5
"'jpl',",5
"'mother',",5
"'dragon',",5
"['image',",5
"['rare',",5
"'name',",5
"'start',",5
"'lapse',",5
"'rock',",5
"'line',",5
"'youtube',",5
"'venture',",5
"'rainbow',",5
'e'],5
"'wild',",5
"'flock',",5
"'spacewalk',",5
"'catch',",5
"'little',",5
'view'],5
"'park',",5
"'feel',",5
"'jelly',",5
"['tiny',",5
"'visualize',",5
"'summer',",5
"'try',",5
"'moth',",5
"'glow',",5
"'discover',",5
"'orion',",5
"['space',",5
"'read',",5
"'love',",5
"'salt',",5
"'island',",5
"'demonstrate',",5
"'occur',",5
"'southern',",5
"'home',",5
"'display',",5
"'crew',",5
"'shore',",5
"'slug',",5
"'appear',",5
"'deep',",5
"'calf',",5
"'k',",5
"'enjoy',",5
"'spin',",5
"'andromeda',",5
"'slow',",5
"'murmuration',",5
"['fascinating',",5
"'hot',",5
"'coast',",5
"'touch',",5
'scale'],5
"'transparent',",5
"'seat',",4
"'south',",4
'sun'],4
"'x',",4
"'comparison',",4
"'kind',",4
"'asia',",4
"'downtown',",4
"['large',",4
"'drive',",4
"'vincent',",4
"'harry',",4
"['giant',",4
"'cool',",4
"'certainty',",4
"'photography',",4
"'total',",4
"'effect',",4
'johnson'],4
"['star',",4
"'pale',",4
"'link',",4
"'matter',",4
"'angle',",4
"['group',",4
"'canada',",4
"'observable',",4
"'purchase',",4
'capture'],4
'c'],4
"'blow',",4
"'los',",4
"'relative',",4
"'japan',",4
"'wave',",4
"'van',",4
"['video',",4
"'understanding',",4
"'rotation',",4
"'microscopic',",4
"['magical',",4
"'iceland',",4
"'albert',",4
"'endeavour',",4
"'m',",4
"'fuji',",4
"'david',",4
"'perform',",4
"'sand',",4
"'download',",4
"'open',",4
"'penguin',",4
"'voyager',",4
"'unique',",4
"'fire',",4
"'national',",4
"['rocket',",4
"'halo',",4
"'specie',",4
"'grain',",4
"'soyuz',",4
"'estimate',",4
"'illusion',",4
"'print',",4
"'bruce',",4
"'super',",4
"'wind',",4
"['mount',",4
"'canyon',",4
"'perfect',",4
"'apollo',",4
"'ejection',",4
'star'],4
"'frozen',",4
"'erupt',",4
"['dwell',",4
"'leap',",4
"'heavy',",4
"'drone',",4
"'pillar',",4
"['visualize',",4
"'marcus',",4
"'desert',",4
"'strong',",4
"'trace',",4
"'give',",4
"'tardigrade',",4
"'shell',",4
"'illuminate',",4
"['apod',",4
"'complete',",4
"'flat',",4
"'pacific',",4
"'example',",4
"'thin',",4
"'actually',",4
