,lemmas
"'work',",74
"'new',",65
"'paper',",64
"'learn',",62
"'caltech',",53
"'talk',",52
"'student',",44
"'think',",44
"'research',",43
"'time',",40
"'people',",39
"'ml',",38
"'great',",38
"'year',",35
"'ai',",33
"'like',",32
"'look',",32
"'learning',",31
"'covid',",31
"'die',",28
"'want',",28
"'good',",25
"'machine',",25
"'today',",25
"'check',",25
"'twitter',",25
"'phd',",24
"'workshop',",24
"'science',",24
"['facesofcovid',",24
"'come',",24
"['yuelabcaltech',",23
"'thank',",22
"['caltech',",22
"'day',",22
"'neuripsconf',",22
"'covid-',",21
"'join',",21
"'model',",21
"'know',",21
"'deep',",20
"'control',",20
"'week',",20
"'researcher',",20
"'interesting',",19
"'pm',",19
"'point',",18
"'help',",18
"'lot',",18
"'get',",18
"'neural',",18
"'video',",18
"'group',",18
"'share',",17
"'program',",17
"'interested',",17
"'post',",17
"'study',",17
"'find',",17
"'seminar',",17
"'need',",16
"'problem',",16
"'thread',",16
"'recent',",16
"'thing',",16
"'neurips',",16
"'live',",15
"['kevinkaichuang',",15
"'yisongyue',",15
"'way',",15
"'read',",15
"'lead',",15
"'tweet',",14
"'president',",14
"'datum',",14
"'dr',",14
"'challenge',",14
"'use',",14
"'human',",14
"'world',",14
"'review',",13
"'behavior',",13
"'month',",13
"['kldivergence',",13
"'say',",13
"'open',",13
"'position',",13
"'faculty',",13
"'submission',",13
"'agree',",13
"'lab',",13
"'start',",13
"'meet',",13
"'include',",13
"'write',",13
"'co',",13
"'amazing',",13
"'announce',",12
"'high',",12
"'question',",12
"'field',",12
"'feature',",12
"['jenjsun',",12
"'give',",12
"'rl',",12
"'not',",12
"'present',",12
"'happen',",12
"'hard',",12
"'trump',",12
"'go',",12
"'case',",12
"['saberatalukder',",12
"['yoavgo',",12
"'sure',",12
"'love',",12
"'task',",12
"'system',",12
"'data',",12
"'tell',",11
"'invite',",11
"'hear',",11
"'course',",11
"'postdoc',",11
"'create',",11
"'jenjsun',",11
"'hire',",11
"'test',",11
"'icml',",11
"'mean',",11
"'author',",11
"'vaccine',",11
"'real',",11
"'algorithm',",11
"'feel',",11
"'excited',",10
"'large',",10
"['deliprao',",10
"'number',",10
"'community',",10
"'lecture',",10
"'series',",10
"'deadline',",10
"'excite',",10
"'online',",10
"'understand',",10
"'s',",10
"'happy',",10
'thread'],10
"'consider',",10
"'social',",10
"'mars',",10
"'design',",10
"'method',",10
"'process',",10
"'try',",10
"['trustworthyml',",10
"'mind',",10
"'yeah',",10
"'americans',",10
"'eg',",10
"'base',",10
"'free',",10
"'release',",10
"'drive',",9
"['sarahmojarad',",9
"'area',",9
"'professor',",9
"'bit',",9
'th'],9
"'right',",9
"'apply',",9
'f'],9
"'brain',",9
"'accept',",9
"'hour',",9
"['andrewyang',",9
"'self',",9
