,lemmas
"'new',",75
"['impactpartnrs',",63
"'client',",60
"'good',",46
"['seinfeldism',",41
"'recipe',",36
"['zabackj',",36
"'not',",33
[],32
"'say',",32
"'familyoffice',",32
"'thank',",31
"'seinfeld',",28
"'get',",28
"'look',",25
"['thehill',",25
"'go',",24
"'se',",24
"['seinfeld',",24
'seinfeldtv'],22
"['cnbc',",22
"'big',",21
"'time',",20
"'like',",20
"'great',",20
"'bmw',",20
"['alex',",19
"'day',",19
"'work',",19
"'year',",19
"'want',",19
"'george',",18
"['forbes',",18
"'global',",17
"'happy',",17
"'s',",17
"'include',",16
"'bitcoin',",16
"'ceo',",16
"'life',",16
"'feel',",16
"'th',",16
"['esquire',",16
"'story',",16
"'dinner',",15
"'venturecapital',",15
"'cheddar',",15
"'morning',",15
"'thing',",15
"'today',",15
"'million',",14
"'chicken',",14
"['good',",14
"'need',",14
"'share',",13
"'know',",13
'thekitchn'],13
"'investor',",13
"'generation',",13
"['thekitchn',",13
"'people',",13
"'consuelocostin',",13
"'night',",13
"'vaccine',",13
"'impactpartnrs',",13
"'vaccinate',",12
"'think',",12
"'company',",12
"'eat',",12
"'bmwusa',",12
"'watch',",12
"'return',",12
"'see',",12
"'world',",12
"'man',",12
"'startup',",12
"'be',",12
'startrek'],12
"'stand',",12
"'apple',",11
"'heiress',",11
"'vanderbilt',",11
"'tech',",11
"'right',",11
'quote'],11
"'business',",11
"'bush',",11
"'jersey',",11
"['robbreport',",11
"'x',",11
"'home',",11
"['business',",11
"'startrek',",11
"'star',",11
"['valaafshar',",11
"'join',",11
"'start',",11
"['businessinsider',",10
"'sale',",10
"'billion',",10
"'week',",10
"'food',",10
"'long',",10
"'announce',",10
"'earth',",10
"'little',",10
"'space',",10
"'biden',",10
"'wealth',",10
"['husband',",10
"'try',",9
"'birthday',",9
"'firm',",9
'alex'],9
"'pay',",9
"'deal',",9
"'director',",9
"'month',",9
"'air',",9
"'fan',",9
"'job',",9
"'margaret',",9
'business'],9
"['rexchapman',",9
"'change',",9
"'=',",9
"'way',",9
"'americans',",9
"'help',",8
"'businessinsider',",8
"'iphone',",8
'eatingwell'],8
"'forbes',",8
"'billionaire',",8
"'april',",8
"'love',",8
"'w',",8
"'piece',",8
"'pandemic',",8
"['bayareawriter',",8
"'welcome',",8
"'jillwagnertv',",8
"'friend',",8
"'kramer',",8
'f'],8
"'fly',",8
"'family',",8
"'come',",8
"'find',",8
'impactpartnrs'],8
"'second',",8
"'thisisinsider',",8
"'make',",8
"'pasta',",8
"'talk',",8
"'thatcher',",8
"'asian',",8
"'call',",8
"'guilty',",8
"'party',",8
"'heres',",8
"'run',",8
"['easy',",8
"'excite',",8
"'salad',",8
"'covid',",8
"'republican',",8
"'wall',",8
'https'],8
"['bw',",7
'second'],7
"'article',",7
"'give',",7
"'dragon',",7
"'real',",7
"'news',",7
"'black',",7
"'alex',",7
"'brand',",7
"'joe',",7
"'turn',",7
"'scoop',",7
"'nj',",7
"'potus',",7
"'hcuccinello',",7
"'enjoy',",7
"'friday',",7
"['belmardays',",7
"'wsj',",7
"'stock',",7
'th'],7
"['nypost',",7
"'far',",7
"'take',",7
"['trekcore',",7
"'open',",7
"'hear',",7
"'lead',",7
"'sell',",7
"'trek',",7
"['trekmovie',",7
"'medium',",7
"'rise',",7
"'break',",7
"'high',",7
"['carolmassar',",7
"'search',",7
"'hit',",7
"'check',",6
"'ready',",6
"'industry',",6
"['reuters',",6
"'feature',",6
"'mayo',",6
"'base',",6
"'exclusive',",6
"'taco',",6
"'bring',",6
"'trump',",6
'buzzfeed'],6
"'absolutely',",6
"'monday',",6
"'tell',",6
"'wear',",6
'esquire'],6
"'america',",6
"'employee',",6
"'half',",6
'seinfeld'],6
"'owner',",6
"'tax',",6
"'pizza',",6
"'roll',",6
"'manage',",6
"['alexrkonrad',",6
"'state',",6
"'learn',",6
"'edt',",6
"'live',",6
"'happen',",6
"'astronaut',",6
"'jerry',",6
"'market',",6
"'crew',",6
"'price',",6
"'dose',",6
"'woman',",6
"'bakermachado',",6
"'human',",6
"'perfect',",6
"'amazing',",6
"['nichcarlson',",6
"'style',",6
"['not',",6
"'face',",6
"'let',",6
"'raise',",6
"'team',",6
"'use',",6
"'marcvarta',",6
"'close',",6
"'perdue',",6
"'dcfinance',",6
"['theeconomist',",6
"'trader',",6
'parademagazine'],6
"'nd',",6
"'covid-',",6
"'set',",6
"'name',",6
"'american',",6
"'rebeccaszkutak',",6
"'write',",6
"'clubhouse',",6
"'leader',",6
"'movie',",6
"'de',",6
"'deserve',",6
"'alexrkonrad',",6
"'coffee',",6
"'issue',",6
"'report',",6
"'bake',",6
"'post',",5
"'vaccineswork',",5
'relevancevc'],5
"'chinese',",5
"'beef',",5
"'capital',",5
"'step',",5
"'anglo',",5
"['be',",5
"['katieroof',",5
"'beautiful',",5
"['bmwblog',",5
'forbes'],5
"'grow',",5
"'bizcarson',",5
"'drink',",5
"'giuliani',",5
"'drive',",5
"'history',",5
"'mean',",5
"'kind',",5
"'saxon',",5
"'economy',",5
"'moment',",5
"'nashville',",5
"'wheel',",5
"'yes',",5
"'interest',",5
"'build',",5
"['jivedurkey',",5
"'facebook',",5
"'warn',",5
"'credit',",5
"'summer',",5
'businessinsider'],5
"'have',",5
"'office',",5
"['fastcompany',",5
"'ipo',",5
"'cameronnewton',",5
"['roxannetaylor',",5
"'mind',",5
"'place',",5
"'lot',",5
"'spring',",5
'bmwusa'],5
"'swig',",5
"'believe',",5
"['love',",5
"'crew-',",5
"'enterprise',",5
"['rebeccaszkutak',",5
"'delicious',",5
"'favorite',",5
'cheddar'],5
"'crypto',",5
"'cheese',",5
"'deep',",5
"'lose',",5
"'white',",5
'nytimes'],5
"'guy',",5
"'host',",5
"'shoot',",5
"['dianebrady',",5
"'wonderful',",5
"'country',",5
"'late',",5
"'reaction',",5
"'will',",5
"'pm',",5
'https:/'],5
"'buffett',",5
"'vote',",5
"'founder',",5
"'daily',",5
"'winner',",5
"'quality',",5
"'private',",5
"'buy',",5
"'modernatx',",5
"'tomorrow',",5
"'stop',",5
"'future',",5
"['jaykolbe',",5
"'meet',",5
"'leave',",5
"'electric',",5
"['startrek',",5
"'deliver',",5
"'kent',",5
"'warren',",4
"'fully',",4
"['day',",4
"'hate',",4
'gqmagazine'],4
"'worker',",4
"'show',",4
"'remote',",4
"'miss',",4
'familyoffice'],4
"'handle',",4
"'embassy',",4
"'cryptocurrency',",4
'day'],4
"'investment',",4
"'bad',",4
"'kristenscholer',",4
"'value',",4
'year'],4
"'frank',",4
"['ajs',",4
"'scene',",4
"'easy',",4
"'secret',",4
"'yesterday',",4
"['happy',",4
"'iii',",4
'twitter'],4
