,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1388512983899332617,Atul_Gawande,2021-05-01 15:17:47,en,highly recommend thread,1030,416,I highly recommend this thread. https://t.co/7sWJEpi0x6,"[highly, recommend, thread]","['highly', 'recommend', 'thread']"
1,1388347714136682505,Atul_Gawande,2021-05-01 04:21:03,en,ashishkjha: today india became nation pass k cases one day: k test deaths true infections deaths l,0,2442,"RT @ashishkjha: Today, India became the only nation to pass 400K cases in one day: 402K

21% test +

3500 deaths

True infections, deaths l…","[ashishkjha:, today, india, became, nation, pass, k, cases, one, day:, k, test, deaths, true, infections, deaths, l]","['ashishkjha', 'today', 'india', 'nation', 'pass', 'k', 'case', 'day', 'k', 'test', 'death', 'true', 'infection', 'death', 'l']"
2,1388270433057841155,Atul_Gawande,2021-04-30 23:13:58,en,doesnt way indias southern states kerala tamil nadu decades better ru,314,96,"""It doesn’t have to be this way. India’s southern states of Kerala and Tamil Nadu have, for decades, been better ru… https://t.co/Ny0fsVtR5G","[doesnt, way, indias, southern, states, kerala, tamil, nadu, decades, better, ru]","['not', 'way', 'indias', 'southern', 'states', 'kerala', 'tamil', 'nadu', 'decade', 'better', 'ru']"
3,1388155559778607105,Atul_Gawande,2021-04-30 15:37:30,en,succinct distressing update state india's covid crisis,87,33,"A succinct, if distressing, update on the state of India's COVID crisis. https://t.co/8x0Ir3ofYI","[succinct, distressing, update, state, india's, covid, crisis]","['succinct', 'distressing', 'update', 'state', 'india', 'covid', 'crisis']"
4,1386371125807042561,Atul_Gawande,2021-04-25 17:26:48,en,agree precisely kind concrete assistance needed immediate effect effect weeks,510,80,Agree. Precisely the kind of concrete assistance needed — some with immediate effect and some with effect in weeks… https://t.co/Ybw1jl6k2n,"[agree, precisely, kind, concrete, assistance, needed, immediate, effect, effect, weeks]","['agree', 'precisely', 'kind', 'concrete', 'assistance', 'need', 'immediate', 'effect', 'effect', 'week']"
5,1386005277137383426,Atul_Gawande,2021-04-24 17:13:03,en,bhramarbiostat: right regardless models know tidal wave hitting us picket fences beat need,0,124,"RT @BhramarBioStat: Right now regardless of the models, we know a tidal wave is hitting us and we have picket fences to beat it. We need in…","[bhramarbiostat:, right, regardless, models, know, tidal, wave, hitting, us, picket, fences, beat, need]","['bhramarbiostat', 'right', 'regardless', 'model', 'know', 'tidal', 'wave', 'hit', 'picket', 'fence', 'beat', 'need']"
6,1386004298878885890,Atul_Gawande,2021-04-24 17:09:10,en,another hospital sir gangaram one delhis great hospitalsa place visiting surgeonand,545,229,"Another hospital, Sir Gangaram, is one of Delhi’s great hospitals—a place I have been a visiting surgeon—and had 25… https://t.co/1z3wCFB8iw","[another, hospital, sir, gangaram, one, delhis, great, hospitalsa, place, visiting, surgeonand]","['hospital', 'sir', 'gangaram', 'delhis', 'great', 'hospitalsa', 'place', 'visit', 'surgeonand']"
7,1386004297889034243,Atul_Gawande,2021-04-24 17:09:09,en,delhi hospital covid patients oxygen nearly oxygen supplies,493,193,This Delhi hospital has 345 COVID patients on oxygen but is nearly out of oxygen supplies. https://t.co/uR39urbp0d,"[delhi, hospital, covid, patients, oxygen, nearly, oxygen, supplies]","['delhi', 'hospital', 'covid', 'patient', 'oxygen', 'nearly', 'oxygen', 'supply']"
8,1386004296421060610,Atul_Gawande,2021-04-24 17:09:09,en,oxygen level guard balrampur hospital letting enter disturbing pi,5075,2727,"""Now my oxygen level is 50, and the guard at the Balrampur hospital is not letting me enter.”

Such a disturbing pi… https://t.co/Lf2QsQjRTk","[oxygen, level, guard, balrampur, hospital, letting, enter, disturbing, pi]","['oxygen', 'level', 'guard', 'balrampur', 'hospital', 'let', 'enter', 'disturb', 'pi']"
9,1385804242322173953,Atul_Gawande,2021-04-24 03:54:13,en,good,334,48,These are so good. https://t.co/X464mbQrhL,[good],['good']
10,1385704887607037952,Atul_Gawande,2021-04-23 21:19:25,en,oop meant kakape,5,0,Oop. I meant @kakape does.,"[oop, meant, kakape]","['oop', 'mean', 'kakape']"
11,1385704627862188033,Atul_Gawande,2021-04-23 21:18:23,en,kakapo stats advisory meeting rare,25,2,.@kakapo has the stats from the advisory meeting on just how rare. https://t.co/3Rvm2CEr75,"[kakapo, stats, advisory, meeting, rare]","['kakapo', 'stats', 'advisory', 'meeting', 'rare']"
12,1385704626419376129,Atul_Gawande,2021-04-23 21:18:22,en,vote recommends lift long pause jnj vaccine adding warning rare cases caused cl,62,13,The vote recommends lift long the pause on the JNJ vaccine and adding a warning that in rare cases it has caused cl… https://t.co/G1TQ0IpZvO,"[vote, recommends, lift, long, pause, jnj, vaccine, adding, warning, rare, cases, caused, cl]","['vote', 'recommend', 'lift', 'long', 'pause', 'jnj', 'vaccine', 'add', 'warn', 'rare', 'case', 'cause', 'cl']"
13,1385600289072427008,Atul_Gawande,2021-04-23 14:23:46,en,also clear: vaccination rate hcws settings acceptable case tells requiring,2475,413,"Also clear: a 50% vaccination rate for HCWs in such settings is not acceptable. 

This case tells me that requiring… https://t.co/4rWfbnFKde","[also, clear:, vaccination, rate, hcws, settings, acceptable, case, tells, requiring]","['clear', 'vaccination', 'rate', 'hcw', 'setting', 'acceptable', 'case', 'tell', 'require']"
14,1385600288174792705,Atul_Gawande,2021-04-23 14:23:46,en,vaccine effectiveness symptomatic infection protection death clearly nursin,871,169,"Vaccine effectiveness against symptomatic infection was 87%. Protection against death was 94%. 

Clearly, in nursin… https://t.co/H62Ymv9yzn","[vaccine, effectiveness, symptomatic, infection, protection, death, clearly, nursin]","['vaccine', 'effectiveness', 'symptomatic', 'infection', 'protection', 'death', 'clearly', 'nursin']"
15,1385600285943504896,Atul_Gawande,2021-04-23 14:23:46,en,let's unpack details q: vax ( doses pfizer) work absolutely remarkable - perfec,761,259,"Let's unpack the details. 

Q: Did the vax (2 doses of Pfizer) work? Absolutely. It was remarkable - but not perfec… https://t.co/bFIeEb7mPE","[let's, unpack, details, q:, vax, (, doses, pfizer), work, absolutely, remarkable, -, perfec]","['let', 'unpack', 'detail', 'q', 'vax', 'doses', 'pfizer', 'work', 'absolutely', 'remarkable', 'perfec']"
16,1385600281052860419,Atul_Gawande,2021-04-23 14:23:44,en,outbreak vital understand shows still face younger folks go unvaccinated health,4924,2540,"This outbreak is vital to understand. It shows what we still face if younger folks go unvaccinated. 

47% of health… https://t.co/Av03xEbpPO","[outbreak, vital, understand, shows, still, face, younger, folks, go, unvaccinated, health]","['outbreak', 'vital', 'understand', 'show', 'face', 'young', 'folk', 'unvaccinated', 'health']"
17,1385423226080309252,Atul_Gawande,2021-04-23 02:40:11,en,apoorvanyc: breaking: pfizer-biontech moderna vaccines effectively prevent serious illness death b var,0,519,"RT @apoorva_nyc: BREAKING: The Pfizer-BioNTech and Moderna vaccines will effectively prevent serious illness and death from B.1526, the var…","[apoorvanyc:, breaking:, pfizer-biontech, moderna, vaccines, effectively, prevent, serious, illness, death, b, var]","['apoorvanyc', 'break', 'pfizer', 'biontech', 'moderna', 'vaccine', 'effectively', 'prevent', 'illness', 'death', 'b', 'var']"
18,1385350242661453824,Atul_Gawande,2021-04-22 21:50:11,en,incredible thank america,372,45,Incredible. Thank you America. https://t.co/A2HpTbfT1C,"[incredible, thank, america]","['incredible', 'thank', 'america']"
