,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390130691615174657,BeardAndBoujeee,2021-05-06 02:25:58,en,jacobcote mattmccarthy couldnt think name thats guy ooof one expensive ass minor leaguer,0,0,@Jacobcote4 @MattMcCarthy985 I couldn’t think of his name but that’s the guy. Ooof one expensive ass minor leaguer,"[jacobcote, mattmccarthy, couldnt, think, name, thats, guy, ooof, one, expensive, ass, minor, leaguer]","['jacobcote', 'mattmccarthy', 'not', 'think', 's', 'guy', 'ooof', 'expensive', 'ass', 'minor', 'leaguer']"
1,1390045928732643336,BeardAndBoujeee,2021-05-05 20:49:09,en,lookphatt jaredcarrabis idc lol stop,0,0,@lookphatt @Jared_Carrabis @idc5309 Lol stop,"[lookphatt, jaredcarrabis, idc, lol, stop]","['lookphatt', 'jaredcarrabis', 'idc', 'lol', 'stop']"
2,1389929673585532940,BeardAndBoujeee,2021-05-05 13:07:12,en,nhlplayersafety yall actively trying destroy pr sport,0,0,@NHLPlayerSafety Are y’all actively trying to destroy your PR? Or just your sport?,"[nhlplayersafety, yall, actively, trying, destroy, pr, sport]","['nhlplayersafety', 'actively', 'try', 'destroy', 'pr', 'sport']"
3,1389899735247491073,BeardAndBoujeee,2021-05-05 11:08:14,en,even audacity question work ethic people claim victim wait staff res,1,0,And then have even more audacity to question the work ethic of people and claim victim to having no wait staff. Res… https://t.co/TLjutKlaon,"[even, audacity, question, work, ethic, people, claim, victim, wait, staff, res]","['audacity', 'question', 'work', 'ethic', 'people', 'claim', 'victim', 'wait', 'staff', 'res']"
4,1389899450118774786,BeardAndBoujeee,2021-05-05 11:07:06,en,hear restaurants trouble hiring workers serve cook response fix wage system,0,0,I hear restaurants are having trouble hiring workers to serve and cook. My response to this is fix the wage system… https://t.co/0MOkHy3fu1,"[hear, restaurants, trouble, hiring, workers, serve, cook, response, fix, wage, system]","['hear', 'restaurant', 'trouble', 'hire', 'worker', 'serve', 'cook', 'response', 'fix', 'wage', 'system']"
5,1389645323585339397,BeardAndBoujeee,2021-05-04 18:17:18,en,ive unwittingly watching greg kinnear movie marathon every single one amazing,0,0,I’ve unwittingly been watching a Greg Kinnear movie marathon 🤣 every single one has had him in it. Amazing,"[ive, unwittingly, watching, greg, kinnear, movie, marathon, every, single, one, amazing]","['have', 'unwittingly', 'watch', 'greg', 'kinnear', 'movie', 'marathon', 'single', 'amazing']"
6,1389614418254733315,BeardAndBoujeee,2021-05-04 16:14:29,en,fucking hell finally wifi,0,0,Fucking hell I finally have WiFi,"[fucking, hell, finally, wifi]","['fucking', 'hell', 'finally', 'wifi']"
7,1389550459174760451,BeardAndBoujeee,2021-05-04 12:00:20,und,vgfgamers:,0,86,RT @VGFGamers: https://t.co/nOjJdUCo0C,[vgfgamers:],['vgfgamer']
8,1388931797250158593,BeardAndBoujeee,2021-05-02 19:02:00,en,tedcruz underage gambling anyone lol,0,0,@tedcruz Underage gambling anyone lol,"[tedcruz, underage, gambling, anyone, lol]","['tedcruz', 'underage', 'gamble', 'lol']"
9,1388931173108355073,BeardAndBoujeee,2021-05-02 18:59:31,en,didnt know cat bites dirtier dog bites lol shit ive got asinine lmao,0,0,I didn’t know cat bites were dirtier than dog bites lol the shit I’ve got to do now for this is asinine lmao,"[didnt, know, cat, bites, dirtier, dog, bites, lol, shit, ive, got, asinine, lmao]","['not', 'know', 'cat', 'bite', 'dirty', 'dog', 'bite', 'lol', 'shit', 'have', 'get', 'asinine', 'lmao']"
10,1388912688936407046,BeardAndBoujeee,2021-05-02 17:46:04,en,got bitten fucking cat today rocking two big ass holes lol,0,0,"Got bitten by a fucking cat today, rocking out with two big ass holes lol","[got, bitten, fucking, cat, today, rocking, two, big, ass, holes, lol]","['get', 'bite', 'fucking', 'cat', 'today', 'rock', 'big', 'ass', 'hole', 'lol']"
11,1388848041130696705,BeardAndBoujeee,2021-05-02 13:29:11,en,kim jong un going unify americans doesnt quit bullshit lmao every single one us americans would,0,0,Kim Jong Un is going to unify Americans if he doesn’t quit the bullshit lmao every single one of us Americans would… https://t.co/0oLbzSfik7,"[kim, jong, un, going, unify, americans, doesnt, quit, bullshit, lmao, every, single, one, us, americans, would]","['kim', 'jong', 'un', 'go', 'unify', 'americans', 'not', 'quit', 'bullshit', 'lmao', 'single', 'americans']"
12,1388090684243054592,BeardAndBoujeee,2021-04-30 11:19:43,en,thayerthomas know wont,0,0,@ThayerThomas You know he won’t be ☺️,"[thayerthomas, know, wont]","['thayerthomas', 'know', 'will', 'not']"
13,1388089044366680064,BeardAndBoujeee,2021-04-30 11:13:12,en,rapsheet: cant,0,5172,RT @RapSheet: I can’t.,"[rapsheet:, cant]","['rapsheet', 'not']"
