,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390126258474737668,CraigWilcoxMHA,2021-05-06 02:08:21,en,theres something packaging kids toys seems excessive wrong,0,0,There’s something about the packaging of kids’ toys that just seems excessive and wrong. https://t.co/5MywAzqSXM,"[theres, something, packaging, kids, toys, seems, excessive, wrong]","['s', 'package', 'kid', 'toy', 'excessive', 'wrong']"
1,1390100454898499587,CraigWilcoxMHA,2021-05-06 00:25:49,en,modrnhealthcr good things seems like american health care system perfectly designed,0,0,"@modrnhealthcr For all the good things it does, it seems like the American health care system is perfectly designed… https://t.co/UaV115ynL1","[modrnhealthcr, good, things, seems, like, american, health, care, system, perfectly, designed]","['modrnhealthcr', 'good', 'thing', 'like', 'american', 'health', 'care', 'system', 'perfectly', 'design']"
2,1390099071260454914,CraigWilcoxMHA,2021-05-06 00:20:20,en,necessarily good news cost standpoint goldsmith said,0,0,"""It's not necessarily good news from a cost standpoint,"" Goldsmith said. https://t.co/A7iWEHzxZz","[necessarily, good, news, cost, standpoint, goldsmith, said]","['necessarily', 'good', 'news', 'cost', 'standpoint', 'goldsmith', 'say']"
3,1389676213682073606,CraigWilcoxMHA,2021-05-04 20:20:02,en,going need hospitals,0,0,We’re going to need those hospitals... https://t.co/tpN9lE2mjs,"[going, need, hospitals]","['go', 'need', 'hospital']"
4,1389674836075503617,CraigWilcoxMHA,2021-05-04 20:14:34,en,korbheather im raising year-old one girls parenting tips appreciated,0,0,@korb_heather I’m raising a 7 year-old one of those girls. Any parenting tips appreciated.,"[korbheather, im, raising, year-old, one, girls, parenting, tips, appreciated]","['korbheather', 'be', 'raise', 'year', 'old', 'girl', 'parenting', 'tip', 'appreciate']"
5,1389360893528473602,CraigWilcoxMHA,2021-05-03 23:27:04,en,medicare advantage agent tell people never reach maximum out-of-pocket,1,0,"As a Medicare Advantage agent they tell me that most people never reach their Maximum Out-of-pocket, but what about… https://t.co/F6Wj5VzoqI","[medicare, advantage, agent, tell, people, never, reach, maximum, out-of-pocket]","['medicare', 'advantage', 'agent', 'tell', 'people', 'reach', 'maximum', 'pocket']"
6,1387996592846774273,CraigWilcoxMHA,2021-04-30 05:05:50,en,ralstonreports nvgop rs still calling people names like middle school hoping society grown b,1,0,@RalstonReports @NVGOP Rs still be calling people names like in middle school. I was hoping our society had grown b… https://t.co/CT9S3FHEzI,"[ralstonreports, nvgop, rs, still, calling, people, names, like, middle, school, hoping, society, grown, b]","['ralstonreports', 'nvgop', 'rs', 'call', 'people', 'name', 'like', 'middle', 'school', 'hope', 'society', 'grow', 'b']"
7,1387952599270248456,CraigWilcoxMHA,2021-04-30 02:11:01,en,great decision governor smallest government almost states could help us deepen ou,0,0,"Great decision, governor. We have the smallest government of almost all the states, so this could help us deepen ou… https://t.co/FdSyCIUhvX","[great, decision, governor, smallest, government, almost, states, could, help, us, deepen, ou]","['great', 'decision', 'governor', 'small', 'government', 'state', 'help', 'deepen', 'ou']"
8,1387883079017013248,CraigWilcoxMHA,2021-04-29 21:34:46,en,misterchambo guess know yet guess could cancelled whole thing,1,1,"@misterchambo I guess we don't know that yet. My guess is that they could have cancelled the whole thing, but they… https://t.co/mPBOP1sNZR","[misterchambo, guess, know, yet, guess, could, cancelled, whole, thing]","['misterchambo', 'guess', 'know', 'guess', 'cancel', 'thing']"
9,1387880615261859844,CraigWilcoxMHA,2021-04-29 21:24:58,en,misterchambo stuff redundant largely irrelevant difference medicare pays,1,1,"@misterchambo No, the MA stuff was redundant and largely irrelevant. The difference between what Medicare pays for… https://t.co/v0CFi6siJ9","[misterchambo, stuff, redundant, largely, irrelevant, difference, medicare, pays]","['misterchambo', 'stuff', 'redundant', 'largely', 'irrelevant', 'difference', 'medicare', 'pay']"
