,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390088710935482368,DocVatsa,2021-05-05 23:39:09,en,zahangir chaitanyasetty sonusood u said diff comment clinically remdesivir evidence benefit,0,0,@zahangir85 @ChaitanyaSetty1 @SonuSood As u said diff to comment clinically. But Remdesivir does not have evidence of benefit.,"[zahangir, chaitanyasetty, sonusood, u, said, diff, comment, clinically, remdesivir, evidence, benefit]","['zahangir', 'chaitanyasetty', 'sonusood', 'u', 'say', 'diff', 'comment', 'clinically', 'remdesivir', 'evidence', 'benefit']"
1,1390088313189634059,DocVatsa,2021-05-05 23:37:35,en,tweetingpritha symptoms control breathing becomes issue oxygen levels dip th,0,0,@tweetingpritha Not if symptoms are under control. Only if breathing becomes an issue and Oxygen levels dip. And th… https://t.co/R7iDpRjZ25,"[tweetingpritha, symptoms, control, breathing, becomes, issue, oxygen, levels, dip, th]","['tweetingpritha', 'symptom', 'control', 'breathing', 'issue', 'oxygen', 'level', 'dip', 'th']"
2,1390087850478157826,DocVatsa,2021-05-05 23:35:44,en,somyalakhani really sorry hear sudden deterioration tricky handle counter famili,3,0,@somyalakhani Really sorry to hear that. That sudden deterioration is very tricky to handle and counter. And famili… https://t.co/i3YASz2IjU,"[somyalakhani, really, sorry, hear, sudden, deterioration, tricky, handle, counter, famili]","['somyalakhani', 'sorry', 'hear', 'sudden', 'deterioration', 'tricky', 'handle', 'counter', 'famili']"
3,1390070810354782213,DocVatsa,2021-05-05 22:28:02,en,quickness deterioration demise loved ones covid adding another dimension shock sadly,35,7,The quickness in deterioration and demise of loved ones in Covid is adding another dimension to the shock. Sadly it… https://t.co/dFNbx29dtC,"[quickness, deterioration, demise, loved, ones, covid, adding, another, dimension, shock, sadly]","['quickness', 'deterioration', 'demise', 'love', 'one', 'covid', 'add', 'dimension', 'shock', 'sadly']"
4,1390069319275630593,DocVatsa,2021-05-05 22:22:06,en,vishsai thanks,1,0,@VISHSAI Thanks,"[vishsai, thanks]","['vishsai', 'thank']"
5,1390069116371931136,DocVatsa,2021-05-05 22:21:18,en,aditipriya: recording deaths due lack oxygen india thread ongoing crisis recording,0,736,"RT @aditipriya_0301: We are recording deaths due to lack of oxygen all over India in this thread. This is an ongoing crisis, and recording…","[aditipriya:, recording, deaths, due, lack, oxygen, india, thread, ongoing, crisis, recording]","['aditipriya', 'record', 'death', 'lack', 'oxygen', 'india', 'thread', 'ongoing', 'crisis', 'record']"
6,1390069091952730114,DocVatsa,2021-05-05 22:21:12,en,commendable effort please share collation city wise whenever get time numbers might indicate ex,4,1,"Commendable effort!
Please do share the collation, city wise whenever you get time.

Numbers might indicate some ex… https://t.co/7NkbV5ZmnN","[commendable, effort, please, share, collation, city, wise, whenever, get, time, numbers, might, indicate, ex]","['commendable', 'effort', 'share', 'collation', 'city', 'wise', 'time', 'number', 'indicate', 'ex']"
7,1390065289212145673,DocVatsa,2021-05-05 22:06:05,en,anyone keeping count deaths due oxygen shortage,43,12,Anyone keeping count of deaths due to oxygen shortage?,"[anyone, keeping, count, deaths, due, oxygen, shortage]","['keep', 'count', 'death', 'oxygen', 'shortage']"
8,1390063766361018373,DocVatsa,2021-05-05 22:00:02,en,meanwhile file finally moved signed,6,0,"Meanwhile, the file has finally moved and has been signed. https://t.co/LCGFRL0TpX","[meanwhile, file, finally, moved, signed]","['file', 'finally', 'move', 'sign']"
9,1390061919776743427,DocVatsa,2021-05-05 21:52:42,en,mpwala abhisarsharma that's point save lives,1,0,"@MPwala4 @abhisar_sharma That's the point, it does not save lives.","[mpwala, abhisarsharma, that's, point, save, lives]","['mpwala', 'abhisarsharma', 'point', 'save', 'life']"
10,1390061735030181896,DocVatsa,2021-05-05 21:51:58,en,brucelively abhisarsharma complex issue know better largely sure lack rigorous scientific advise central bodies,0,0,"@Brucelively9 @abhisar_sharma Complex issue, but they know no better largely sure to lack of rigorous scientific advise from central bodies.","[brucelively, abhisarsharma, complex, issue, know, better, largely, sure, lack, rigorous, scientific, advise, central, bodies]","['brucelively', 'abhisarsharma', 'complex', 'issue', 'know', 'better', 'largely', 'sure', 'lack', 'rigorous', 'scientific', 'advise', 'central', 'body']"
11,1390061258922135558,DocVatsa,2021-05-05 21:50:04,en,seems death toll way beyond counted economy takes much larger hit large chunk populati,8,7,"It seems the death toll is way beyond the counted.
Economy takes a much larger hit when large chunk of the populati… https://t.co/mIuu7BQbDb","[seems, death, toll, way, beyond, counted, economy, takes, much, larger, hit, large, chunk, populati]","['death', 'toll', 'way', 'count', 'economy', 'take', 'large', 'hit', 'large', 'chunk', 'populati']"
12,1390043643466104845,DocVatsa,2021-05-05 20:40:05,hi,tenguriyadeepak ranvijaylive twitterspaces,0,0,"@TenguriyaDeepak @ranvijaylive @TwitterSpaces नॉट पॉसिबल , स्पेस आज बंद है मेरे लिए","[tenguriyadeepak, ranvijaylive, twitterspaces]","['tenguriyadeepak', 'ranvijaylive', 'twitterspaces']"
13,1390038155097739270,DocVatsa,2021-05-05 20:18:16,hi,ranvijaylive twitterspaces,6,1,"@ranvijaylive @TwitterSpaces कोशिश की मैंने लेकिन रोना नहीं आया  , सोचा बिना आंसुओं के  इंस्टाग्राम पर जाने का भी… https://t.co/sn0ybEUcoE","[ranvijaylive, twitterspaces]","['ranvijaylive', 'twitterspaces']"
14,1390007295107600385,DocVatsa,2021-05-05 18:15:38,en,aladydon really sorry hear loss :(,1,0,@aLadyDon Really sorry to hear about your loss! :(,"[aladydon, really, sorry, hear, loss, :(]","['aladydon', 'sorry', 'hear', 'loss']"
15,1390005719819341831,DocVatsa,2021-05-05 18:09:23,en,anticaad 'blame' powers least public hence feeder fed,2,0,"@AnticaaD For me the 'blame' is all on the powers, least on public.... hence the feeder not the fed.","[anticaad, 'blame', powers, least, public, hence, feeder, fed]","['anticaad', 'blame', 'power', 'public', 'feeder', 'feed']"
