,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389938392285302786,DougAndres,2021-05-05 13:41:51,en,president joe bidens american families plan would cost far white house estimates would incre,13,8,"President Joe Biden’s American Families Plan would cost far more than the White House estimates, and it would incre… https://t.co/z62EiNhp95","[president, joe, bidens, american, families, plan, would, cost, far, white, house, estimates, would, incre]","['president', 'joe', 'bidens', 'american', 'family', 'plan', 'cost', 'far', 'white', 'house', 'estimate', 'incre']"
1,1389689176908435456,DougAndres,2021-05-04 21:11:33,en,seungminkim: s]ome progressives updated behavior based new information eagerness protect thems,0,39,"RT @seungminkim: ""[S]ome progressives have not updated their behavior based on the new information. And in their eagerness to protect thems…","[seungminkim:, s]ome, progressives, updated, behavior, based, new, information, eagerness, protect, thems]","['seungminkim', 's]ome', 'progressive', 'update', 'behavior', 'base', 'new', 'information', 'eagerness', 'protect', 'them']"
2,1389687823528349699,DougAndres,2021-05-04 21:06:10,und,mattortega yes,0,0,@MattOrtega Yes!!,"[mattortega, yes]","['mattortega', 'yes']"
3,1389687056721489921,DougAndres,2021-05-04 21:03:08,en,mepfuller really cant point im riddle wrapped enigma,1,0,@MEPFuller You really can’t at this point. Or can you? I’m a riddle wrapped up in an enigma,"[mepfuller, really, cant, point, im, riddle, wrapped, enigma]","['mepfuller', 'not', 'point', 'be', 'riddle', 'wrap', 'enigma']"
4,1389686494865002496,DougAndres,2021-05-04 21:00:54,en,mepfuller never claimed anything fake news,1,0,@MEPFuller I never claimed to be anything but fake news.,"[mepfuller, never, claimed, anything, fake, news]","['mepfuller', 'claim', 'fake', 'news']"
5,1389681266665086985,DougAndres,2021-05-04 20:40:07,en,slight filter added emphasize rage,11,0,Slight filter added to emphasize rage,"[slight, filter, added, emphasize, rage]","['slight', 'filter', 'add', 'emphasize', 'rage']"
6,1389681031515623432,DougAndres,2021-05-04 20:39:11,en,sky angry day friends,210,11,"The sky was angry that day, my friends https://t.co/luNLzwxnMr","[sky, angry, day, friends]","['sky', 'angry', 'day', 'friend']"
7,1389662873530601474,DougAndres,2021-05-04 19:27:02,en,senjoniernst: hemp production new frontier greg nicholas one way hes working diversify farm #countytour,0,4,RT @SenJoniErnst: Hemp production is a new frontier for Greg Nicholas &amp; one way he’s working to diversify his farm. During my #99CountyTour…,"[senjoniernst:, hemp, production, new, frontier, greg, nicholas, one, way, hes, working, diversify, farm, #countytour]","['senjoniernst', 'hemp', 'production', 'new', 'frontier', 'greg', 'nicholas', 'way', 's', 'work', 'diversify', 'farm', 'countytour']"
8,1389584385972875267,DougAndres,2021-05-04 14:15:09,sv,dougheye strong hashtag,3,0,@DougHeye strong hashtag,"[dougheye, strong, hashtag]","['dougheye', 'strong', 'hashtag']"
9,1389583594050531337,DougAndres,2021-05-04 14:12:00,en,davidpopp: whoops,0,1,"RT @davidpopp: Whoops 

https://t.co/aYXr7JHtP4","[davidpopp:, whoops]","['davidpopp', 'whoops']"
10,1388569168824442885,DougAndres,2021-05-01 19:01:02,en,stephaniepenn: elected representatives horse capital world leadermcconnell repandybarr courierjournal k,0,5,"RT @StephaniePenn: Elected representatives of the Horse Capital of the World, @LeaderMcConnell &amp; @RepAndyBarr, in the @courierjournal on @K…","[stephaniepenn:, elected, representatives, horse, capital, world, leadermcconnell, repandybarr, courierjournal, k]","['stephaniepenn', 'elect', 'representatives', 'horse', 'capital', 'world', 'leadermcconnell', 'repandybarr', 'courierjournal', 'k']"
11,1388235952619991040,DougAndres,2021-04-30 20:56:57,en,leadermcconnell: number senate republicans wrote president bidens usedgov today opposing new proposal skew civics us,0,203,RT @LeaderMcConnell: A number of Senate Republicans wrote President Biden’s @USEdGov today opposing a new proposal to skew civics and U.S.…,"[leadermcconnell:, number, senate, republicans, wrote, president, bidens, usedgov, today, opposing, new, proposal, skew, civics, us]","['leadermcconnell', 'number', 'senate', 'republicans', 'write', 'president', 'bidens', 'usedgov', 'today', 'oppose', 'new', 'proposal', 'skew', 'civic']"
12,1388210137790353411,DougAndres,2021-04-30 19:14:23,en,postpolitics: sen joe manchin iii says doesnt support dc statehood bill,0,312,RT @postpolitics: Sen. Joe Manchin III says he doesn’t support D.C. statehood bill https://t.co/CTkkphCgqO,"[postpolitics:, sen, joe, manchin, iii, says, doesnt, support, dc, statehood, bill]","['postpolitics', 'sen', 'joe', 'manchin', 'iii', 'say', 'not', 'support', 'dc', 'statehood', 'bill']"
13,1388199744493719553,DougAndres,2021-04-30 18:33:05,en,manchin sinema filibuster support scores political points back home gop poll shows,6,2,"Manchin, Sinema filibuster support scores political points back home, GOP poll shows https://t.co/pXhZiSc00Y","[manchin, sinema, filibuster, support, scores, political, points, back, home, gop, poll, shows]","['manchin', 'sinema', 'filibuster', 'support', 'score', 'political', 'point', 'home', 'gop', 'poll', 'show']"
