,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389733939611320323,DrSidMukherjee,2021-05-05 00:09:25,en,barttels phari chadinabhan drnikitamehra aiims bldcancerdoc ishwariamd viveksubbiah neerajaiims,4,0,@barttels2 @Phari @chadinabhan @DrNikitaMehra @Aiims1742 @BldCancerDoc @IshwariaMD @VivekSubbiah @neerajaiims… https://t.co/N5xUBqSqOi,"[barttels, phari, chadinabhan, drnikitamehra, aiims, bldcancerdoc, ishwariamd, viveksubbiah, neerajaiims]","['barttels', 'phari', 'chadinabhan', 'drnikitamehra', 'aiims', 'bldcancerdoc', 'ishwariamd', 'viveksubbiah', 'neerajaiims']"
1,1389245144386445319,DrSidMukherjee,2021-05-03 15:47:08,en,tegel lots lots underreporting,17,1,@tegel35574003 And lots and lots of underreporting !,"[tegel, lots, lots, underreporting]","['tegel', 'lot', 'lot', 'underreporte']"
2,1389244987901104129,DrSidMukherjee,2021-05-03 15:46:30,en,tegel done already nothing's changed occham's patchwork remains: india's case poor policy decisions,38,1,"@tegel35574003 Done already. Nothing's changed. Occham's patchwork remains: in India's case, poor policy decisions… https://t.co/VVx7A8XadP","[tegel, done, already, nothing's, changed, occham's, patchwork, remains:, india's, case, poor, policy, decisions]","['tegel', 'change', 'occham', 'patchwork', 'remain', 'india', 'case', 'poor', 'policy', 'decision']"
3,1389244174801805314,DrSidMukherjee,2021-05-03 15:43:16,en,yes please please get vaccinated anti-vaccination manifesto quite opposite: get vaccinate,705,103,"And yes, please please get vaccinated. This is not an anti-vaccination manifesto. Quite the opposite: GET VACCINATE… https://t.co/ORVtn3TtJu","[yes, please, please, get, vaccinated, anti-vaccination, manifesto, quite, opposite:, get, vaccinate]","['yes', 'vaccinated', 'anti', 'vaccination', 'manifesto', 'opposite', 'vaccinate']"
4,1389243618360188931,DrSidMukherjee,2021-05-03 15:41:04,en,got thousand replies questions needed/wanted know lab data hu,666,142,"I got a thousand replies to my questions, but not any that I needed/wanted. 1. I know the lab data... do we have HU… https://t.co/6m6s7Y3GAJ","[got, thousand, replies, questions, needed/wanted, know, lab, data, hu]","['get', 'thousand', 'reply', 'question', 'need', 'want', 'know', 'lab', 'datum', 'hu']"
5,1389175965008474112,DrSidMukherjee,2021-05-03 11:12:14,en,done systematically control group doctors (or others) start,81,11,If only this was done systematically with some Control group of doctors (or others)... but it’s a start https://t.co/IL4bgh1EMG,"[done, systematically, control, group, doctors, (or, others), start]","['systematically', 'control', 'group', 'doctor', 'start']"
6,1389144612988768258,DrSidMukherjee,2021-05-03 09:07:39,en,/n know easy opine far away ive taken care covid patients follow psampathkumarmd,26,6,"19/n I know it’s easy to opine from far away, but I’ve taken care of Covid patients. Follow @PSampathkumarMD and… https://t.co/zZ8sw4BsuI","[/n, know, easy, opine, far, away, ive, taken, care, covid, patients, follow, psampathkumarmd]","['/n', 'know', 'easy', 'opine', 'far', 'away', 'have', 'take', 'care', 'covid', 'patient', 'follow', 'psampathkumarmd']"
7,1389144223044284416,DrSidMukherjee,2021-05-03 09:06:06,en,/n situation worsens (how worsen) contemplate week nationwide lockdown last resort plan,33,3,"18/n If the situation worsens (how can it worsen?), contemplate a 2 week nationwide lockdown AS A LAST RESORT. Plan… https://t.co/3man1zZAuE","[/n, situation, worsens, (how, worsen), contemplate, week, nationwide, lockdown, last, resort, plan]","['/n', 'situation', 'worsen', 'worsen', 'contemplate', 'week', 'nationwide', 'lockdown', 'resort', 'plan']"
8,1389143608482226182,DrSidMukherjee,2021-05-03 09:03:39,en,/n stay home; wear mask isolate attend crowded places (rallies melas) poor ventilation,31,1,17/n STAY AT HOME; wear a mask. Isolate. Do not attend crowded places (rallies or melas) with poor ventilation.,"[/n, stay, home;, wear, mask, isolate, attend, crowded, places, (rallies, melas), poor, ventilation]","['/n', 'stay', 'home', 'wear', 'mask', 'isolate', 'attend', 'crowded', 'place', 'rally', 'melas', 'poor', 'ventilation']"
9,1389143226859368451,DrSidMukherjee,2021-05-03 09:02:08,en,/n three pillars response (oxygen supply chain /hospital logistics vaccine virology distribution),19,0,16/n The three pillars of response (oxygen supply chain /hospital logistics and vaccine virology and distribution)… https://t.co/cbDMMKnVcq,"[/n, three, pillars, response, (oxygen, supply, chain, /hospital, logistics, vaccine, virology, distribution)]","['/n', 'pillars', 'response', 'oxygen', 'supply', 'chain', '/hospital', 'logistic', 'vaccine', 'virology', 'distribution']"
