,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389963588014678019,EwallWice,2021-05-05 15:21:58,en,according wh restaurants bars eligible businesses states dc five us territori,2,0,"According to WH, 186,200 restaurants, bars, &amp; other eligible businesses in all 50 states, DC, &amp; five U.S. territori… https://t.co/GhZV84Veyl","[according, wh, restaurants, bars, eligible, businesses, states, dc, five, us, territori]","['accord', 'wh', 'restaurant', 'bar', 'eligible', 'business', 'state', 'dc', 'territori']"
1,1389962586196791302,EwallWice,2021-05-05 15:17:59,en,today potus give remarks newly launched restaurant revitalization fund established american rescue,1,0,Today @POTUS will give remarks on newly launched Restaurant Revitalization Fund established in the American Rescue… https://t.co/GHQeTmcu10,"[today, potus, give, remarks, newly, launched, restaurant, revitalization, fund, established, american, rescue]","['today', 'potus', 'remark', 'newly', 'launch', 'restaurant', 'revitalization', 'fund', 'establish', 'american', 'rescue']"
2,1389923796535087109,EwallWice,2021-05-05 12:43:51,en,in: treasury says congress acted debt limit july may take certain extraordinary meas,0,0,"JUST IN:  Treasury says if Congress has not acted on debt limit by July 31, it may take certain ""extraordinary meas… https://t.co/7MKUkcgkHT","[in:, treasury, says, congress, acted, debt, limit, july, may, take, certain, extraordinary, meas]","['treasury', 'say', 'congress', 'act', 'debt', 'limit', 'july', 'certain', 'extraordinary', 'meas']"
3,1389763253769801734,EwallWice,2021-05-05 02:05:54,en,newshour: yemens brutal war humanitarian catastrophe wrought enters seventh year international aid close,0,54,"RT @NewsHour: As Yemen’s brutal war, and the humanitarian catastrophe it wrought, enters its seventh year, international aid is not close t…","[newshour:, yemens, brutal, war, humanitarian, catastrophe, wrought, enters, seventh, year, international, aid, close]","['newshour', 'yemens', 'brutal', 'war', 'humanitarian', 'catastrophe', 'wrought', 'enter', 'seventh', 'year', 'international', 'aid', 'close']"
4,1389680259507892224,EwallWice,2021-05-04 20:36:07,en,secyellen says shes making predictions recommendations suggested fed might look,1,0,.@SecYellen says she’s not making any predictions or recommendations when she suggested the Fed might have to look… https://t.co/7KMWpbQ9QT,"[secyellen, says, shes, making, predictions, recommendations, suggested, fed, might, look]","['secyellen', 'say', 's', 'make', 'prediction', 'recommendation', 'suggest', 'fed', 'look']"
5,1389679566793453572,EwallWice,2021-05-04 20:33:22,en,dont anticipate inflation going problem secyellen says says however tools address,2,1,"“I don’t anticipate that inflation is going to be a problem,” @SecYellen says. She says if it is, however there are tools to address it.","[dont, anticipate, inflation, going, problem, secyellen, says, says, however, tools, address]","['not', 'anticipate', 'inflation', 'go', 'problem', 'secyellen', 'say', 'say', 'tool', 'address']"
6,1389625691910680587,EwallWice,2021-05-04 16:59:17,en,white house press secretary says secyellen appear briefing take questions friday also w,1,0,White House Press Secretary says @SecYellen will appear at the briefing to take questions on Friday which is also w… https://t.co/MHpEDgkqhu,"[white, house, press, secretary, says, secyellen, appear, briefing, take, questions, friday, also, w]","['white', 'house', 'press', 'secretary', 'say', 'secyellen', 'appear', 'brief', 'question', 'friday', 'w']"
7,1389603268247048196,EwallWice,2021-05-04 15:30:11,en,secyellen notes economic theory suggests cutting taxes boost incentive invest talking trumps,1,0,".@SecYellen notes economic theory suggests cutting taxes should boost incentive to invest. 

Talking about Trump’s… https://t.co/enINPMkN3i","[secyellen, notes, economic, theory, suggests, cutting, taxes, boost, incentive, invest, talking, trumps]","['secyellen', 'note', 'economic', 'theory', 'suggest', 'cut', 'taxis', 'boost', 'incentive', 'invest', 'talk', 'trump']"
8,1389599460251082756,EwallWice,2021-05-04 15:15:03,en,secyellen pre-recorded event talking pres bidens spending plans: may interest rates wil,0,0,".@SecYellen at a pre-recorded event talking about Pres. Biden’s spending plans:

“It may be that interest rates wil… https://t.co/UtuJmN7Qbm","[secyellen, pre-recorded, event, talking, pres, bidens, spending, plans:, may, interest, rates, wil]","['secyellen', 'pre', 'recorded', 'event', 'talk', 'pres', 'bidens', 'spending', 'plan', 'interest', 'rate', 'wil']"
9,1389310394137722880,EwallWice,2021-05-03 20:06:24,en,fed reserve chair previews upcoming report showing parents either working working less b,0,0,Fed Reserve Chair previews upcoming report on 2020 showing 22% of parents were either not working or working less b… https://t.co/U0N5JgWf91,"[fed, reserve, chair, previews, upcoming, report, showing, parents, either, working, working, less, b]","['fed', 'reserve', 'chair', 'preview', 'upcoming', 'report', 'show', 'parent', 'work', 'work', 'b']"
10,1389224566703202310,EwallWice,2021-05-03 14:25:21,en,comes user-fees polling shows much less popular increasing corporate tax rate pay,1,1,"When it comes to user-fees, polling shows it’s much less popular than increasing the corporate tax rate to pay for… https://t.co/vrwp4CMJ03","[comes, user-fees, polling, shows, much, less, popular, increasing, corporate, tax, rate, pay]","['come', 'user', 'fee', 'polling', 'show', 'popular', 'increase', 'corporate', 'tax', 'rate', 'pay']"
11,1389221865747537932,EwallWice,2021-05-03 14:14:37,en,icymi: american jobs plan american families plan potus wants pay roughly trillion new,33,10,"ICYMI: American Jobs Plan, American Families Plan, and how ⁦@POTUS⁩ wants to pay for the roughly $4 trillion in new… https://t.co/5HVRI9qmvP","[icymi:, american, jobs, plan, american, families, plan, potus, wants, pay, roughly, trillion, new]","['icymi', 'american', 'job', 'plan', 'american', 'family', 'plan', 'potus', 'want', 'pay', 'roughly', 'trillion', 'new']"
12,1388122508466040834,EwallWice,2021-04-30 13:26:10,en,saraecook: new: potus flotus confirm soon first cat white house waiting wings,0,1515,"RT @saraecook: NEW: @POTUS and @FLOTUS confirm there will soon be a First Cat at the White House. ""She is waiting in the wings.""

In their…","[saraecook:, new:, potus, flotus, confirm, soon, first, cat, white, house, waiting, wings]","['saraecook', 'new', 'potus', 'flotus', 'confirm', 'soon', 'cat', 'white', 'house', 'wait', 'wing']"
13,1387584800341495811,EwallWice,2021-04-29 01:49:31,en,potus: trickle-down economics never worked time build economy bottom middle,5,0,".@POTUS: Trickle-down economics has never worked.

It’s time to build the economy from the bottom up and middle out.","[potus:, trickle-down, economics, never, worked, time, build, economy, bottom, middle]","['potus', 'trickle', 'economic', 'work', 'time', 'build', 'economy', 'middle']"
14,1387574960013651971,EwallWice,2021-04-29 01:10:25,en,report nation america move potus says one day shy days office,8,3,"“I can report to the nation, America is on the move again,” @POTUS says one day shy of 100 days in office during 1s… https://t.co/YmjwaGUUz2","[report, nation, america, move, potus, says, one, day, shy, days, office]","['report', 'nation', 'america', 'potus', 'say', 'day', 'shy', 'day', 'office']"
15,1387558245804527618,EwallWice,2021-04-29 00:04:00,en,arrived,281,6,I have arrived 💃🏻 https://t.co/8Q2J8d44Yp,[arrived],['arrive']
16,1387486442646130696,EwallWice,2021-04-28 19:18:40,en,insane: parents describe struggles afford child care report cbsnews democrats turni,104,39,"""It's insane"": Parents describe struggles to afford child care. 

My report for @CBSNews on why Democrats are turni… https://t.co/NHmcXgLt15","[insane:, parents, describe, struggles, afford, child, care, report, cbsnews, democrats, turni]","['insane', 'parent', 'describe', 'struggle', 'afford', 'child', 'care', 'report', 'cbsnews', 'democrats', 'turni']"
17,1387476265503010828,EwallWice,2021-04-28 18:38:14,en,new: federal reserve chair says interest rate changes time powell notes inflation risen,3,3,"NEW: The Federal Reserve chair says no interest rate changes at this time

Powell notes ""inflation has risen"" but s… https://t.co/Y4XGGnw9Bq","[new:, federal, reserve, chair, says, interest, rate, changes, time, powell, notes, inflation, risen]","['new', 'federal', 'reserve', 'chair', 'say', 'interest', 'rate', 'change', 'time', 'powell', 'note', 'inflation', 'rise']"
18,1387373266591907847,EwallWice,2021-04-28 11:48:57,en,tonight two women sitting behind president first time delivers address joi,33,12,Tonight there will be two women sitting behind the President for the first time as he delivers his address to a joi… https://t.co/i5gXt5XlTP,"[tonight, two, women, sitting, behind, president, first, time, delivers, address, joi]","['tonight', 'woman', 'sit', 'president', 'time', 'deliver', 'address', 'joi']"
