,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1393545606350602242,FHF_Official,2021-05-15 12:35:38,en,arguably kisan kanya () directed moti gidwani lays claims first indian colour film mad,2,1,"Arguably, “Kisan Kanya” (1937) directed by Moti Gidwani lays claims to being the first Indian colour film to be mad… https://t.co/HAFhaJeez0","[arguably, kisan, kanya, (), directed, moti, gidwani, lays, claims, first, indian, colour, film, mad]","['arguably', 'kisan', 'kanya', 'direct', 'moti', 'gidwani', 'lay', 'claim', 'indian', 'colour', 'film', 'mad']"
1,1393457177780625409,FHF_Official,2021-05-15 06:44:15,en,arun ak writes quint relevance satyajit rays film hirak rajar deshe contemporary times h,3,3,Arun A.K. writes in The Quint  on the relevance of Satyajit Ray’s film “Hirak Rajar Deshe” in contemporary times. H… https://t.co/tQqSrJVYnT,"[arun, ak, writes, quint, relevance, satyajit, rays, film, hirak, rajar, deshe, contemporary, times, h]","['arun', 'ak', 'write', 'quint', 'relevance', 'satyajit', 'rays', 'film', 'hirak', 'rajar', 'deshe', 'contemporary', 'time', 'h']"
2,1393183508143644673,FHF_Official,2021-05-14 12:36:47,en,featured pk nairs list top lost films india v shantaram made widely believed indias,4,2,"Featured in P.K. Nair’s list of top 10 lost films of India, V. Shantaram made what is widely believed to be India’s… https://t.co/u6WJGegZMB","[featured, pk, nairs, list, top, lost, films, india, v, shantaram, made, widely, believed, indias]","['feature', 'pk', 'nairs', 'list', 'lose', 'film', 'india', 'v', 'shantaram', 'widely', 'believe', 'indias']"
3,1393092294031466496,FHF_Official,2021-05-14 06:34:19,en,nandini ramnaths piece scroll revisits film saaransh directed mahesh bhatt lead actor anup,2,0,"Nandini Ramnath’s piece in Scroll revisits the 1984 film “Saaransh” directed by Mahesh Bhatt, which lead actor Anup… https://t.co/1grM3s9Lbq","[nandini, ramnaths, piece, scroll, revisits, film, saaransh, directed, mahesh, bhatt, lead, actor, anup]","['nandini', 'ramnaths', 'piece', 'scroll', 'revisit', 'film', 'saaransh', 'direct', 'mahesh', 'bhatt', 'lead', 'actor', 'anup']"
4,1392820386102870020,FHF_Official,2021-05-13 12:33:52,en,people aware fram madan introduced colour indian cinema film bilwamangal,4,3,"Few people are aware that in 1932, Fram Madan introduced colour to Indian cinema with the film “Bilwamangal” where… https://t.co/a7zCn8zLlO","[people, aware, fram, madan, introduced, colour, indian, cinema, film, bilwamangal]","['people', 'aware', 'fram', 'madan', 'introduce', 'colour', 'indian', 'cinema', 'film', 'bilwamangal']"
5,1392731469714391041,FHF_Official,2021-05-13 06:40:32,en,brazils cultural institutions facing onslaught funding cuts closures employee layoffs men,6,3,"As Brazil’s cultural institutions are facing an onslaught of funding cuts, closures and employee layoffs not to men… https://t.co/bH6xhglQ4Z","[brazils, cultural, institutions, facing, onslaught, funding, cuts, closures, employee, layoffs, men]","['brazils', 'cultural', 'institution', 'face', 'onslaught', 'funding', 'cut', 'closure', 'employee', 'layoff', 'man']"
6,1392458573662146565,FHF_Official,2021-05-12 12:36:09,en,beginning motion picture history films shot black-and-white film stock natalie kalmus,5,3,"From the beginning of motion picture history, films were shot on black-and-white film stock, but as Natalie Kalmus… https://t.co/JngGHNBHLF","[beginning, motion, picture, history, films, shot, black-and-white, film, stock, natalie, kalmus]","['begin', 'motion', 'picture', 'history', 'film', 'shoot', 'black', 'white', 'film', 'stock', 'natalie', 'kalmus']"
7,1392368028612894725,FHF_Official,2021-05-12 06:36:21,en,nyay bhushans piece hollywood reporter studies impact pandemic indias entertainment industry,3,1,Nyay Bhushan’s piece in The Hollywood Reporter studies the impact of the pandemic on India’s entertainment industry… https://t.co/26GXHbH9E8,"[nyay, bhushans, piece, hollywood, reporter, studies, impact, pandemic, indias, entertainment, industry]","['nyay', 'bhushans', 'piece', 'hollywood', 'reporter', 'study', 'impact', 'pandemic', 'indias', 'entertainment', 'industry']"
8,1392095467538841608,FHF_Official,2021-05-11 12:33:18,en,acclaimed filmmaker adoor gopalakrishnans evocative personal piece open magazine relationship satya,7,0,Acclaimed filmmaker Adoor Gopalakrishnan’s evocative personal piece in Open magazine on his relationship with Satya… https://t.co/JMmHpYIXSY,"[acclaimed, filmmaker, adoor, gopalakrishnans, evocative, personal, piece, open, magazine, relationship, satya]","['acclaimed', 'filmmaker', 'adoor', 'gopalakrishnans', 'evocative', 'personal', 'piece', 'open', 'magazine', 'relationship', 'satya']"
9,1392005420097572866,FHF_Official,2021-05-11 06:35:29,en,ganesh vancheeswarans piece scrollin examines undiscovered memorable tunes flamboyant music compos,0,0,Ganesh Vancheeswaran’s piece on @scroll_in examines the undiscovered memorable tunes of the flamboyant music compos… https://t.co/VW4rqncR5o,"[ganesh, vancheeswarans, piece, scrollin, examines, undiscovered, memorable, tunes, flamboyant, music, compos]","['ganesh', 'vancheeswarans', 'piece', 'scrollin', 'examine', 'undiscovered', 'memorable', 'tune', 'flamboyant', 'music', 'compo']"
