,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1163993438154395648,KimikoGlenn,2019-08-21 01:57:16,en,benblacker: thegoodwifecbs lindseyrosin cruelmusical davidradcliff foreverdogteam there's live dead pilots society / pm,0,11,"RT @BenBlacker: @TheGoodWife_CBS @lindseyrosin @cruelmusical @DavidRadcliff @ForeverDogTeam There's a live DEAD PILOTS SOCIETY on 9/14, 2pm…","[benblacker:, thegoodwifecbs, lindseyrosin, cruelmusical, davidradcliff, foreverdogteam, there's, live, dead, pilots, society, /, pm]","['benblacker', 'thegoodwifecbs', 'lindseyrosin', 'cruelmusical', 'davidradcliff', 'foreverdogteam', 'live', 'dead', 'pilot', 'society', 'pm']"
1,1154651820725288960,KimikoGlenn,2019-07-26 07:17:01,in,morgxn hi bb,7,0,@morgxn Hi bb 👋🏼🐭,"[morgxn, hi, bb]","['morgxn', 'hi', 'bb']"
2,1154195037766340608,KimikoGlenn,2019-07-25 01:01:55,en,messed,118,13,THIS WAS SO MESSED UP https://t.co/5ZqXTmyTX1,[messed],['mess']
3,1154194403054870528,KimikoGlenn,2019-07-25 00:59:24,en,nerdzilla: omfg happened nevschulman lauraperlongo #catfish catfishmtv,0,18,"RT @Nerdzilla76: Omfg what just HAPPENED?!??
@NevSchulman 
 @LauraPerlongo #catfish @CatfishMTV https://t.co/Ko2Mq3YOAX","[nerdzilla:, omfg, happened, nevschulman, lauraperlongo, #catfish, catfishmtv]","['nerdzilla', 'omfg', 'happen', 'nevschulman', 'lauraperlongo', 'catfish', 'catfishmtv']"
4,1154194382578319360,KimikoGlenn,2019-07-25 00:59:19,en,catfishmtv: happened #catfish,0,51,RT @CatfishMTV: WHAT JUST HAPPENED??? #Catfish https://t.co/2ayToKdXmn,"[catfishmtv:, happened, #catfish]","['catfishmtv', 'happen', 'catfish']"
5,1154188545956798464,KimikoGlenn,2019-07-25 00:36:07,en,wait whhhhaatttt catfishmtv,185,10,Wait WHHHHAATTTT ?!?! @CatfishMTV https://t.co/JOkAAE9bP5,"[wait, whhhhaatttt, catfishmtv]","['wait', 'whhhhaatttt', 'catfishmtv']"
6,1154186669798461440,KimikoGlenn,2019-07-25 00:28:40,en,lauraperlongo: hasina ha seen #catfish,0,1,"RT @LauraPerlongo: hasina, have you ha seen him? #catfish","[lauraperlongo:, hasina, ha, seen, #catfish]","['lauraperlongo', 'hasina', 'ha', 'see', 'catfish']"
7,1154184938561781760,KimikoGlenn,2019-07-25 00:21:47,en,lauraperlongo: kimikos laugh tho #catfish,0,3,RT @LauraPerlongo: kimiko’s laugh tho #catfish https://t.co/KsYe4caqxZ,"[lauraperlongo:, kimikos, laugh, tho, #catfish]","['lauraperlongo', 'kimikos', 'laugh', 'tho', 'catfish']"
8,1154184925425221632,KimikoGlenn,2019-07-25 00:21:44,en,lauraperlongo: way strip club stopped root canal real quick #catfish,0,9,RT @LauraPerlongo: was on my way to the strip club but then stopped for a root canal real quick  #catfish https://t.co/3LTzW8eUAN,"[lauraperlongo:, way, strip, club, stopped, root, canal, real, quick, #catfish]","['lauraperlongo', 'way', 'strip', 'club', 'stop', 'root', 'canal', 'real', 'quick', 'catfish']"
9,1154180408231092226,KimikoGlenn,2019-07-25 00:03:47,en,nevschulman: whos watching us #catfish,0,63,RT @NevSchulman: Who’s watching with us??? #catfish https://t.co/joPUv6FIqN,"[nevschulman:, whos, watching, us, #catfish]","['nevschulman', 's', 'watch', 'catfish']"
10,1154179425920901120,KimikoGlenn,2019-07-24 23:59:53,und,,63,2,https://t.co/kE1LLB9oGD,[],[]
11,1154140107575660545,KimikoGlenn,2019-07-24 21:23:39,en,guyssss cohosted episode catfishmtv went nuts actually cant wait see /c ton,63,3,Guyssss!! I cohosted an episode of @CatfishMTV &amp; what went down is nuts. I actually can’t wait to see it.. 8/7c TON… https://t.co/IB7zCFHkmj,"[guyssss, cohosted, episode, catfishmtv, went, nuts, actually, cant, wait, see, /c, ton]","['guyssss', 'cohoste', 'episode', 'catfishmtv', 'go', 'nuts', 'actually', 'not', 'wait', '/c', 'ton']"
12,1140081572730683392,KimikoGlenn,2019-06-16 02:20:03,und,thetzechun,121,1,@thetzechun 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️,[thetzechun],['thetzechun']
13,1138122156322070529,KimikoGlenn,2019-06-10 16:34:02,en,believe diversity important thats took #iacton pledge w ceoaction u,18,3,Do you believe diversity is important? So do I! That’s why I took the #IActOn pledge w @CEOAction &amp; u should too! I… https://t.co/rwMI1ih1Qt,"[believe, diversity, important, thats, took, #iacton, pledge, w, ceoaction, u]","['believe', 'diversity', 'important', 's', 'take', 'iacton', 'pledge', 'w', 'ceoaction', 'u']"
14,1110132260198445058,KimikoGlenn,2019-03-25 10:52:10,und,teamsupernyc: lizakoshy kimikoglenn,0,8,RT @teamsuper_NYC: @lizakoshy @KimikoGlenn https://t.co/8YACIUP4bT,"[teamsupernyc:, lizakoshy, kimikoglenn]","['teamsupernyc', 'lizakoshy', 'kimikoglenn']"
15,1095886453622652928,KimikoGlenn,2019-02-14 03:24:25,en,litchfielt happy belated :-),4,1,@litchfielt Happy belated :-),"[litchfielt, happy, belated, :-)]","['litchfielt', 'happy', 'belated']"
16,1085183017046470656,KimikoGlenn,2019-01-15 14:32:47,en,bbcmusic: david internet thing never catch #davidbowie timbernerslee,0,6675,"RT @BBC6Music: David, this internet thing will never catch on... 🤦‍♀️ #davidbowie @timberners_lee  https://t.co/XKoSBVqZGU","[bbcmusic:, david, internet, thing, never, catch, #davidbowie, timbernerslee]","['bbcmusic', 'david', 'internet', 'thing', 'catch', 'davidbowie', 'timbernerslee']"
17,1085041122081153024,KimikoGlenn,2019-01-15 05:08:57,ht,lmao,43,3,Lmao https://t.co/3izthxMkgS,[lmao],['lmao']
18,1085040691623923714,KimikoGlenn,2019-01-15 05:07:14,en,artdenkin: sp//dr bots paint tool sai thought would fun play idea voice actress gwen stacy,0,91,"RT @ArtDenkin: Into the SP//DR Bots | Paint Tool Sai

Thought it would be fun to play with the idea that the voice actress of Gwen Stacy is…","[artdenkin:, sp//dr, bots, paint, tool, sai, thought, would, fun, play, idea, voice, actress, gwen, stacy]","['artdenkin', 'sp//dr', 'bot', 'paint', 'tool', 'sai', 'thought', 'fun', 'play', 'idea', 'voice', 'actress', 'gwen', 'stacy']"
19,1083540027714482176,KimikoGlenn,2019-01-11 01:44:08,en,marvel: kimikoglenn joins #marvelsvoices podcast talk voicing peni parker spider-man: spiderverse mor,0,163,"RT @Marvel: .@KimikoGlenn joins the #MarvelsVoices podcast to talk about voicing Peni Parker in ""Spider-Man: Into the @SpiderVerse"" and mor…","[marvel:, kimikoglenn, joins, #marvelsvoices, podcast, talk, voicing, peni, parker, spider-man:, spiderverse, mor]","['marvel', 'kimikoglenn', 'join', 'marvelsvoices', 'podcast', 'talk', 'voice', 'peni', 'parker', 'spider', 'man', 'spiderverse', 'mor']"
20,1083256187808821248,KimikoGlenn,2019-01-10 06:56:15,und,linmanuel,27,0,@Lin_Manuel 🥰😘,[linmanuel],['linmanuel']
21,1083161446710738945,KimikoGlenn,2019-01-10 00:39:47,en,lol nice,304,20,Lol nice https://t.co/l3UgmGqW66,"[lol, nice]","['lol', 'nice']"
22,1081393901741588480,KimikoGlenn,2019-01-05 03:36:12,en,amdm: #spiderverse star kimikoglenn joins #amdm talk spider-man diversity hollywood,0,14,"RT @AM2DM: #SpiderVerse star @KimikoGlenn joins #AM2DM to talk Spider-Man, diversity in Hollywood, and more https://t.co/TT4aWXXGwU","[amdm:, #spiderverse, star, kimikoglenn, joins, #amdm, talk, spider-man, diversity, hollywood]","['amdm', 'spiderverse', 'star', 'kimikoglenn', 'join', 'amdm', 'talk', 'spider', 'man', 'diversity', 'hollywood']"
23,1081393857927864321,KimikoGlenn,2019-01-05 03:36:01,en,backstage: netflix's oitnb spiderverse kimikoglenn emerges voice generation catch cover story here: https:/,0,5,"RT @Backstage: From Netflix's OITNB to @SpiderVerse, @KimikoGlenn emerges as the voice of a generation. Catch her cover story here: https:/…","[backstage:, netflix's, oitnb, spiderverse, kimikoglenn, emerges, voice, generation, catch, cover, story, here:, https:/]","['backstage', 'netflix', 'oitnb', 'spiderverse', 'kimikoglenn', 'emerge', 'voice', 'generation', 'catch', 'cover', 'story', 'https:/']"
24,1075226496720089088,KimikoGlenn,2018-12-19 03:09:08,en,noisypaperdr: days till #spidermanintothespiderverse heres lena #ducktales peni parker (both voiced kimikoglenn),0,53,"RT @NoisyPaperDr: 3 more days till #SpiderManIntoTheSpiderVerse Here’s Lena from #DuckTales as Peni Parker. 
(Both voiced by @KimikoGlenn.)…","[noisypaperdr:, days, till, #spidermanintothespiderverse, heres, lena, #ducktales, peni, parker, (both, voiced, kimikoglenn)]","['noisypaperdr', 'day', 'till', 'spidermanintothespiderverse', 'heres', 'lena', 'ducktales', 'peni', 'parker', 'voice', 'kimikoglenn']"
25,1068017049748807685,KimikoGlenn,2018-11-29 05:41:22,en,abc: welcome home: soldier's worry beloved dog remember deployed africa quickly dissolved pu,0,48248,RT @ABC: WELCOME HOME: A soldier's worry her beloved dog wouldn't remember her while she was deployed in Africa quickly dissolved by the pu…,"[abc:, welcome, home:, soldier's, worry, beloved, dog, remember, deployed, africa, quickly, dissolved, pu]","['abc', 'welcome', 'home', 'soldier', 'worry', 'beloved', 'dog', 'remember', 'deploy', 'africa', 'quickly', 'dissolve', 'pu']"
26,1066014314199433217,KimikoGlenn,2018-11-23 17:03:12,en,unhappyhourpod: come pilgrim takedown stay moment kimikoglenn mattbellassai discover they're obsessed,0,4,"RT @unhappyhourpod: Come for the pilgrim takedown, stay for the moment @KimikoGlenn and @MattBellassai discover they're both obsessed with…","[unhappyhourpod:, come, pilgrim, takedown, stay, moment, kimikoglenn, mattbellassai, discover, they're, obsessed]","['unhappyhourpod', 'come', 'pilgrim', 'takedown', 'stay', 'moment', 'kimikoglenn', 'mattbellassai', 'discover', 'obsess']"
27,1061689546847539200,KimikoGlenn,2018-11-11 18:38:07,en,thousands firefighters bravely battling wildfires getting people safety help support dona,27,10,Thousands of firefighters are bravely battling 3 wildfires and getting people to safety. Help support them and dona… https://t.co/isffqRK8HO,"[thousands, firefighters, bravely, battling, wildfires, getting, people, safety, help, support, dona]","['thousand', 'firefighter', 'bravely', 'battle', 'wildfire', 'get', 'people', 'safety', 'help', 'support', 'dona']"
28,1054422966472069120,KimikoGlenn,2018-10-22 17:23:20,en,guestbooktbs: kimikoglenn: expert actress amateur toe matcher all-new season guest book begins tomorrow c tbsn,0,7,RT @guestbooktbs: .@KimikoGlenn: expert actress. Amateur toe matcher. An all-new season of The Guest Book begins tomorrow at 10|9c on @TBSN…,"[guestbooktbs:, kimikoglenn:, expert, actress, amateur, toe, matcher, all-new, season, guest, book, begins, tomorrow, c, tbsn]","['guestbooktbs', 'kimikoglenn', 'expert', 'actress', 'amateur', 'toe', 'matcher', 'new', 'season', 'guest', 'book', 'begin', 'tomorrow', 'c', 'tbsn']"
29,1054422895865122816,KimikoGlenn,2018-10-22 17:23:03,en,whoisgreggarcia: free good karma every gets premiere guest book tomorrow : ill,0,1253,"RT @whoisgreggarcia: $50,000 &amp; Free Good Karma! For every retweet this gets until the premiere of The Guest Book tomorrow at 10:00 I’ll don…","[whoisgreggarcia:, free, good, karma, every, gets, premiere, guest, book, tomorrow, :, ill]","['whoisgreggarcia', 'free', 'good', 'karma', 'get', 'premiere', 'guest', 'book', 'tomorrow', 'ill']"
30,1054186518191849472,KimikoGlenn,2018-10-22 01:43:46,en,#lizaondemand streamys premiere awards last night thank sure watch live show monday,44,7,#LizaOnDemand won a @streamys at the Premiere Awards last night! THANK YOU! Be sure to watch the LIVE show MONDAY 9… https://t.co/1zcbyQpn6V,"[#lizaondemand, streamys, premiere, awards, last, night, thank, sure, watch, live, show, monday]","['lizaondemand', 'streamys', 'premiere', 'award', 'night', 'thank', 'sure', 'watch', 'live', 'monday']"
31,1054186152620478464,KimikoGlenn,2018-10-22 01:42:19,en,popentcom: congratulations kimikoglenn lizakoshy travis coles win th annual streamys - photo creds: getty,0,2,RT @PopEntCom: Congratulations to @KimikoGlenn @lizakoshy and Travis Coles for their win at the 8th annual @streamys - Photo creds: Getty I…,"[popentcom:, congratulations, kimikoglenn, lizakoshy, travis, coles, win, th, annual, streamys, -, photo, creds:, getty]","['popentcom', 'congratulations', 'kimikoglenn', 'lizakoshy', 'travis', 'coles', 'win', 'th', 'annual', 'streamys', 'photo', 'creds', 'getty']"
32,1053725583824179205,KimikoGlenn,2018-10-20 19:12:11,en,whoisgreggarcia: guest book tbs oct rd michaelrapaport madflavor arnettwill marthaplimpton pete davidson kimikoglenn car,0,86,"RT @whoisgreggarcia: The Guest Book TBS Oct 23rd.  @MichaelRapaport @madflavor @arnettwill @MarthaPlimpton Pete Davidson, @KimikoGlenn @Car…","[whoisgreggarcia:, guest, book, tbs, oct, rd, michaelrapaport, madflavor, arnettwill, marthaplimpton, pete, davidson, kimikoglenn, car]","['whoisgreggarcia', 'guest', 'book', 'tbs', 'oct', 'rd', 'michaelrapaport', 'madflavor', 'arnettwill', 'marthaplimpton', 'pete', 'davidson', 'kimikoglenn', 'car']"
33,1053725497102716929,KimikoGlenn,2018-10-20 19:11:50,ht,seangrandillo gordonbell,5,0,@seangrandillo Gordonbell,"[seangrandillo, gordonbell]","['seangrandillo', 'gordonbell']"
34,1053725476038955008,KimikoGlenn,2018-10-20 19:11:45,en,seangrandillo gardbell,4,0,@seangrandillo Gardbell,"[seangrandillo, gardbell]","['seangrandillo', 'gardbell']"
35,1052730325107765248,KimikoGlenn,2018-10-18 01:17:22,en,buchwaldtalent: kimikoglenn looked lovely last night's premiere guestbooktbs looking forward new hilarity #seas,0,3,RT @buchwaldtalent: @KimikoGlenn looked lovely  at last night's premiere of the @guestbooktbs! Looking forward to all new hilarity in #Seas…,"[buchwaldtalent:, kimikoglenn, looked, lovely, last, night's, premiere, guestbooktbs, looking, forward, new, hilarity, #seas]","['buchwaldtalent', 'kimikoglenn', 'look', 'lovely', 'night', 'premiere', 'guestbooktbs', 'look', 'forward', 'new', 'hilarity', 'sea']"
36,1050347421509832705,KimikoGlenn,2018-10-11 11:28:34,en,getfandom: peni parker jumped #spiderverse trailer hearts,0,546,RT @getFANDOM: Peni Parker jumped out the #SpiderVerse  trailer &amp; into our hearts 📈 https://t.co/XBwHizGK8o,"[getfandom:, peni, parker, jumped, #spiderverse, trailer, hearts]","['getfandom', 'peni', 'parker', 'jump', 'spiderverse', 'trailer', 'heart']"
37,1047853233895612416,KimikoGlenn,2018-10-04 14:17:33,en,guestbooktbs: fresh start new faces leave welcome kimikoglenn #theguestbook cast,0,3,RT @guestbooktbs: A fresh start with some new faces. Leave a 👋 to welcome @KimikoGlenn to #TheGuestBook cast. https://t.co/Q3smnVnChs,"[guestbooktbs:, fresh, start, new, faces, leave, welcome, kimikoglenn, #theguestbook, cast]","['guestbooktbs', 'fresh', 'start', 'new', 'face', 'leave', 'welcome', 'kimikoglenn', 'theguestbook', 'cast']"
38,1047853214643707904,KimikoGlenn,2018-10-04 14:17:29,en,allgeektomenet: need something bright day watch latest trailer #spidermanintothespiderverse also,0,7,"RT @AllGeektoMeNet: If you need something bright in your day, watch the latest trailer for #SpidermanintotheSpiderVerse. Also, where can on…","[allgeektomenet:, need, something, bright, day, watch, latest, trailer, #spidermanintothespiderverse, also]","['allgeektomenet', 'need', 'bright', 'day', 'watch', 'late', 'trailer', 'spidermanintothespiderverse']"
39,1044459286682775552,KimikoGlenn,2018-09-25 05:31:13,en,interesting thread worth read (read end),26,2,Interesting thread. Worth a read (read to the end) https://t.co/IbZjstBVWo,"[interesting, thread, worth, read, (read, end)]","['interesting', 'thread', 'worth', 'read', 'read', 'end']"
40,1043516139228286976,KimikoGlenn,2018-09-22 15:03:29,en,buchwaldtalent: ready check #season guestbooktbs featuring always hilarious kimikoglenn almost #hav,0,5,"RT @buchwaldtalent: Ready to check in? Because #Season2 of @guestbooktbs, featuring the always hilarious @KimikoGlenn, is almost here! #hav…","[buchwaldtalent:, ready, check, #season, guestbooktbs, featuring, always, hilarious, kimikoglenn, almost, #hav]","['buchwaldtalent', 'ready', 'check', 'season', 'guestbooktbs', 'feature', 'hilarious', 'kimikoglenn', 'hav']"
41,1040961812232122368,KimikoGlenn,2018-09-15 13:53:30,en,imagineaworldnj: thank much cantorfitzgerld amazing kind beautiful kimikoglenn celebrity ambass,0,4,"RT @ImagineaWorldNJ: Thank you so much to @cantorfitzgerld and the amazing, kind, and beautiful @KimikoGlenn for being our celebrity ambass…","[imagineaworldnj:, thank, much, cantorfitzgerld, amazing, kind, beautiful, kimikoglenn, celebrity, ambass]","['imagineaworldnj', 'thank', 'cantorfitzgerld', 'amazing', 'kind', 'beautiful', 'kimikoglenn', 'celebrity', 'ambass']"
42,1039525580620931073,KimikoGlenn,2018-09-11 14:46:26,en,morgxn wait u break,10,0,@morgxn Wait. Did u just break up with me?!,"[morgxn, wait, u, break]","['morgxn', 'wait', 'u', 'break']"
43,1037520200042774528,KimikoGlenn,2018-09-06 01:57:46,en,disneytva: news pridelands broadway stars season like chrisissingin heatherheadley michaelluwoye jel,0,22,"RT @DisneyTVA: Some news from the pridelands! with some broadway stars on Season 3 like @ChrisisSingin, @heatherheadley @MichaelLuwoye @jel…","[disneytva:, news, pridelands, broadway, stars, season, like, chrisissingin, heatherheadley, michaelluwoye, jel]","['disneytva', 'news', 'pridelands', 'broadway', 'star', 'season', 'like', 'chrisissingin', 'heatherheadley', 'michaelluwoye', 'jel']"
44,1036075488995942400,KimikoGlenn,2018-09-02 02:17:00,en,yahoobe: chatted fab kimikoglenn who's #vidconaus,0,6,RT @yahoo7be: We chatted to the fab @KimikoGlenn who's here for #VidConAUS https://t.co/nq7mAWEEuO,"[yahoobe:, chatted, fab, kimikoglenn, who's, #vidconaus]","['yahoobe', 'chat', 'fab', 'kimikoglenn', 'vidconaus']"
45,1030944237427335168,KimikoGlenn,2018-08-18 22:27:14,en,kimmythepooh: youre years old rd grade class orders chinese food father delivers excited see po,0,107331,"RT @kimmythepooh: You’re 8 years old.
Your 3rd grade class orders chinese food &amp; your father delivers it. You are so excited to see your po…","[kimmythepooh:, youre, years, old, rd, grade, class, orders, chinese, food, father, delivers, excited, see, po]","['kimmythepooh', 'year', 'old', 'rd', 'grade', 'class', 'order', 'chinese', 'food', 'father', 'deliver', 'excited', 'po']"
46,1029794979827392513,KimikoGlenn,2018-08-15 18:20:30,en,time: 'crazy rich asians' going change hollywood time,0,233,"RT @TIME: ""'Crazy Rich Asians' is going to change Hollywood. It’s about time"" https://t.co/VtRxt6SmAD","[time:, 'crazy, rich, asians', going, change, hollywood, time]","['time', 'crazy', 'rich', 'asians', 'go', 'change', 'hollywood', 'time']"
47,1029730832095866880,KimikoGlenn,2018-08-15 14:05:36,en,danieldaekim: chicken-or-egg problem applies: get well-known asian actor dont ever cast asians leading rol,0,387,RT @danieldaekim: “The chicken-or-egg problem applies: how do you get a well-known Asian actor if you don’t ever cast Asians in leading rol…,"[danieldaekim:, chicken-or-egg, problem, applies:, get, well-known, asian, actor, dont, ever, cast, asians, leading, rol]","['danieldaekim', 'chicken', 'egg', 'problem', 'apply', 'know', 'asian', 'actor', 'not', 'cast', 'asians', 'lead', 'rol']"
48,1029730473822568448,KimikoGlenn,2018-08-15 14:04:11,en,franklinleonard: confirm #crazyrichasians best studio romantic comedy years,0,261,RT @franklinleonard: Can confirm that #CrazyRichAsians is the best studio romantic comedy in years,"[franklinleonard:, confirm, #crazyrichasians, best, studio, romantic, comedy, years]","['franklinleonard', 'confirm', 'crazyrichasian', 'good', 'studio', 'romantic', 'comedy', 'year']"
49,1029729071889043457,KimikoGlenn,2018-08-15 13:58:36,en,eugeneleeyang: yes #crazyrichasians stellar asian-american representation let's also talk best rom-com i'v,0,1388,"RT @EugeneLeeYang: Yes, #CrazyRichAsians has stellar Asian-American representation, but let's also talk about how it's the best rom-com I'v…","[eugeneleeyang:, yes, #crazyrichasians, stellar, asian-american, representation, let's, also, talk, best, rom-com, i'v]","['eugeneleeyang', 'yes', 'crazyrichasian', 'stellar', 'asian', 'american', 'representation', 'let', 'talk', 'good', 'rom', 'com', ""i'v""]"
