,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390133297813102594,MacConwell,2021-05-06 02:36:20,en,brookessinclair: macconwell amanimalc unspunio fastcompany rarebreedvc th grade hit growth spurt,0,1,"RT @brookessinclair: @MacConwell @Amanimalc @unspun_io @FastCompany @RarebreedVC When I was in 7th grade I hit a growth spurt, but being a…","[brookessinclair:, macconwell, amanimalc, unspunio, fastcompany, rarebreedvc, th, grade, hit, growth, spurt]","['brookessinclair', 'macconwell', 'amanimalc', 'unspunio', 'fastcompany', 'rarebreedvc', 'th', 'grade', 'hit', 'growth', 'spurt']"
1,1390132918857703433,MacConwell,2021-05-06 02:34:49,en,nitabs: yoheinakajima macconwell say mind blowing things happened investor timringel,0,1,RT @NitaBS: @yoheinakajima @MacConwell I have to say that some of the most mind blowing things have happened through my investor @timringel…,"[nitabs:, yoheinakajima, macconwell, say, mind, blowing, things, happened, investor, timringel]","['nitabs', 'yoheinakajima', 'macconwell', 'mind', 'blow', 'thing', 'happen', 'investor', 'timringel']"
2,1390132694550552578,MacConwell,2021-05-06 02:33:56,und,robbizle,2,0,@robbizle7 🙏🏾,[robbizle],['robbizle']
3,1390101008571830274,MacConwell,2021-05-06 00:28:01,en,yoheinakajima that's freaking awesome man,5,1,@yoheinakajima That's freaking awesome man,"[yoheinakajima, that's, freaking, awesome, man]","['yoheinakajima', 'freak', 'awesome', 'man']"
4,1390100968092704768,MacConwell,2021-05-06 00:27:52,en,yoheinakajima: found portfolio company closed big partnership thru intro made interestingly even know,0,2,"RT @yoheinakajima: Just found out a portfolio company closed a big partnership thru an intro I made.

Interestingly, I don't even know them…","[yoheinakajima:, found, portfolio, company, closed, big, partnership, thru, intro, made, interestingly, even, know]","['yoheinakajima', 'find', 'portfolio', 'company', 'close', 'big', 'partnership', 'intro', 'interestingly', 'know']"
5,1390088590525227009,MacConwell,2021-05-05 23:38:41,en,adotconnector: talking term sheets biggest brains must startup hotline time macconwell dunkhippo jefiel,0,2,"RT @ADotConnector: Talking Term Sheets with some of the biggest brains. It must be Startup Hotline Time 👀 
@MacConwell @dunkhippo33 @jefiel…","[adotconnector:, talking, term, sheets, biggest, brains, must, startup, hotline, time, macconwell, dunkhippo, jefiel]","['adotconnector', 'talk', 'term', 'sheet', 'big', 'brain', 'startup', 'hotline', 'time', 'macconwell', 'dunkhippo', 'jefiel']"
6,1390088541896597504,MacConwell,2021-05-05 23:38:29,en,hamayalc: learned whole venture funding process dunkhippos macconwells tweets ch rooms incubato,0,4,RT @HamayalC: Have learned more about the whole venture funding process from @dunkhippo33’s &amp; @MacConwell’s tweets &amp; CH rooms than incubato…,"[hamayalc:, learned, whole, venture, funding, process, dunkhippos, macconwells, tweets, ch, rooms, incubato]","['hamayalc', 'learn', 'venture', 'funding', 'process', 'dunkhippos', 'macconwells', 'tweet', 'ch', 'rooms', 'incubato']"
7,1390080637252608000,MacConwell,2021-05-05 23:07:05,en,happening right clubhouse,12,0,Happening right now in clubhouse https://t.co/xJNy1qe1Ud,"[happening, right, clubhouse]","['happen', 'right', 'clubhouse']"
8,1390069971938594821,MacConwell,2021-05-05 22:24:42,en,kevinmartin: love enter,0,1,RT @kevinmart_in: love this! Can I enter? 😉,"[kevinmartin:, love, enter]","['kevinmartin', 'love', 'enter']"
9,1390054554377523205,MacConwell,2021-05-05 21:23:26,und,vivianahurtado:,0,1,RT @vivianahurtado: 🔥💥🚀😍 https://t.co/ZCxaI3UsFf,[vivianahurtado:],['vivianahurtado']
10,1390038793676369927,MacConwell,2021-05-05 20:20:48,fr,neildevani fair,2,0,@neildevani 🤣🤣🤣 fair,"[neildevani, fair]","['neildevani', 'fair']"
11,1390034633518161924,MacConwell,2021-05-05 20:04:16,en,neildevani calling bro keep beating great deal,2,0,@neildevani I was calling you out bro. you keep beating me on great deal,"[neildevani, calling, bro, keep, beating, great, deal]","['neildevani', 'call', 'bro', 'beat', 'great', 'deal']"
12,1390033396102045701,MacConwell,2021-05-05 19:59:21,en,iamshellybell: round turned heat way voting time y'all themossymob drinkaguabonita need help,0,2,RT @iamshellybell: Round 2 turned the heat all the way up. It’s now voting time y'all ! 🗳@themossymob and @drinkaguabonita need your help t…,"[iamshellybell:, round, turned, heat, way, voting, time, y'all, themossymob, drinkaguabonita, need, help]","['iamshellybell', 'round', 'turn', 'heat', 'way', 'voting', 'time', 'themossymob', 'drinkaguabonita', 'nee', 'help']"
13,1390032390882537477,MacConwell,2021-05-05 19:55:22,en,neildevani i'm let's,9,0,@neildevani I'm down. Let's do this,"[neildevani, i'm, let's]","['neildevani', 'let']"
14,1390032057951211521,MacConwell,2021-05-05 19:54:02,en,macconwell: excited unspunio named one 's world-changing ideas fastcompany rarebreedv,0,9,RT @MacConwell: We are so excited about @unspun_io being named as one of 2021's World-Changing Ideas by @FastCompany that we at @RarebreedV…,"[macconwell:, excited, unspunio, named, one, 's, world-changing, ideas, fastcompany, rarebreedv]","['macconwell', 'excite', 'unspunio', 'name', 'world', 'change', 'idea', 'fastcompany', 'rarebreedv']"
15,1390029125188980736,MacConwell,2021-05-05 19:42:23,en,slicingpie: lordmj macconwell right bootstrapping,0,1,RT @SlicingPie: @lordmj @MacConwell Right! It's for bootstrapping....,"[slicingpie:, lordmj, macconwell, right, bootstrapping]","['slicingpie', 'lordmj', 'macconwell', 'right', 'bootstrapping']"
16,1390009403861045248,MacConwell,2021-05-05 18:24:01,en,honorthev: macconwell unspunio fastcompany rarebreedvc big thighs smaller waist chapped thighs horrible material could b,0,1,"RT @HONORTHEV: @MacConwell @unspun_io @FastCompany @RarebreedVC Big thighs, smaller waist, chapped thighs from horrible material. I could b…","[honorthev:, macconwell, unspunio, fastcompany, rarebreedvc, big, thighs, smaller, waist, chapped, thighs, horrible, material, could, b]","['honorthev', 'macconwell', 'unspunio', 'fastcompany', 'rarebreedvc', 'big', 'thigh', 'small', 'waist', 'chapped', 'thigh', 'horrible', 'material', 'b']"
