,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389489507540553730,MoodyKhedr,2021-05-04 07:58:08,en,rumi: born wings prefer crawl life,0,0,"Rumi: ""You were born with wings, why prefer to crawl through life?""","[rumi:, born, wings, prefer, crawl, life]","['rumi', 'bear', 'wing', 'prefer', 'crawl', 'life']"
1,1389489431602663426,MoodyKhedr,2021-05-04 07:57:50,en,rumi: task seek love merely seek find barriers,0,0,"Rumi: ""Your task is not to seek for love, but merely to seek and find all the barriers""","[rumi:, task, seek, love, merely, seek, find, barriers]","['rumi', 'task', 'seek', 'love', 'merely', 'seek', 'find', 'barrier']"
2,1389489317366620161,MoodyKhedr,2021-05-04 07:57:23,en,rumi: wear gratitude like cloak feed every corner life,1,0,"Rumi: ""Wear gratitude like a cloak and it will feed every corner of your life.""","[rumi:, wear, gratitude, like, cloak, feed, every, corner, life]","['rumi', 'wear', 'gratitude', 'like', 'cloak', 'feed', 'corner', 'life']"
3,1389447657593135105,MoodyKhedr,2021-05-04 05:11:50,en,interesting line tweets francoisbach wnrstweets joelakamag feel attacked,6,0,"What an interesting line of tweets... 

@francois_bach 
@wnrstweets 
@JoelakaMaG 

I feel attacked 💀 https://t.co/GYubLVQgwj","[interesting, line, tweets, francoisbach, wnrstweets, joelakamag, feel, attacked]","['interesting', 'line', 'tweet', 'francoisbach', 'wnrstweet', 'joelakamag', 'feel', 'attack']"
4,1389447037872128005,MoodyKhedr,2021-05-04 05:09:23,en,businessbarista: networking needs rebrand incredibly important think outdated tried reimag,0,202,"RT @businessbarista: Networking needs a rebrand. 

It's incredibly important, but how we think about it is so outdated. 

I tried to reimag…","[businessbarista:, networking, needs, rebrand, incredibly, important, think, outdated, tried, reimag]","['businessbarista', 'networking', 'need', 'rebrand', 'incredibly', 'important', 'think', 'outdated', 'try', 'reimag']"
5,1389439029754662912,MoodyKhedr,2021-05-04 04:37:33,en,thepatwalls: throwback first revenue generating month made exact gotta start,0,2,"RT @thepatwalls: Throwback to my first revenue generating month for https://t.co/nkcmLxbhzC. 

I made $3.32, to be exact.

You gotta start…","[thepatwalls:, throwback, first, revenue, generating, month, made, exact, gotta, start]","['thepatwalls', 'throwback', 'revenue', 'generating', 'month', 'exact', 'get', 'to', 'start']"
6,1389344834750664714,MoodyKhedr,2021-05-03 22:23:16,en,nonmayorpete: thread titled: quit job found new one could write thread twitter engagement sim,0,16,"RT @nonmayorpete: This thread is titled: “I Quit My Job and Found a New One So I Could Write a Thread for Twitter Engagement”

Or, more sim…","[nonmayorpete:, thread, titled:, quit, job, found, new, one, could, write, thread, twitter, engagement, sim]","['nonmayorpete', 'thread', 'title', 'quit', 'job', 'find', 'new', 'write', 'thread', 'twitter', 'engagement', 'sim']"
7,1388006708245671936,MoodyKhedr,2021-04-30 05:46:01,en,francoisbach: reminder: know getting vaxxed us many countries opening things still really,0,12,"RT @francois_bach: reminder: I know we’re all getting vaxxed in the US but many countries are not ""opening up"" and things are still really…","[francoisbach:, reminder:, know, getting, vaxxed, us, many, countries, opening, things, still, really]","['francoisbach', 'reminder', 'know', 'get', 'vaxxed', 'country', 'open', 'thing']"
8,1387891264616599558,MoodyKhedr,2021-04-29 22:07:17,en,cop e-book asap dr levy one awesome humans i've lucky meet learn,0,0,Cop the e-book ASAP. Dr. Levy is one of the most awesome humans I've been lucky to meet and learn from! https://t.co/oR6YMGQlQ0,"[cop, e-book, asap, dr, levy, one, awesome, humans, i've, lucky, meet, learn]","['cop', 'e', 'book', 'asap', 'dr', 'levy', 'awesome', 'human', 'lucky', 'meet', 'learn']"
9,1387694334519164928,MoodyKhedr,2021-04-29 09:04:46,und,swayswati yes,0,0,@swayswati Yes,"[swayswati, yes]","['swayswati', 'yes']"
10,1387694316697554953,MoodyKhedr,2021-04-29 09:04:41,und,swayswati wow,0,0,@swayswati Wow,"[swayswati, wow]","['swayswati', 'wow']"
11,1387247554988056578,MoodyKhedr,2021-04-28 03:29:25,und,mjr lunchboxtech nabeeleats,1,0,@m2jr @Lunchboxtech @nabeeleats 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀,"[mjr, lunchboxtech, nabeeleats]","['mjr', 'lunchboxtech', 'nabeeleats']"
12,1385321367105642496,MoodyKhedr,2021-04-22 19:55:26,en,great honor keynote speaker youth business summit awards ceremony,0,0,A great honor to be the Keynote speaker for the 2021 Youth Business Summit Awards Ceremony! https://t.co/worwA4AkA4,"[great, honor, keynote, speaker, youth, business, summit, awards, ceremony]","['great', 'honor', 'keynote', 'speaker', 'youth', 'business', 'summit', 'award', 'ceremony']"
13,1384399131418955777,MoodyKhedr,2021-04-20 06:50:48,en,abangmercy: startups die run cash die founders run energy naval,0,1704,"RT @AbangMercy: “Startups don't die when they run out of cash, they die when the founders run out of energy."" ~ Naval","[abangmercy:, startups, die, run, cash, die, founders, run, energy, naval]","['abangmercy', 'startup', 'die', 'run', 'cash', 'die', 'founder', 'run', 'energy', 'naval']"
14,1383957213937422350,MoodyKhedr,2021-04-19 01:34:47,en,join us tomorrow,0,0,Join us tomorrow! 😁 https://t.co/oCmra4RnI0,"[join, us, tomorrow]","['join', 'tomorrow']"
15,1383813308852051979,MoodyKhedr,2021-04-18 16:02:57,en,shl: productize yourself: conversations help people create content helps people build product,0,577,"RT @shl: How to productize yourself:

1. Have conversations that help people.
2. Create content that helps people.
3. Build a product that…","[shl:, productize, yourself:, conversations, help, people, create, content, helps, people, build, product]","['shl', 'productize', 'conversation', 'help', 'people', 'create', 'content', 'help', 'people', 'build', 'product']"
16,1383790800249622529,MoodyKhedr,2021-04-18 14:33:31,en,albert einstein said intuitive mind sacred gift rational mind faithful servant cre,6,1,"Albert Einstein said, ""The intuitive mind is a sacred gift and the rational mind is a faithful servant. We have cre… https://t.co/aY0XIy593i","[albert, einstein, said, intuitive, mind, sacred, gift, rational, mind, faithful, servant, cre]","['albert', 'einstein', 'say', 'intuitive', 'mind', 'sacred', 'gift', 'rational', 'mind', 'faithful', 'servant', 'cre']"
17,1382969208280072196,MoodyKhedr,2021-04-16 08:08:48,en,bosefina: questions like ask end intro calls: energized drained person see doe,0,6,"RT @Bosefina: Questions I like to ask myself at the end of intro calls: 
1. Am I energized or drained? 
2. Does this person SEE me? 
3. Doe…","[bosefina:, questions, like, ask, end, intro, calls:, energized, drained, person, see, doe]","['bosefina', 'question', 'like', 'ask', 'end', 'intro', 'call', 'energize', 'drain', 'person', 'doe']"
18,1382968955225190402,MoodyKhedr,2021-04-16 08:07:47,en,choubeysahab rhiannonio well said,1,0,@ChoubeySahab @rhiannon_io Well said!,"[choubeysahab, rhiannonio, well, said]","['choubeysahab', 'rhiannonio', 'say']"
19,1382965923292778499,MoodyKhedr,2021-04-16 07:55:45,en,kvlly: email: sorry last minute reschedule yes yes always thank,0,170,"RT @kvlly: Email: ""So sorry to do this at the last minute but can we reschedule?""

Yes. Yes we can. Always. Thank you.","[kvlly:, email:, sorry, last, minute, reschedule, yes, yes, always, thank]","['kvlly', 'email', 'sorry', 'minute', 'reschedule', 'yes', 'yes', 'thank']"
20,1382788795288989696,MoodyKhedr,2021-04-15 20:11:54,en,apompliano updated rules since :),0,0,@APompliano Any updated rules since then :)?,"[apompliano, updated, rules, since, :)]","['apompliano', 'update', 'rule']"
21,1382770179441049602,MoodyKhedr,2021-04-15 18:57:56,en,dougboneparth: investments highest returns: health career family safety sleep,0,383,"RT @dougboneparth: Investments With The Highest Returns:

~ Health
~ Career
~ Family
~ Safety
~ Sleep","[dougboneparth:, investments, highest, returns:, health, career, family, safety, sleep]","['dougboneparth', 'investment', 'high', 'return', 'health', 'career', 'family', 'safety', 'sleep']"
22,1382770053272236043,MoodyKhedr,2021-04-15 18:57:25,en,check summit,0,0,Check out this summit https://t.co/vkOrjQimj7,"[check, summit]","['check', 'summit']"
