,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389982832496312326,Nidhi,2021-05-05 16:38:26,en,indianexpress: joined politics srinivas cricketer represented karnataka under- team,0,245,"RT @IndianExpress: Before he joined politics, Srinivas was a cricketer who represented Karnataka in the under-19 team. https://t.co/3xb36cO…","[indianexpress:, joined, politics, srinivas, cricketer, represented, karnataka, under-, team]","['indianexpress', 'join', 'politics', 'srinivas', 'cricketer', 'represent', 'karnataka', 'under-', 'team']"
1,1389979165042962432,Nidhi,2021-05-05 16:23:52,en,nygovcuomo: new: broadway shows ready open september capacity tickets go sale starting tomorrow broadway,0,591,"RT @NYGovCuomo: NEW: Broadway shows will be ready to open September 14 at 100% capacity. Tickets go on sale starting tomorrow.

Broadway is…","[nygovcuomo:, new:, broadway, shows, ready, open, september, capacity, tickets, go, sale, starting, tomorrow, broadway]","['nygovcuomo', 'new', 'broadway', 'show', 'ready', 'open', 'september', 'capacity', 'ticket', 'sale', 'start', 'tomorrow', 'broadway']"
2,1389952754412527617,Nidhi,2021-05-05 14:38:55,en,amankayamhai take care aman listen doctor,82,3,@AmanKayamHai_ Take care Aman. Just listen to the doctor,"[amankayamhai, take, care, aman, listen, doctor]","['amankayamhai', 'care', 'aman', 'listen', 'doctor']"
3,1389952523419541509,Nidhi,2021-05-05 14:38:00,en,time india facing worst pandemic talked lack transparency regarding covid,406,60,"At a time when India is facing the worst of the pandemic, we talked about how lack of transparency regarding Covid… https://t.co/4nu0QMbPun","[time, india, facing, worst, pandemic, talked, lack, transparency, regarding, covid]","['time', 'india', 'face', 'bad', 'pandemic', 'talk', 'lack', 'transparency', 'covid']"
4,1389951153694146560,Nidhi,2021-05-05 14:32:33,en,nytimes: india experiencing devastating coronavirus crisis probably worsen gets better donors around,0,105,"RT @nytimes: India is experiencing a devastating coronavirus crisis, and it will probably worsen before it gets better.

Donors around the…","[nytimes:, india, experiencing, devastating, coronavirus, crisis, probably, worsen, gets, better, donors, around]","['nytimes', 'india', 'experience', 'devastating', 'coronavirus', 'crisis', 'probably', 'worsen', 'get', 'well', 'donor']"
5,1389936211473485827,Nidhi,2021-05-05 13:33:11,en,gargirawat: look vaccinations come lakh day tuesday lakh acute,0,247,"RT @GargiRawat: Look at how vaccinations have come down 🤦🏽‍♀️ We should have been doing 50 lakh a day, on Tuesday was below 15 lakh. Acute…","[gargirawat:, look, vaccinations, come, lakh, day, tuesday, lakh, acute]","['gargirawat', 'look', 'vaccination', 'come', 'lakh', 'day', 'tuesday', 'lakh', 'acute']"
6,1389922259268083712,Nidhi,2021-05-05 12:37:44,en,mattlaemon: covid- warriors: volunteers jk #sosjk team works round-the-clock ground social media ensure ambula,0,18,"RT @MattLaemon: Covid-19 Warriors: Volunteers from J&amp;K
The #SOSJK team works round-the-clock on ground and on social media to ensure ambula…","[mattlaemon:, covid-, warriors:, volunteers, jk, #sosjk, team, works, round-the-clock, ground, social, media, ensure, ambula]","['mattlaemon', 'covid-', 'warrior', 'volunteer', 'jk', 'sosjk', 'team', 'work', 'round', 'clock', 'ground', 'social', 'medium', 'ensure', 'ambula']"
7,1389919322487750656,Nidhi,2021-05-05 12:26:04,en,priyascorner rommeltickoo thanks priya,42,2,@Priyascorner @RommelTickoo Thanks Priya,"[priyascorner, rommeltickoo, thanks, priya]","['priyascorner', 'rommeltickoo', 'thank', 'priya']"
8,1389917580832362498,Nidhi,2021-05-05 12:19:09,en,piyuk ambarishsatwik thats one shouldnt google symptoms also,18,0,@PiyuK @AmbarishSatwik That’s why one shouldn’t google symptoms also,"[piyuk, ambarishsatwik, thats, one, shouldnt, google, symptoms, also]","['piyuk', 'ambarishsatwik', 's', 'not', 'google', 'symptom']"
9,1389907686846656515,Nidhi,2021-05-05 11:39:50,en,ambarishsatwik piyuk sigh read words think,63,1,@AmbarishSatwik @PiyuK Sigh. I read these words and think I have all of it,"[ambarishsatwik, piyuk, sigh, read, words, think]","['ambarishsatwik', 'piyuk', 'sigh', 'read', 'word', 'think']"
