,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1387123161263747078,PiyaSRoy,2021-04-27 19:15:07,en,havent already run bbcthree bbciplayer asap binge #starstruck inikeshpatel,15,3,"If you haven’t already, RUN to @bbcthree @BBCiPlayer asap and binge all of #Starstruck because @iNikeshPatel and… https://t.co/50MD9zOuKI","[havent, already, run, bbcthree, bbciplayer, asap, binge, #starstruck, inikeshpatel]","['not', 'run', 'bbcthree', 'bbciplayer', 'asap', 'binge', 'starstruck', 'inikeshpatel']"
1,1386819726848970755,PiyaSRoy,2021-04-26 23:09:23,en,derekschulte terrischwartz roguecheddar guyssss cutest,0,0,@derekschulte @Terri_Schwartz @RogueCheddar You guyssss are the cutest ❤️,"[derekschulte, terrischwartz, roguecheddar, guyssss, cutest]","['derekschulte', 'terrischwartz', 'roguecheddar', 'guyssss', 'cut']"
2,1386804534325006337,PiyaSRoy,2021-04-26 22:09:01,und,monitarajpal,1,0,@MonitaRajpal 👏🏽👏🏽👏🏽,[monitarajpal],['monitarajpal']
3,1386777270904295427,PiyaSRoy,2021-04-26 20:20:41,en,white journalists need stop asking poc creators work/win means community isnt good,18,0,White journalists need to stop asking POC creators what their work/win “means for the community.” This isn’t a good… https://t.co/4pL5iNtMb5,"[white, journalists, need, stop, asking, poc, creators, work/win, means, community, isnt, good]","['white', 'journalist', 'need', 'stop', 'ask', 'poc', 'creator', 'work', 'win', 'mean', 'community', 'not', 'good']"
4,1386777268937187328,PiyaSRoy,2021-04-26 20:20:40,en,ive seen mistakes happen pretty much every year awards season mainly black actors actresses,34,4,"I’ve seen these “mistakes” happen pretty much every year during awards season, mainly to Black actors, actresses an… https://t.co/PBxmM7tlSh","[ive, seen, mistakes, happen, pretty, much, every, year, awards, season, mainly, black, actors, actresses]","['have', 'see', 'mistake', 'happen', 'pretty', 'year', 'award', 'season', 'mainly', 'black', 'actor', 'actress']"
5,1386582577671200768,PiyaSRoy,2021-04-26 07:27:02,en,first time years didnt cover watch #oscars(spent day family instead) congratulations,2,0,First time in 11 years that I didn’t cover or watch #Oscars(spent the day with my family instead). Congratulations… https://t.co/ynmPZyS4Z8,"[first, time, years, didnt, cover, watch, #oscars(spent, day, family, instead), congratulations]","['time', 'year', 'not', 'cover', 'watch', 'oscars(spent', 'day', 'family', 'instead', 'congratulation']"
6,1384635730253815813,PiyaSRoy,2021-04-20 22:30:58,en,darnella frazier never witness tragedy recorded statement would ha,8,2,"Darnella Frazier should never have had to witness this tragedy but had she not recorded it, this statement would ha… https://t.co/ZjVwPiVRXY","[darnella, frazier, never, witness, tragedy, recorded, statement, would, ha]","['darnella', 'frazier', 'witness', 'tragedy', 'record', 'statement', 'ha']"
7,1384629516111319041,PiyaSRoy,2021-04-20 22:06:16,en,george floyd breonna taylor duante wright elijah mcclain rayshard brooks philando castile alton sterling san,5,3,George Floyd. Breonna Taylor. Duante Wright. Elijah McClain. Rayshard Brooks. Philando Castile. Alton Sterling. San… https://t.co/59Nw1qPEMS,"[george, floyd, breonna, taylor, duante, wright, elijah, mcclain, rayshard, brooks, philando, castile, alton, sterling, san]","['george', 'floyd', 'breonna', 'taylor', 'duante', 'wright', 'elijah', 'mcclain', 'rayshard', 'brooks', 'philando', 'castile', 'alton', 'sterling', 'san']"
8,1384617176519299072,PiyaSRoy,2021-04-20 21:17:14,en,guilty guilty guilty still long way go hopefully sets precedent accountability justice,14,0,"Guilty. Guilty. Guilty. Still such a long way to go but hopefully this sets a precedent for accountability, justice… https://t.co/ZMMEliyUrg","[guilty, guilty, guilty, still, long, way, go, hopefully, sets, precedent, accountability, justice]","['guilty', 'guilty', 'guilty', 'long', 'way', 'hopefully', 'set', 'precedent', 'accountability', 'justice']"
9,1382759033950572553,PiyaSRoy,2021-04-15 18:13:38,en,hour free tonight highly recommend spending inikeshpatel siansuniverse funny,2,0,"If you have an hour free tonight, highly recommend spending it with @iNikeshPatel and @SiansUniverse in this funny,… https://t.co/1ONDdIAUTJ","[hour, free, tonight, highly, recommend, spending, inikeshpatel, siansuniverse, funny]","['hour', 'free', 'tonight', 'highly', 'recommend', 'spend', 'inikeshpatel', 'siansuniverse', 'funny']"
10,1382672556629622786,PiyaSRoy,2021-04-15 12:30:00,en,people outside england idea dramatic colin caterpillar cake lawsuit gonna,8,0,People outside of England have no idea how dramatic this Colin the Caterpillar Cake lawsuit is gonna be... https://t.co/WlOdIoscZI,"[people, outside, england, idea, dramatic, colin, caterpillar, cake, lawsuit, gonna]","['people', 'outside', 'england', 'idea', 'dramatic', 'colin', 'caterpillar', 'cake', 'lawsuit', 'go', 'to']"
11,1382601766756356100,PiyaSRoy,2021-04-15 07:48:43,en,lindazge love congratulations,1,0,"@lindazge Love this, congratulations!!","[lindazge, love, congratulations]","['lindazge', 'love', 'congratulation']"
