,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1393656287200690178,Richard_Mann11,2021-05-15 19:55:26,en,joeashdownsport rhodesdom ridiculous beast,0,0,@joeashdownsport @Rhodes91Dom Ridiculous beast,"[joeashdownsport, rhodesdom, ridiculous, beast]","['joeashdownsport', 'rhodesdom', 'ridiculous', 'beast']"
1,1393253141366329349,Richard_Mann11,2021-05-14 17:13:28,en,betfairexchange: want know pros essential listening aspiring bettor paulmotty cricketbetting richar,0,4,RT @BetfairExchange: Want to know how the pros do it? Essential listening for the aspiring bettor as @paulmotty @cricketbetting and @Richar…,"[betfairexchange:, want, know, pros, essential, listening, aspiring, bettor, paulmotty, cricketbetting, richar]","['betfairexchange', 'want', 'know', 'pro', 'essential', 'listen', 'aspire', 'bettor', 'paulmotty', 'cricketbetting', 'richar']"
2,1393195151267450884,Richard_Mann11,2021-05-14 13:23:03,en,cricketbetting: cricketonly bettor strategy show paulmotty richardmann betfair importance k,0,3,"RT @cricketbetting: 🎙️CRICKET...ONLY BETTOR 8⃣0⃣🎙️

The Strategy Show with @paulmotty &amp; @Richard_Mann11 for @Betfair 

📝The importance of k…","[cricketbetting:, cricketonly, bettor, strategy, show, paulmotty, richardmann, betfair, importance, k]","['cricketbetting', 'cricketonly', 'bettor', 'strategy', 'paulmotty', 'richardmann', 'betfair', 'importance', 'k']"
3,1392418262898679808,Richard_Mann11,2021-05-12 09:55:58,en,cricketbetting: cricketonly bettor strategy show betfair sampsoncollins paulmotty richardmann answer,0,7,"RT @cricketbetting: 🎙️CRICKET...ONLY BETTOR 8⃣0⃣🎙️

The Strategy Show for @Betfair 
@sampsoncollins , @paulmotty &amp; @Richard_Mann11 
answer…","[cricketbetting:, cricketonly, bettor, strategy, show, betfair, sampsoncollins, paulmotty, richardmann, answer]","['cricketbetting', 'cricketonly', 'bettor', 'strategy', 'betfair', 'sampsoncollins', 'paulmotty', 'richardmann', 'answer']"
4,1392215742578298885,Richard_Mann11,2021-05-11 20:31:13,en,different feel weeks podcast one hope people find useful certainly enjoyed paul ed ar,7,1,"A different feel to this week’s podcast but one I hope people find useful. I certainly enjoyed it. 

Paul and Ed ar… https://t.co/nm6k0CgE1i","[different, feel, weeks, podcast, one, hope, people, find, useful, certainly, enjoyed, paul, ed, ar]","['different', 'feel', 'week', 'podcast', 'hope', 'people', 'find', 'useful', 'certainly', 'enjoy', 'paul', 'ed', 'ar']"
5,1391712254148632579,Richard_Mann11,2021-05-10 11:10:32,en,cricketbetting: cricketonly bettor strategy show betfair bet cricket dos don'ts,0,3,"RT @cricketbetting: 🎙️CRICKET...ONLY BETTOR8⃣0⃣ 🎙️

🪄It's The Strategy Show for @Betfair 

💰How to bet on cricket

⚖️The dos and the don'ts…","[cricketbetting:, cricketonly, bettor, strategy, show, betfair, bet, cricket, dos, don'ts]","['cricketbetting', 'cricketonly', 'bettor', 'strategy', 'betfair', 'bet', 'cricket', 'dos', ""don't""]"
6,1391699165613277187,Richard_Mann11,2021-05-10 10:18:32,en,philhaigh think karaoke nickmetcalfe serenading lucky applicant would seal deal,2,0,@philhaigh_ I think karaoke @Nick_Metcalfe serenading the lucky applicant would seal the deal,"[philhaigh, think, karaoke, nickmetcalfe, serenading, lucky, applicant, would, seal, deal]","['philhaigh', 'think', 'karaoke', 'nickmetcalfe', 'serenade', 'lucky', 'applicant', 'seal', 'deal']"
7,1391484929603772419,Richard_Mann11,2021-05-09 20:07:14,en,weeks work coming post snooker season ipl halted spent last shift writi,2,0,"A few weeks off work coming up, post snooker season and with the IPL being halted. 

Have spent my last shift writi… https://t.co/NTTEPWv1lN","[weeks, work, coming, post, snooker, season, ipl, halted, spent, last, shift, writi]","['week', 'work', 'come', 'post', 'snooker', 'season', 'ipl', 'halt', 'spend', 'shift', 'writi']"
8,1391329513792065537,Richard_Mann11,2021-05-09 09:49:40,en,regis love,3,0,"Regis, I love you.","[regis, love]","['regis', 'love']"
9,1391135618613358596,Richard_Mann11,2021-05-08 20:59:12,en,chads got dubawi good one #initalian,0,0,Chad’s got himself a Dubawi. A good one. #InItalian,"[chads, got, dubawi, good, one, #initalian]","['chad', 'get', 'dubawi', 'good', 'initalian']"
10,1391124730690916353,Richard_Mann11,2021-05-08 20:15:56,en,brilliant preview tonights big fight,0,0,A brilliant preview of tonight’s big fight. https://t.co/T47oba8Ncz,"[brilliant, preview, tonights, big, fight]","['brilliant', 'preview', 'tonights', 'big', 'fight']"
11,1391075159717601280,Richard_Mann11,2021-05-08 16:58:57,en,bencoleygolf bugger north sea,0,0,@BenColeyGolf Bugger the North Sea,"[bencoleygolf, bugger, north, sea]","['bencoleygolf', 'bugger', 'north', 'sea']"
12,1390626515860209665,Richard_Mann11,2021-05-07 11:16:12,en,chrisoliver big-fight preview #canelosaunders bout goes live sportinglife saunders,3,0,"@ChrisOliver1980 big-fight preview for the #CaneloSaunders bout goes live on @SportingLife at 1300.

‘Saunders has… https://t.co/Er7PBm1SEf","[chrisoliver, big-fight, preview, #canelosaunders, bout, goes, live, sportinglife, saunders]","['chrisoliver', 'big', 'fight', 'preview', 'canelosaunder', 'bout', 'go', 'live', 'sportinglife', 'saunders']"
13,1390510028449320961,Richard_Mann11,2021-05-07 03:33:19,en,sportinglife: cricketonly bettor podcast find #ipl postponement means bets stars future,0,2,"RT @SportingLife: 🎙️ Cricket...Only Bettor podcast!

🤔 Find out what the #IPL postponement means for your bets

💫 Stars of the future and I…","[sportinglife:, cricketonly, bettor, podcast, find, #ipl, postponement, means, bets, stars, future]","['sportinglife', 'cricketonly', 'bettor', 'podcast', 'find', 'ipl', 'postponement', 'mean', 'bet', 'star', 'future']"
14,1390344987708166148,Richard_Mann11,2021-05-06 16:37:31,en,two goes week: monday full winners never tuesday night reflection think weve foun,2,1,"Two goes this week: Monday was full of ‘winners’ that never were, Tuesday a night of reflection. 

Think we’ve foun… https://t.co/jYGmWqJeQY","[two, goes, week:, monday, full, winners, never, tuesday, night, reflection, think, weve, foun]","['go', 'week', 'monday', 'winner', 'tuesday', 'night', 'reflection', 'think', 'have', 'foun']"
15,1390310367457329156,Richard_Mann11,2021-05-06 14:19:56,en,great race watch moore doyle playing cat mouse whole way round: doyle action taking,1,0,"Great race to watch, that. Moore and Doyle playing cat and mouse the whole way round: Doyle all action and taking t… https://t.co/auxUpcZq3f","[great, race, watch, moore, doyle, playing, cat, mouse, whole, way, round:, doyle, action, taking]","['great', 'race', 'watch', 'moore', 'doyle', 'play', 'cat', 'mouse', 'way', 'round', 'doyle', 'action', 'take']"
16,1390254799514443777,Richard_Mann11,2021-05-06 10:39:08,en,cricketbetting: cricketonly bettor #ipl postponement means bets bets future #zimvpak n,0,4,"RT @cricketbetting: 🎙️CRICKET...ONLY BETTOR 7⃣9⃣ 🎙️

💰What the #IPL postponement means for your bets

💥Bets of the future

🇿🇼🇵🇰 #ZimvPak 2n…","[cricketbetting:, cricketonly, bettor, #ipl, postponement, means, bets, bets, future, #zimvpak, n]","['cricketbetting', 'cricketonly', 'bettor', 'ipl', 'postponement', 'mean', 'bet', 'bet', 'future', 'zimvpak', 'n']"
17,1390205476424585217,Richard_Mann11,2021-05-06 07:23:09,en,tomc wouldnt mind pound behind big boy,0,0,@TomC_22 Wouldn’t mind been a pound behind you big boy,"[tomc, wouldnt, mind, pound, behind, big, boy]","['tomc', 'not', 'mind', 'pound', 'big', 'boy']"
18,1389589945669586957,Richard_Mann11,2021-05-04 14:37:15,en,nmpunter lesley chow,1,0,@NMPunter Lesley Chow???,"[nmpunter, lesley, chow]","['nmpunter', 'lesley', 'chow']"
19,1389529839288430595,Richard_Mann11,2021-05-04 10:38:24,en,trying blow trumpet tipping / winner hasnt escaped golf man bencoleygolf,0,0,"While trying to blow my own trumpet for tipping a 9/1 winner, it hasn’t escaped me that the golf man @BenColeyGolf… https://t.co/cFyWmm2pKw","[trying, blow, trumpet, tipping, /, winner, hasnt, escaped, golf, man, bencoleygolf]","['try', 'blow', 'trumpet', 'tipping', 'winner', 'not', 'escape', 'golf', 'man', 'bencoleygolf']"
20,1389528812191354887,Richard_Mann11,2021-05-04 10:34:19,en,think tweet snooker pleased selby delivered sheffield made project,5,0,"Think I can tweet about snooker again now. 

So pleased Selby delivered in Sheffield, having made him a project of… https://t.co/H8hLawrErN","[think, tweet, snooker, pleased, selby, delivered, sheffield, made, project]","['think', 'tweet', 'snooker', 'please', 'selby', 'deliver', 'sheffield', 'project']"
21,1388066820628885505,Richard_Mann11,2021-04-30 09:44:53,und,ibrahim rcb,1,0,@IBRAHIM62929399 RCB 👍🏻,"[ibrahim, rcb]","['ibrahim', 'rcb']"
22,1388066744355495942,Richard_Mann11,2021-04-30 09:44:35,en,chrisoliver: busy weekend action starts good one,0,2,"RT @ChrisOliver1980: Busy weekend of action starts with a good one
https://t.co/aJVhc7CJ72","[chrisoliver:, busy, weekend, action, starts, good, one]","['chrisoliver', 'busy', 'weekend', 'action', 'start', 'good']"
23,1387927204445757446,Richard_Mann11,2021-04-30 00:30:06,en,brendon mccullum gone joseph stalin #ipl kkr coach said cant change man change,3,0,"Brendon McCullum has gone very Joseph Stalin at #IPL2021. The KKR coach has said ‘if you can’t change a man, change… https://t.co/eyffWpMDwI","[brendon, mccullum, gone, joseph, stalin, #ipl, kkr, coach, said, cant, change, man, change]","['brendon', 'mccullum', 'go', 'joseph', 'stalin', 'ipl', 'kkr', 'coach', 'say', 'not', 'change', 'man', 'change']"
