,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389831083030585345,SPICinemas,2021-05-05 06:35:26,en,times changed book tickets spi app/website enjoy favorite movies without,11,0,"Times have changed and so have we. Now, book tickets through SPI app/website to enjoy your favorite movies without… https://t.co/uu2G4eusvg","[times, changed, book, tickets, spi, app/website, enjoy, favorite, movies, without]","['times', 'change', 'book', 'ticket', 'spi', 'app', 'website', 'enjoy', 'favorite', 'movie']"
1,1389557497376108548,SPICinemas,2021-05-04 12:28:18,en,shivajiyadav correct answer,1,1,@shivajiyadav143 That is the correct answer!,"[shivajiyadav, correct, answer]","['shivajiyadav', 'correct', 'answer']"
2,1389557423539589124,SPICinemas,2021-05-04 12:28:01,en,alluarj bunnychay absolutely correct,0,0,@AlluArj82329574 @bunny_chay Absolutely correct!,"[alluarj, bunnychay, absolutely, correct]","['alluarj', 'bunnychay', 'absolutely', 'correct']"
3,1389557346922237964,SPICinemas,2021-05-04 12:27:42,en,naveenc correct movie names,1,0,@NaveenC96601347 Those are the correct movie names!,"[naveenc, correct, movie, names]","['naveenc', 'correct', 'movie', 'name']"
4,1389557265632423936,SPICinemas,2021-05-04 12:27:23,en,arnavakalyankar guessed correctly,1,0,@arnavakalyankar You guessed correctly!,"[arnavakalyankar, guessed, correctly]","['arnavakalyankar', 'guess', 'correctly']"
5,1389557159462019080,SPICinemas,2021-05-04 12:26:58,en,pavankalyanallu absolutely correct,0,0,@pavankalyanAllu You are absolutely correct!,"[pavankalyanallu, absolutely, correct]","['pavankalyanallu', 'absolutely', 'correct']"
6,1389557065706655746,SPICinemas,2021-05-04 12:26:35,en,badboy correct answer,1,0,@Badboy3205 Correct answer!,"[badboy, correct, answer]","['badboy', 'correct', 'answer']"
7,1389557002272055296,SPICinemas,2021-05-04 12:26:20,en,jrohi aateofficial correct answer,1,0,@jrohi4 @AATEofficial That is the correct answer!,"[jrohi, aateofficial, correct, answer]","['jrohi', 'aateofficial', 'correct', 'answer']"
8,1389556926233464837,SPICinemas,2021-05-04 12:26:02,en,aaryacsk pavankalyanallu correct,1,0,@AAryaCsk @pavankalyanAllu Correct!,"[aaryacsk, pavankalyanallu, correct]","['aaryacsk', 'pavankalyanallu', 'correct']"
9,1389556358425440258,SPICinemas,2021-05-04 12:23:47,en,arinu proudaadhf correct answer,0,0,@Arinu37805621 @ProudAADHF That is the correct answer!,"[arinu, proudaadhf, correct, answer]","['arinu', 'proudaadhf', 'correct', 'answer']"
10,1389556278393933825,SPICinemas,2021-05-04 12:23:28,en,impraneethaadhf aateofficial correct answer,1,0,@ImPraneethAAdhf @AATEofficial That is the correct answer!,"[impraneethaadhf, aateofficial, correct, answer]","['impraneethaadhf', 'aateofficial', 'correct', 'answer']"
11,1389556204607705093,SPICinemas,2021-05-04 12:23:10,en,devidasan correct,1,0,@Devidasan5 Correct!,"[devidasan, correct]","['devidasan', 'correct']"
12,1389556147850338306,SPICinemas,2021-05-04 12:22:57,en,iammadhuaa correct answer,1,0,@iammadhuAA That is the correct answer!,"[iammadhuaa, correct, answer]","['iammadhuaa', 'correct', 'answer']"
13,1389556044993495043,SPICinemas,2021-05-04 12:22:32,en,allu correct,1,0,@Allu183 Correct!,"[allu, correct]","['allu', 'correct']"
14,1389555978517942272,SPICinemas,2021-05-04 12:22:16,en,shahireditz teamaaarmy absolutely correct,1,0,@shahireditz @TeamAAArmy You are absolutely correct👏,"[shahireditz, teamaaarmy, absolutely, correct]","['shahireditz', 'teamaaarmy', 'absolutely', 'correct']"
15,1389555679896031239,SPICinemas,2021-05-04 12:21:05,en,sudharshanj correct answer,0,0,@Sudharshanj5 That is the correct answer!,"[sudharshanj, correct, answer]","['sudharshanj', 'correct', 'answer']"
16,1389555334713200645,SPICinemas,2021-05-04 12:19:43,en,bsanvith correct answer,0,0,@BSanvith That is the correct answer!,"[bsanvith, correct, answer]","['bsanvith', 'correct', 'answer']"
17,1389555115938381831,SPICinemas,2021-05-04 12:18:50,en,pavankumarnv impraneethaadhf correct,0,0,@Pavankumarnv21 @ImPraneethAAdhf Correct!,"[pavankumarnv, impraneethaadhf, correct]","['pavankumarnv', 'impraneethaadhf', 'correct']"
18,1389555051589341193,SPICinemas,2021-05-04 12:18:35,en,sowryayanni bheemarthichan correct answer,0,0,@sowrya_yanni @bheemarthichan1 That is the correct answer!,"[sowryayanni, bheemarthichan, correct, answer]","['sowryayanni', 'bheemarthichan', 'correct', 'answer']"
19,1389554964553289733,SPICinemas,2021-05-04 12:18:14,en,devanan absolutely correct,0,0,@Devanan70234615 You are absolutely correct!,"[devanan, absolutely, correct]","['devanan', 'absolutely', 'correct']"
20,1389554844147482625,SPICinemas,2021-05-04 12:17:46,en,allutlakumar arjunchiluveru got correct,2,1,@AllutlaKumar @ArjunChiluveru You got 2 of them correct!👏,"[allutlakumar, arjunchiluveru, got, correct]","['allutlakumar', 'arjunchiluveru', 'get', 'correct']"
21,1389537617624985603,SPICinemas,2021-05-04 11:09:19,en,safety hands encourage keep masks time #maskup #covid #spicinemas,10,0,"Your safety is in your hands, we encourage you to keep your masks on all the time.

#Maskup #Covid19 #SPICinemas… https://t.co/axPon0I8fR","[safety, hands, encourage, keep, masks, time, #maskup, #covid, #spicinemas]","['safety', 'hand', 'encourage', 'mask', 'time', 'maskup', 'covid', 'spicinemas']"
22,1389233880834605058,SPICinemas,2021-05-03 15:02:22,en,different roles one star name movies correctly #movieroles #characters #actors #alluarjun,204,127,"Different roles, one star. Can you name the movies correctly?

#Movieroles #Characters #Actors #AlluArjun… https://t.co/N8h4wCFNGH","[different, roles, one, star, name, movies, correctly, #movieroles, #characters, #actors, #alluarjun]","['different', 'role', 'star', 'movie', 'correctly', 'movierole', 'character', 'actor', 'alluarjun']"
23,1388712352443469826,SPICinemas,2021-05-02 04:30:00,en,think clues enough guess movie poster #guessthemovie #movieposter #quiz,24,11,"We think these clues are enough for you to guess which movie poster is this.

#Guessthemovie #Movieposter #Quiz… https://t.co/1vt1sL6P6q","[think, clues, enough, guess, movie, poster, #guessthemovie, #movieposter, #quiz]","['think', 'clue', 'guess', 'movie', 'poster', 'guessthemovie', 'movieposter', 'quiz']"
24,1388441323565289476,SPICinemas,2021-05-01 10:33:02,en,popcorn come list snacks order away continue amazing,12,0,"Not just the popcorn, we have come up with a list of snacks for you! So order away and continue having an amazing m… https://t.co/OqOB6RjHj6","[popcorn, come, list, snacks, order, away, continue, amazing]","['popcorn', 'come', 'list', 'snack', 'order', 'away', 'continue', 'amazing']"
25,1388387934890455050,SPICinemas,2021-05-01 07:00:53,en,sending wishes th birthday self-made star #thalaajith looking forward future films comi,2466,1519,Sending our wishes on his 50th birthday to the self-made star #ThalaAjith! Looking forward to his future films comi… https://t.co/c4b5lx5mru,"[sending, wishes, th, birthday, self-made, star, #thalaajith, looking, forward, future, films, comi]","['send', 'wish', 'th', 'birthday', 'self', 'star', 'thalaajith', 'look', 'forward', 'future', 'film', 'comi']"
26,1388372863527243776,SPICinemas,2021-05-01 06:01:00,en,turn music get ready upcoming #intheheightsmovie coming spi theaters near summer,16,1,Turn up the music and get ready for the upcoming #InTheHeightsMovie coming to SPI theaters near you this summer!… https://t.co/tdR0jkB80l,"[turn, music, get, ready, upcoming, #intheheightsmovie, coming, spi, theaters, near, summer]","['turn', 'music', 'ready', 'upcoming', 'intheheightsmovie', 'come', 'spi', 'theater', 'near', 'summer']"
27,1388036753538183171,SPICinemas,2021-04-30 07:45:25,en,smoffl gave correct answer good job,1,0,@SM_Offl You gave the correct answer! Good job!,"[smoffl, gave, correct, answer, good, job]","['smoffl', 'give', 'correct', 'answer', 'good', 'job']"
28,1388036607085727744,SPICinemas,2021-04-30 07:44:50,en,rameshuniversal correct ones,1,0,@rameshUNIVERSAL Those are the correct ones!,"[rameshuniversal, correct, ones]","['rameshuniversal', 'correct', 'one']"
29,1388036512248303622,SPICinemas,2021-04-30 07:44:27,en,suji yes correct ones good job,0,0,"@suji0501 Yes, those are the correct ones! Good job!","[suji, yes, correct, ones, good, job]","['suji', 'yes', 'correct', 'one', 'good', 'job']"
30,1388036129769672706,SPICinemas,2021-04-30 07:42:56,en,aj sethu correct ones,1,1,@Aj47913773 @sethu22392 Correct! Those are the ones!,"[aj, sethu, correct, ones]","['aj', 'sethu', 'correct', 'one']"
31,1388036036513570816,SPICinemas,2021-04-30 07:42:34,en,princemohank got one correct answer two well,0,0,"@prince_mohank You got one correct, answer the other two as well!","[princemohank, got, one, correct, answer, two, well]","['princemohank', 'get', 'correct', 'answer']"
32,1388035865587326978,SPICinemas,2021-04-30 07:41:53,en,aravinthlena got correct,1,0,@AravinthLena You got all 3 correct!,"[aravinthlena, got, correct]","['aravinthlena', 'get', 'correct']"
33,1388031046868881409,SPICinemas,2021-04-30 07:22:44,te,spi,7,0,ఒక అమ్మాయి క్రైమ్ స్టోరీ సినిమా టికెట్స్ ఇప్పుడు మీ దగ్గరలో ఉన్న Spi థియేటర్స్ లో బుక్ చేసుకోండి. ఆహ్లాదకరమైన వారంత… https://t.co/vek5FK6CVr,[spi],['spi']
34,1387644258174201858,SPICinemas,2021-04-29 05:45:46,en,#master mania know loved movie guess differences two,111,53,It’s #Master mania all over again! We know you loved the movie and now can you guess 3 differences between the two… https://t.co/papiAhlFvU,"[#master, mania, know, loved, movie, guess, differences, two]","['master', 'mania', 'know', 'love', 'movie', 'guess', 'difference']"
35,1387277922101202946,SPICinemas,2021-04-28 05:30:05,en,safety starts wearing mask encourage wear mask times premises #maskup,11,1,"Safety starts with wearing a mask. We encourage you to wear a mask during all times in our premises.

#Maskup… https://t.co/VU8aesqsTY","[safety, starts, wearing, mask, encourage, wear, mask, times, premises, #maskup]","['safety', 'start', 'wear', 'mask', 'encourage', 'wear', 'mask', 'time', 'premise', 'maskup']"
36,1386996037261271044,SPICinemas,2021-04-27 10:49:59,en,get ready ultimate family event summer watch trailer #peterrabbit: runaway,12,0,Get ready for the ultimate family event this summer. Watch the trailer of #PeterRabbit2: The Runaway now 🐰… https://t.co/1h62YJqrqy,"[get, ready, ultimate, family, event, summer, watch, trailer, #peterrabbit:, runaway]","['ready', 'ultimate', 'family', 'event', 'summer', 'watch', 'trailer', 'peterrabbit', 'runaway']"
37,1386920625978019842,SPICinemas,2021-04-27 05:50:19,en,head start arya arya lets see name #tollywood movies sequels #sequels,14,0,"Here is a head start Arya, Arya 2. Let’s see if you can name 5 #Tollywood movies with their sequels.

 #Sequels… https://t.co/AnmhKJCTGH","[head, start, arya, arya, lets, see, name, #tollywood, movies, sequels, #sequels]","['head', 'start', 'arya', 'arya', 'let', 'tollywood', 'movie', 'sequel', 'sequel']"
38,1386668588887461888,SPICinemas,2021-04-26 13:08:49,en,make sure unforgettable movie experience every time visit #watchmovies #dtech #watchind,18,0,"We make sure you have an unforgettable movie experience every time you visit.

#Watchmovies #3Dtech #Watchin3D… https://t.co/pTUg8qHGon","[make, sure, unforgettable, movie, experience, every, time, visit, #watchmovies, #dtech, #watchind]","['sure', 'unforgettable', 'movie', 'experience', 'time', 'visit', 'watchmovie', 'dtech', 'watchind']"
39,1386632326159888388,SPICinemas,2021-04-26 10:44:43,en,actor #karthi coming new action-thriller film titled #sardar directed ps mithran irumbuthirai fame,40,2,Actor #Karthi is coming with a new action-thriller film titled #Sardar directed by PS Mithran of Irumbuthirai fame.… https://t.co/MSLPhVOFOK,"[actor, #karthi, coming, new, action-thriller, film, titled, #sardar, directed, ps, mithran, irumbuthirai, fame]","['actor', 'karthi', 'come', 'new', 'action', 'thriller', 'film', 'title', 'sardar', 'direct', 'ps', 'mithran', 'irumbuthirai', 'fame']"
40,1386175637312966658,SPICinemas,2021-04-25 04:30:00,en,bring writer show us love #spicinemas #movies #entertainment #watchmovies #cinema,13,0,"Bring out the writer in you and show us your love for #SPICinemas

#Movies #Entertainment #Watchmovies #Cinema… https://t.co/Ctx1D2SpRG","[bring, writer, show, us, love, #spicinemas, #movies, #entertainment, #watchmovies, #cinema]","['bring', 'writer', 'love', 'spicinemas', 'movie', 'entertainment', 'watchmovie', 'cinema']"
41,1385829628942589955,SPICinemas,2021-04-24 05:35:05,en,whats better watching cricket spi order choice snacks online keep enjoyment going wi,11,0,What’s better than watching cricket with SPI? Order your choice of snacks online and keep the enjoyment going on wi… https://t.co/qNiAgviti2,"[whats, better, watching, cricket, spi, order, choice, snacks, online, keep, enjoyment, going, wi]","['s', 'well', 'watch', 'cricket', 'spi', 'order', 'choice', 'snack', 'online', 'enjoyment', 'go', 'wi']"
42,1385590136532922369,SPICinemas,2021-04-23 13:43:26,en,guys ready horrific fest #idiots trailer coming april th #aarambikalaama #trailerupdate,30,3,"Are you guys ready? The horrific fest #IDIOT’s trailer is coming on April 25th

#Aarambikalaama #Trailerupdate… https://t.co/bdyDAxtSmO","[guys, ready, horrific, fest, #idiots, trailer, coming, april, th, #aarambikalaama, #trailerupdate]","['guy', 'ready', 'horrific', 'fest', 'idiot', 'trailer', 'come', 'april', 'th', 'aarambikalaama', 'trailerupdate']"
