,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389826914462748674,ShamikaRavi,2021-05-05 06:18:52,en,satishktm best look day moving averages everything - rather day day fluctuations,1,0,@SatishKTM Best to look at 7 day moving averages of everything - rather than day to day fluctuations.,"[satishktm, best, look, day, moving, averages, everything, -, rather, day, day, fluctuations]","['satishktm', 'good', 'look', 'day', 'move', 'average', 'day', 'day', 'fluctuation']"
1,1389825954277597188,ShamikaRavi,2021-05-05 06:15:03,in,daily cases: stabilizing across several states - mh kl dl ct gj mp ts jh ga,327,63,"Daily cases: stabilizing across several states - MH, KL, UP, DL, CT, GJ, MP, TS, JH, GA...🤞🏼🤞🏼 https://t.co/E9VjbYsXIH","[daily, cases:, stabilizing, across, several, states, -, mh, kl, dl, ct, gj, mp, ts, jh, ga]","['daily', 'case', 'stabilize', 'state', 'mh', 'kl', 'dl', 'ct', 'gj', 'mp', 'ts', 'jh', 'ga']"
2,1389825941862420481,ShamikaRavi,2021-05-05 06:15:00,en,daily testing across states: falling stages (not good),312,43,Daily testing across states: falling in some stages (not good!) https://t.co/7euE9FtUGB,"[daily, testing, across, states:, falling, stages, (not, good)]","['daily', 'testing', 'state', 'fall', 'stage', 'good']"
3,1389825930294489091,ShamikaRavi,2021-05-05 06:14:58,en,daily testing continues grow,306,41,Daily testing continues to grow https://t.co/UdIACf6R7N,"[daily, testing, continues, grow]","['daily', 'testing', 'continue', 'grow']"
4,1389825919095762944,ShamikaRavi,2021-05-05 06:14:55,en,daily recovery rising daily deaths stabilizing daily new active cases: falling sharply,362,89,"Daily recovery rising
Daily deaths stabilizing
Daily new active cases: falling sharply https://t.co/0KjnDoqn4o","[daily, recovery, rising, daily, deaths, stabilizing, daily, new, active, cases:, falling, sharply]","['daily', 'recovery', 'rise', 'daily', 'death', 'stabilize', 'daily', 'new', 'active', 'case', 'fall', 'sharply']"
5,1389825905720135684,ShamikaRavi,2021-05-05 06:14:52,en,daily cases stabilizing,327,61,Daily cases stabilizing... https://t.co/E4t3XhR6Yl,"[daily, cases, stabilizing]","['daily', 'case', 'stabilize']"
6,1389825893581811714,ShamikaRavi,2021-05-05 06:14:49,en,#covidindia growth rate active cases continues fall =,2466,525,#COVID19India The growth rate of active cases continues to fall &amp; is now = 2.1% https://t.co/1Bsp8drF0d,"[#covidindia, growth, rate, active, cases, continues, fall, =]","['covidindia', 'growth', 'rate', 'active', 'case', 'continue', 'fall', '=']"
7,1389490923852111874,ShamikaRavi,2021-05-04 08:03:46,en,well todays update rtpcr results everyone household positive ill away c,7285,533,"Well, today’s update is that the RTPCR results are here. Everyone in the household is positive. I’ll be away from c… https://t.co/MOs6uzkf8v","[well, todays, update, rtpcr, results, everyone, household, positive, ill, away, c]","['todays', 'update', 'rtpcr', 'result', 'household', 'positive', 'ill', 'away', 'c']"
8,1389243878805446661,ShamikaRavi,2021-05-03 15:42:06,und,tanvitanuja,2,0,@tanvi_tanuja 🙏🤞🏼,[tanvitanuja],['tanvitanuja']
9,1389238629063557124,ShamikaRavi,2021-05-03 15:21:14,en,usually takes careful empirical study gauge people vote election instance bihar asse,222,42,"It usually takes careful empirical study to gauge what people vote for in any election. For instance, in Bihar asse… https://t.co/Nz9sHskPei","[usually, takes, careful, empirical, study, gauge, people, vote, election, instance, bihar, asse]","['usually', 'take', 'careful', 'empirical', 'study', 'gauge', 'people', 'vote', 'election', 'instance', 'bihar', 'asse']"
10,1389217875269873666,ShamikaRavi,2021-05-03 13:58:46,en,abhijeetpradha thank sharing abhijeet,9,0,@abhijeet_pradha Thank you for sharing Abhijeet.,"[abhijeetpradha, thank, sharing, abhijeet]","['abhijeetpradha', 'thank', 'share', 'abhijeet']"
11,1389217638497222657,ShamikaRavi,2021-05-03 13:57:50,en,got rtpcr done yesterday noticed glaring error sample collected information collec,7538,1802,"I got an RTPCR done yesterday, and noticed a glaring error when the sample was collected. No information was collec… https://t.co/HShBICagWi","[got, rtpcr, done, yesterday, noticed, glaring, error, sample, collected, information, collec]","['get', 'rtpcr', 'yesterday', 'notice', 'glaring', 'error', 'sample', 'collect', 'information', 'collec']"
12,1389213999191904259,ShamikaRavi,2021-05-03 13:43:22,en,tvmohandaspai mohan- generate stats daily (sorry im able share few) recall india li,66,9,@TVMohandasPai Mohan- we generate ~100 stats daily (sorry I’m able to share only few). But recall that India had li… https://t.co/nAfCVxxrKK,"[tvmohandaspai, mohan-, generate, stats, daily, (sorry, im, able, share, few), recall, india, li]","['tvmohandaspai', 'mohan-', 'generate', 'stats', 'daily', 'sorry', 'be', 'able', 'share', 'recall', 'india', 'li']"
