,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389280065423347719,SteveBPrice,2021-05-03 18:05:53,en,chrizmillr philiplord michaelrianda brilliant watched daughter last night loved thank,1,0,@chrizmillr @philiplord @michaelrianda It's brilliant.   Watched it with my daughter last night and loved it.  Thank you.,"[chrizmillr, philiplord, michaelrianda, brilliant, watched, daughter, last, night, loved, thank]","['chrizmillr', 'philiplord', 'michaelrianda', 'brilliant', 'watch', 'daughter', 'night', 'love', 'thank']"
1,1385252719875723270,SteveBPrice,2021-04-22 15:22:39,en,filmsonwax cheers charlie hope well,1,0,@filmsonwax Cheers Charlie!  Hope you're well.,"[filmsonwax, cheers, charlie, hope, well]","['filmsonwax', 'cheer', 'charlie', 'hope']"
2,1385252673218392064,SteveBPrice,2021-04-22 15:22:28,en,jonbrowntv thank jon,2,0,@jonbrowntv Thank you Jon!,"[jonbrowntv, thank, jon]","['jonbrowntv', 'thank', 'jon']"
3,1385216136086708227,SteveBPrice,2021-04-22 12:57:17,en,jedijoemc thank,1,0,@JediJoeMC Thank you!,"[jedijoemc, thank]","['jedijoemc', 'thank']"
4,1385216097444638720,SteveBPrice,2021-04-22 12:57:08,en,adamkrysinski sonysoundtracks varesesarabande milanreclabel watertowermusic ourplanet bbcearth thank,2,0,@AdamKrysinski @SonySoundtracks @VareseSarabande @MilanRecLabel @watertowermusic @ourplanet @BBCEarth Thank you!,"[adamkrysinski, sonysoundtracks, varesesarabande, milanreclabel, watertowermusic, ourplanet, bbcearth, thank]","['adamkrysinski', 'sonysoundtracks', 'varesesarabande', 'milanreclabel', 'watertowermusic', 'ourplanet', 'bbcearth', 'thank']"
5,1382708246918598662,SteveBPrice,2021-04-15 14:51:50,en,atbarryisland vogcouncil ecoschoolswales looks like beautiful work done well done everyone,2,0,"@atbarryisland @VOGCouncil @EcoSchoolsWales Looks like some beautiful work is being done.  Well done everyone, and… https://t.co/tobixgVwPp","[atbarryisland, vogcouncil, ecoschoolswales, looks, like, beautiful, work, done, well, done, everyone]","['atbarryisland', 'vogcouncil', 'ecoschoolswales', 'look', 'like', 'beautiful', 'work']"
6,1382708012993941505,SteveBPrice,2021-04-15 14:50:54,en,jedijoemc many thanks,2,0,@JediJoeMC Many thanks!,"[jedijoemc, many, thanks]","['jedijoemc', 'thank']"
7,1379067939886878726,SteveBPrice,2021-04-05 13:46:33,en,philharmonia: two years ago today planet netflix's extraordinary documentary series david attenborough dropped worldwide -,0,4,"RT @philharmonia: Two years ago today, Our Planet, @netflix's extraordinary documentary series with David Attenborough dropped worldwide -…","[philharmonia:, two, years, ago, today, planet, netflix's, extraordinary, documentary, series, david, attenborough, dropped, worldwide, -]","['philharmonia', 'year', 'ago', 'today', 'planet', 'netflix', 'extraordinary', 'documentary', 'series', 'david', 'attenborough', 'drop', 'worldwide']"
8,1371508185115267080,SteveBPrice,2021-03-15 17:06:47,en,thrilled see moon get academy nomination today working glenkeaneprd team scoring,50,3,Thrilled to see Over the Moon get an Academy nomination today.  Working with @GlenKeanePrd and the team in scoring… https://t.co/nWVK6YiAUb,"[thrilled, see, moon, get, academy, nomination, today, working, glenkeaneprd, team, scoring]","['thrill', 'moon', 'academy', 'nomination', 'today', 'work', 'glenkeaneprd', 'team', 'score']"
9,1371471122919788545,SteveBPrice,2021-03-15 14:39:31,en,danielpemberton celeste theacademy massive congratulations,4,0,@DANIELPEMBERTON @celeste @TheAcademy Massive congratulations to you both!,"[danielpemberton, celeste, theacademy, massive, congratulations]","['danielpemberton', 'celeste', 'theacademy', 'massive', 'congratulation']"
10,1368210707477626881,SteveBPrice,2021-03-06 14:43:47,en,ohmanbtb glad still works,2,0,@ohman4_BTB Glad it still works!!,"[ohmanbtb, glad, still, works]","['ohmanbtb', 'glad', 'work']"
11,1368205762028265474,SteveBPrice,2021-03-06 14:24:08,en,ten years,41,3,Ten years!!!! https://t.co/ux2JQbY7Hw,"[ten, years]",['year']
12,1367185268399349760,SteveBPrice,2021-03-03 18:49:03,en,sandravets ascap davidalifefilm thank,2,0,@sandravets @ASCAP @DavidALifeFilm Thank you!,"[sandravets, ascap, davidalifefilm, thank]","['sandravets', 'ascap', 'davidalifefilm', 'thank']"
13,1367166148463230977,SteveBPrice,2021-03-03 17:33:05,en,appleman thank kind words,2,0,@AppleMan365 Thank you for the very kind words!,"[appleman, thank, kind, words]","['appleman', 'thank', 'kind', 'word']"
14,1367165918997082113,SteveBPrice,2021-03-03 17:32:10,en,avonfoerster ascap davidalifefilm thanks kindly,2,0,@AvonFoerster @ASCAP @DavidALifeFilm Thanks kindly!,"[avonfoerster, ascap, davidalifefilm, thanks, kindly]","['avonfoerster', 'ascap', 'davidalifefilm', 'thank', 'kindly']"
15,1367137671898890244,SteveBPrice,2021-03-03 15:39:55,en,thrilled nominated ascap composer choice awards congratulations nominees scoring,43,0,Thrilled to be nominated in the @ASCAP Composer Choice Awards.  Congratulations to all the nominees. Scoring… https://t.co/Uaa0rbw98L,"[thrilled, nominated, ascap, composer, choice, awards, congratulations, nominees, scoring]","['thrill', 'nominate', 'ascap', 'composer', 'choice', 'award', 'congratulation', 'nominee', 'score']"
16,1364229200480243712,SteveBPrice,2021-02-23 15:02:42,en,mickjagger: tom harper directed short film celebrate royalalberthall's th anniversary delighted nar,0,443,"RT @MickJagger: Tom Harper has directed this short film to celebrate the @RoyalAlbertHall's 150th anniversary, which I was delighted to nar…","[mickjagger:, tom, harper, directed, short, film, celebrate, royalalberthall's, th, anniversary, delighted, nar]","['mickjagger', 'tom', 'harper', 'direct', 'short', 'film', 'celebrate', 'royalalberthall', 'th', 'anniversary', 'delight', 'nar']"
17,1364180936376651780,SteveBPrice,2021-02-23 11:50:55,en,tomharps: made film lockdown royal albert hall also empty rooms venues theatres,0,19,"RT @tomharps: We made this film in lockdown, not just about the Royal Albert Hall, but also all the other empty rooms, venues and theatres…","[tomharps:, made, film, lockdown, royal, albert, hall, also, empty, rooms, venues, theatres]","['tomharps', 'film', 'lockdown', 'royal', 'albert', 'hall', 'room', 'venue', 'theatre']"
18,1364149753488015363,SteveBPrice,2021-02-23 09:47:00,en,honour provide score film celebrating royalalberthall one can't wait back,67,10,An honour to provide the score for this film celebrating @RoyalAlbertHall  I for one can't wait to be back. https://t.co/JWFaLZBdZu,"[honour, provide, score, film, celebrating, royalalberthall, one, can't, wait, back]","['honour', 'provide', 'score', 'film', 'celebrate', 'royalalberthall', 'wait']"
19,1362480520563724300,SteveBPrice,2021-02-18 19:14:04,en,mrchriswillis davidfleming congratulations chris brilliant score,7,0,"@mrchriswillis @_DavidFleming Congratulations to you, Chris.  Brilliant score.","[mrchriswillis, davidfleming, congratulations, chris, brilliant, score]","['mrchriswillis', 'davidfleming', 'congratulation', 'chris', 'brilliant', 'score']"
20,1357068079105249291,SteveBPrice,2021-02-03 20:46:57,en,spidermovies thescl thank,1,0,@SpiderMovies1 @The_SCL Thank you.,"[spidermovies, thescl, thank]","['spidermovies', 'thescl', 'thank']"
21,1356900818717462531,SteveBPrice,2021-02-03 09:42:19,en,gavinthurston thescl netflix thank sir amazing job,2,0,"@GavinThurston @The_SCL @netflix Thank YOU, sir.  What an amazing job you did.","[gavinthurston, thescl, netflix, thank, sir, amazing, job]","['gavinthurston', 'thescl', 'netflix', 'thank', 'sir', 'amazing', 'job']"
22,1356696132089438210,SteveBPrice,2021-02-02 20:08:58,en,mcleodmyles thescl netflix thank,2,0,@mcleod_myles @The_SCL @netflix Thank you!,"[mcleodmyles, thescl, netflix, thank]","['mcleodmyles', 'thescl', 'netflix', 'thank']"
23,1356629451103211521,SteveBPrice,2021-02-02 15:44:00,en,thank much thescl nomination incredibly proud contributor sir david,86,5,Thank you so much to all at @The_SCL for this nomination.  Incredibly proud to have been a contributor to Sir David… https://t.co/LovZcUBwPY,"[thank, much, thescl, nomination, incredibly, proud, contributor, sir, david]","['thank', 'thescl', 'nomination', 'incredibly', 'proud', 'contributor', 'sir', 'david']"
24,1352565112100581377,SteveBPrice,2021-01-22 10:33:46,en,proud film definitely excited idea seeing,59,2,I couldn't be more proud of this film...  And I definitely couldn't be more excited about the idea of seeing it in… https://t.co/blFoeWi0k9,"[proud, film, definitely, excited, idea, seeing]","['proud', 'film', 'definitely', 'excited', 'idea', 'see']"
25,1351308246414483456,SteveBPrice,2021-01-18 23:19:26,en,davechensky made day thank,10,0,@davechensky This made my day.  Thank you.,"[davechensky, made, day, thank]","['davechensky', 'day', 'thank']"
