,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390056757045641219,TennisPuneet,2021-05-05 21:32:11,in,mattracquet novak controversy #simple,0,0,"@mattracquet No Novak, no controversy ! #simple","[mattracquet, novak, controversy, #simple]","['mattracquet', 'novak', 'controversy', 'simple']"
1,1390042558311673860,TennisPuneet,2021-05-05 20:35:46,en,bestevr wasnt aimed nolefam fams course wouldnt like,1,0,@bestevr24 It wasn’t aimed at Nolefam but all the other fams 😂 of course they wouldn’t like it,"[bestevr, wasnt, aimed, nolefam, fams, course, wouldnt, like]","['bestevr', 'not', 'aim', 'nolefam', 'fams', 'course', 'not', 'like']"
2,1390042398504493065,TennisPuneet,2021-05-05 20:35:08,und,jainsajal oh,0,0,@jain15_sajal Oh!,"[jainsajal, oh]","['jainsajal', 'oh']"
3,1390040613576482824,TennisPuneet,2021-05-05 20:28:02,en,jainsajal whats,0,0,@jain15_sajal What’s up?,"[jainsajal, whats]","['jainsajal', 's']"
4,1390040447771455490,TennisPuneet,2021-05-05 20:27:23,en,k people seen tweet likes whats going around,7,0,10.3K people have seen this tweet but only 198 likes... what’s going on around here? 😂 https://t.co/mM0IQcnBPH,"[k, people, seen, tweet, likes, whats, going, around]","['k', 'people', 'see', 'tweet', 'like', 's', 'go']"
5,1390036461739810819,TennisPuneet,2021-05-05 20:11:32,en,never able control peoples thoughts actions expect less others higher expectatio,7,0,"You will never be able to control other people’s thoughts or actions. Expect less of others, have higher expectatio… https://t.co/tXcEfVmzLg","[never, able, control, peoples, thoughts, actions, expect, less, others, higher, expectatio]","['able', 'control', 'people', 'thought', 'action', 'expect', 'high', 'expectatio']"
6,1390005084231196680,TennisPuneet,2021-05-05 18:06:51,en,djokertennis thoughts,1,0,@djokertennis My thoughts!,"[djokertennis, thoughts]","['djokertennis', 'thought']"
7,1390004996494831619,TennisPuneet,2021-05-05 18:06:30,en,bestevr djokernole dont like cause much embarrassment others humble,5,0,@bestevr24 @DjokerNole I don’t like to cause too much embarrassment to others. Being humble 😊,"[bestevr, djokernole, dont, like, cause, much, embarrassment, others, humble]","['bestevr', 'djokernole', 'not', 'like', 'cause', 'embarrassment', 'humble']"
8,1389982642007851012,TennisPuneet,2021-05-05 16:37:41,en,ryanea shapornvalov money buy lot everything lot,0,0,@ryanea22 @Shapornvalov Money can buy a lot! Not everything but a lot,"[ryanea, shapornvalov, money, buy, lot, everything, lot]","['ryanea', 'shapornvalov', 'money', 'buy', 'lot', 'lot']"
9,1389982356287721474,TennisPuneet,2021-05-05 16:36:33,es,jonathandmorgan djokertennis,0,0,@JonathanDMorgan @djokertennis No... no...,"[jonathandmorgan, djokertennis]","['jonathandmorgan', 'djokertennis']"
10,1389978534072963072,TennisPuneet,2021-05-05 16:21:21,en,people buy clothes hope start dressing like,4,0,When people buy you clothes in the hope that you will start dressing like them https://t.co/EPQCOhXCwQ,"[people, buy, clothes, hope, start, dressing, like]","['people', 'buy', 'clothe', 'hope', 'start', 'dress', 'like']"
11,1389976234646556683,TennisPuneet,2021-05-05 16:12:13,en,bestevr pavyg rolandgarros wimbledon usopen fedex haha brilliant,1,0,@bestevr24 @pavyg @rolandgarros @Wimbledon @usopen @FedEx Haha brilliant! 😆,"[bestevr, pavyg, rolandgarros, wimbledon, usopen, fedex, haha, brilliant]","['bestevr', 'pavyg', 'rolandgarros', 'wimbledon', 'usopen', 'fedex', 'haha', 'brilliant']"
12,1389973265360293889,TennisPuneet,2021-05-05 16:00:25,en,joejersey need clay therapy,0,0,@Joe4Jersey I need clay therapy,"[joejersey, need, clay, therapy]","['joejersey', 'need', 'clay', 'therapy']"
13,1389973157923143680,TennisPuneet,2021-05-05 15:59:59,en,shapornvalov actually,2,0,@Shapornvalov 😂 is that actually him? 😳,"[shapornvalov, actually]","['shapornvalov', 'actually']"
14,1389972526885974025,TennisPuneet,2021-05-05 15:57:29,en,geekworld love,1,0,@Geekworld007 Love it,"[geekworld, love]","['geekworld', 'love']"
15,1389965676127965187,TennisPuneet,2021-05-05 15:30:16,en,rutherealest sure ask daniilmedwed,0,0,"@RuTheRealest Sure is, ask @DaniilMedwed 😂","[rutherealest, sure, ask, daniilmedwed]","['rutherealest', 'sure', 'ask', 'daniilmedwe']"
16,1389965542556160007,TennisPuneet,2021-05-05 15:29:44,en,manlytennis haha smashed,0,0,"@ManlyTennis Haha, you smashed it! 😂","[manlytennis, haha, smashed]","['manlytennis', 'haha', 'smash']"
17,1389952946813669378,TennisPuneet,2021-05-05 14:39:41,en,roland garros,8,0,Roland Garros https://t.co/wBZyAsNVrD,"[roland, garros]","['roland', 'garros']"
18,1389952891067277322,TennisPuneet,2021-05-05 14:39:27,en,rutherealest got real life sussed ru,0,0,@RuTheRealest You got real life sussed out Ru,"[rutherealest, got, real, life, sussed, ru]","['rutherealest', 'get', 'real', 'life', 'susse', 'ru']"
19,1389952134888759296,TennisPuneet,2021-05-05 14:36:27,en,meddy boy done good,8,0,💕 Meddy Boy done good https://t.co/HSvNbXFTzW,"[meddy, boy, done, good]","['meddy', 'boy', 'good']"
20,1389944897097043970,TennisPuneet,2021-05-05 14:07:42,en,rutherealest gained money tennis accomplishments,1,0,@RuTheRealest He gained more money than tennis accomplishments,"[rutherealest, gained, money, tennis, accomplishments]","['rutherealest', 'gain', 'money', 'tennis', 'accomplishment']"
21,1389944625788506113,TennisPuneet,2021-05-05 14:06:37,en,toninicfam forget,0,0,@ToniNicfam Who can forget ? ❤️,"[toninicfam, forget]","['toninicfam', 'forget']"
22,1389941173477941250,TennisPuneet,2021-05-05 13:52:54,en,biggest crush gone sad possibly handsome man ever #nickkamen,0,0,"My biggest crush, gone... so sad 😞 😢 💔

Possibly the most handsome man ever #NickKamen https://t.co/Rm2nrUetgZ","[biggest, crush, gone, sad, possibly, handsome, man, ever, #nickkamen]","['big', 'crush', 'go', 'sad', 'possibly', 'handsome', 'man', 'nickkamen']"
23,1389875691068526596,TennisPuneet,2021-05-05 09:32:42,en,geekworld,1,0,@Geekworld007 Just Do It,[geekworld],['geekworld']
24,1389859928169459716,TennisPuneet,2021-05-05 08:30:03,en,youre longer competition joke,18,0,"When you’re no longer in the competition, you can joke about it! 💕 https://t.co/Z9vS3YuMsi","[youre, longer, competition, joke]","['long', 'competition', 'joke']"
25,1389859678138609664,TennisPuneet,2021-05-05 08:29:04,und,geekworld,1,0,@Geekworld007 👏🏼 😂,[geekworld],['geekworld']
26,1389859572966477826,TennisPuneet,2021-05-05 08:28:39,nl,djokersa hee hee,1,0,@DjokerSA Hee hee,"[djokersa, hee, hee]","['djokersa', 'hee', 'hee']"
27,1389619661461983233,TennisPuneet,2021-05-04 16:35:19,en,lose,10,0,Did he lose again? 👏🏼 https://t.co/Lwjru1vxXw,[lose],['lose']
28,1389610565836886020,TennisPuneet,2021-05-04 15:59:11,en,enricomariariva agree,3,0,@enricomariariva Agree,"[enricomariariva, agree]","['enricomariariva', 'agree']"
29,1389489370860769281,TennisPuneet,2021-05-04 07:57:36,und,krissekmnt yolitatennis,2,0,@KrisSekMNT @Yolitatennis 👏🏼,"[krissekmnt, yolitatennis]","['krissekmnt', 'yolitatennis']"
30,1389474761642844163,TennisPuneet,2021-05-04 06:59:33,en,rafaelnadalfc dont,3,0,@RafaelNadalFC Don’t we all!,"[rafaelnadalfc, dont]","['rafaelnadalfc', 'not']"
31,1389467476489089024,TennisPuneet,2021-05-04 06:30:36,und,rickybobbyca waynehicks,5,0,@RickyBobbyCA @waynehicks2020 😂,"[rickybobbyca, waynehicks]","['rickybobbyca', 'waynehicks']"
32,1389345503574384642,TennisPuneet,2021-05-03 22:25:55,und,cincytennis,13,0,@CincyTennis 🐐,[cincytennis],['cincytennis']
33,1389323504655421447,TennisPuneet,2021-05-03 20:58:30,en,yolitatennis anknorth bjorn exactly yolita,7,0,@Yolitatennis @anknorth @bjorn6 This exactly Yolita,"[yolitatennis, anknorth, bjorn, exactly, yolita]","['yolitatennis', 'anknorth', 'bjorn', 'exactly', 'yolita']"
34,1389323352104480768,TennisPuneet,2021-05-03 20:57:54,en,bjorn anknorth yolitatennis rolandgarros wimbledon honestly dont recall roger l,1,0,@bjorn6 @anknorth @Yolitatennis @rolandgarros @Wimbledon Was it? I honestly don’t recall that. And when Roger was l… https://t.co/1oGNL9MspY,"[bjorn, anknorth, yolitatennis, rolandgarros, wimbledon, honestly, dont, recall, roger, l]","['bjorn', 'anknorth', 'yolitatennis', 'rolandgarros', 'wimbledon', 'honestly', 'not', 'recall', 'roger', 'l']"
