,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390071845517283332,ToastedChels,2021-05-05 22:32:08,it,fabrizioromano pessi news,1,0,@FabrizioRomano Pessi news?,"[fabrizioromano, pessi, news]","['fabrizioromano', 'pessi', 'news']"
1,1390068046467899393,ToastedChels,2021-05-05 22:17:03,en,goal better pessi,8,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
2,1390060682167693317,ToastedChels,2021-05-05 21:47:47,en,goal better pessi,46,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
3,1390058358565183489,ToastedChels,2021-05-05 21:38:33,en,goal better pessi,7,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
4,1390058219960250372,ToastedChels,2021-05-05 21:38:00,en,timowerner chelseafc better pessi,28,0,@TimoWerner @ChelseaFC Better than pessi,"[timowerner, chelseafc, better, pessi]","['timowerner', 'chelseafc', 'well', 'pessi']"
5,1390034003139387392,ToastedChels,2021-05-05 20:01:46,en,ksi wont buy,8,0,@KSI Won’t buy,"[ksi, wont, buy]","['ksi', 'will', 'not', 'buy']"
6,1390025682105905153,ToastedChels,2021-05-05 19:28:42,en,jayrma fuck offf,0,0,@Jay_RMA Fuck offf😂😂😂,"[jayrma, fuck, offf]","['jayrma', 'fuck', 'offf']"
7,1390008961982681093,ToastedChels,2021-05-05 18:22:16,en,goal pessi,21,0,@goal Not pessi,"[goal, pessi]","['goal', 'pessi']"
8,1390008170546962436,ToastedChels,2021-05-05 18:19:07,en,championsleague chelseafc pessi,0,0,@ChampionsLeague @ChelseaFC Not pessi,"[championsleague, chelseafc, pessi]","['championsleague', 'chelseafc', 'pessi']"
9,1390002434576031745,ToastedChels,2021-05-05 17:56:20,en,goal better pessi,1,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
10,1389993402108841988,ToastedChels,2021-05-05 17:20:26,und,ckaay jayrma,2,0,@ckaay_13 @Jay_RMA https://t.co/7VxBAiy3zB,"[ckaay, jayrma]","['ckaay', 'jayrma']"
11,1389991691331936256,ToastedChels,2021-05-05 17:13:38,en,goal better pessi,5,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
12,1389976998764851204,ToastedChels,2021-05-05 16:15:15,en,championsleague playstationeu every day pessi gets exposed every day get closer closer goal ex,5,0,"@ChampionsLeague @PlayStationEU Every day, Pessi gets exposed. Every day we get closer and closer to our goal of ex… https://t.co/aStNoj87qn","[championsleague, playstationeu, every, day, pessi, gets, exposed, every, day, get, closer, closer, goal, ex]","['championsleague', 'playstationeu', 'day', 'pessi', 'get', 'expose', 'day', 'close', 'close', 'goal', 'ex']"
13,1389971492457299973,ToastedChels,2021-05-05 15:53:22,en,schulei greatest time books,26,0,@Schule7i Greatest of all time in my books,"[schulei, greatest, time, books]","['schulei', 'great', 'time', 'book']"
14,1389908846634745860,ToastedChels,2021-05-05 11:44:26,en,goal better pessi,5,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
15,1389868266827313157,ToastedChels,2021-05-05 09:03:11,en,goal rauljimenez better pessi,4,0,@goal @Raul_Jimenez9 Better than pessi,"[goal, rauljimenez, better, pessi]","['goal', 'rauljimenez', 'well', 'pessi']"
16,1389818421039271941,ToastedChels,2021-05-05 05:45:07,en,goal better pessi,2,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
17,1389704976964915203,ToastedChels,2021-05-04 22:14:20,en,goal farmers league,4,0,@goal Farmers league,"[goal, farmers, league]","['goal', 'farmers', 'league']"
18,1389695326336872448,ToastedChels,2021-05-04 21:35:59,en,fcbarcelona pessi finished,0,0,@FCBarcelona Pessi is finished,"[fcbarcelona, pessi, finished]","['fcbarcelona', 'pessi', 'finish']"
19,1389686913678839813,ToastedChels,2021-05-04 21:02:34,en,whoisaddison u need job,39,1,@whoisaddison U need a JOB,"[whoisaddison, u, need, job]","['whoisaddison', 'u', 'need', 'job']"
20,1389685034206961665,ToastedChels,2021-05-04 20:55:05,en,goal losing chelsea,16,0,@goal Losing to chelsea,"[goal, losing, chelsea]","['goal', 'lose', 'chelsea']"
21,1389683446583201793,ToastedChels,2021-05-04 20:48:47,und,cfmoe,1,0,@_CFMoe 😭😭,[cfmoe],['cfmoe']
22,1389683135076474882,ToastedChels,2021-05-04 20:47:33,en,amitrmfc goal,0,0,@amitrmfc Own goal😹😹,"[amitrmfc, goal]","['amitrmfc', 'goal']"
23,1389680893980258307,ToastedChels,2021-05-04 20:38:38,und,ftbllew add,0,0,@ftbllew Add,"[ftbllew, add]","['ftbllew', 'add']"
24,1389678829023600641,ToastedChels,2021-05-04 20:30:26,en,goal better pessi,0,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
25,1389676759549886478,ToastedChels,2021-05-04 20:22:13,en,jayrma come back neymar,1,0,@Jay_RMA Come back to me when Neymar does this https://t.co/c9OvId1OuS,"[jayrma, come, back, neymar]","['jayrma', 'come', 'neymar']"
26,1389676463612383242,ToastedChels,2021-05-04 20:21:02,en,jayrma hazard clear,1,0,@Jay_RMA Hazard is clear,"[jayrma, hazard, clear]","['jayrma', 'hazard', 'clear']"
27,1389667234902069253,ToastedChels,2021-05-04 19:44:22,en,goal pessi finished,2,0,@goal Pessi is finished,"[goal, pessi, finished]","['goal', 'pessi', 'finish']"
28,1389664653685391360,ToastedChels,2021-05-04 19:34:06,und,dixiedamelio job,1,0,@dixiedamelio JOB,"[dixiedamelio, job]","['dixiedamelio', 'job']"
29,1389659820018393091,ToastedChels,2021-05-04 19:14:54,en,goal better pessi,2,0,@goal Better than pessi,"[goal, better, pessi]","['goal', 'well', 'pessi']"
