,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389998461341286403,Wake_Up_Mitron,2021-05-05 17:40:32,en,sorry mitron space crashed,1,0,"Sorry mitron, space crashed!🥸","[sorry, mitron, space, crashed]","['sorry', 'mitron', 'space', 'crash']"
1,1389970150296797190,Wake_Up_Mitron,2021-05-05 15:48:02,hi,,7,2,पहले दूसरी लहर से बचे इंसान तब तो तीसरी लहर की तैयारी करे। https://t.co/SZpbucO5Cg,[],[]
2,1389953560499081220,Wake_Up_Mitron,2021-05-05 14:42:07,hi,varungrover:,0,1734,"RT @varungrover: क्या ग़ुबारे, कैंची, और रिबन हमारे संस्कारों पर पश्चिमी सभ्यता का हमला नहीं माना जाता है? https://t.co/7Z94451nOI",[varungrover:],['varungrover']
3,1389930567953698820,Wake_Up_Mitron,2021-05-05 13:10:45,en,catwomaniya: tejasvi surya middle deadly pandemic,0,29,RT @CatWomaniya: This is what Tejasvi Surya is doing in the middle of a deadly pandemic. https://t.co/l8kcYhoBqT,"[catwomaniya:, tejasvi, surya, middle, deadly, pandemic]","['catwomaniya', 'tejasvi', 'surya', 'middle', 'deadly', 'pandemic']"
4,1389927042808958981,Wake_Up_Mitron,2021-05-05 12:56:45,en,kapsology: name one prime minister president democracy world taken questions media pandem,0,514,RT @kapsology: Name one Prime Minister or President of any democracy in the world who has not taken questions from media during this pandem…,"[kapsology:, name, one, prime, minister, president, democracy, world, taken, questions, media, pandem]","['kapsology', 'prime', 'minister', 'president', 'democracy', 'world', 'take', 'question', 'media', 'pandem']"
5,1389910726131818497,Wake_Up_Mitron,2021-05-05 11:51:55,en,ndtv: high rise societies ghaziabad become #covid hotspots ndtv's saurabh shukla reports,0,51,RT @ndtv: High rise societies in Ghaziabad have become #COVID19 hotspots. NDTV's Saurabh Shukla reports https://t.co/nzxFKnDLJy,"[ndtv:, high, rise, societies, ghaziabad, become, #covid, hotspots, ndtv's, saurabh, shukla, reports]","['ndtv', 'high', 'rise', 'society', 'ghaziabad', 'covid', 'hotspot', 'ndtv', 'saurabh', 'shukla', 'report']"
6,1389906977850109955,Wake_Up_Mitron,2021-05-05 11:37:01,en,aur jao sab goa,2,0,Aur jao sab Goa!! https://t.co/C7AQMrtY1C,"[aur, jao, sab, goa]","['aur', 'jao', 'sab', 'goa']"
7,1389906844227981323,Wake_Up_Mitron,2021-05-05 11:36:29,en,ndtv: third wave inevitable: grim warning government's scientific adviser #covid,0,170,"RT @ndtv: Third Wave Inevitable: Grim Warning From Government's Scientific Adviser https://t.co/mmjjCl8932

#COVID19 https://t.co/MqwPuzdEMu","[ndtv:, third, wave, inevitable:, grim, warning, government's, scientific, adviser, #covid]","['ndtv', 'wave', 'inevitable', 'grim', 'warning', 'government', 'scientific', 'adviser', 'covid']"
8,1389897192010395648,Wake_Up_Mitron,2021-05-05 10:58:08,en,itsallryt totally fine rest well stay hydrated matter - days,1,0,"@itsallryt you will be totally fine, rest well and stay hydrated, matter of 2-3 days.","[itsallryt, totally, fine, rest, well, stay, hydrated, matter, -, days]","['itsallryt', 'totally', 'fine', 'rest', 'stay', 'hydrated', 'matter', 'day']"
9,1389896457537343489,Wake_Up_Mitron,2021-05-05 10:55:13,en,itsallryt feeling mild fever hai worry check oxygen level stay touch docto,0,0,"@itsallryt how are you feeling? mild fever hai to don't worry, just check oxygen level and stay in touch with docto… https://t.co/YAQyPkOW2I","[itsallryt, feeling, mild, fever, hai, worry, check, oxygen, level, stay, touch, docto]","['itsallryt', 'feeling', 'mild', 'fever', 'hai', 'worry', 'check', 'oxygen', 'level', 'stay', 'touch', 'docto']"
10,1389895937162678273,Wake_Up_Mitron,2021-05-05 10:53:09,hi,aamnationalist hallagullaboy inhone pahle hi lagwa liya tha jab ko de rahe,4,0,@Aam_Nationalist @hallagullaboy Inhone pahle hi lagwa liya tha jab 60+ ko de rahe the,"[aamnationalist, hallagullaboy, inhone, pahle, hi, lagwa, liya, tha, jab, ko, de, rahe]","['aamnationalist', 'hallagullaboy', 'inhone', 'pahle', 'hi', 'lagwa', 'liya', 'tha', 'jab', 'ko', 'de', 'rahe']"
11,1389894493361647618,Wake_Up_Mitron,2021-05-05 10:47:24,en,kapsology: world media modi made covid disaster,0,255,RT @kapsology: World media on Modi made COVID disaster https://t.co/95WxNoNQPs,"[kapsology:, world, media, modi, made, covid, disaster]","['kapsology', 'world', 'medium', 'modi', 'covid', 'disaster']"
12,1389892604058288132,Wake_Up_Mitron,2021-05-05 10:39:54,en,post west bengal loss - guns open bjp hardcore bjp supporters trending #spinelessbjp blaming,38,27,Post West Bengal loss - guns are out in open in BJP. Hardcore BJP supporters are trending #SpinelessBJP and blaming… https://t.co/BPuRGKgRZj,"[post, west, bengal, loss, -, guns, open, bjp, hardcore, bjp, supporters, trending, #spinelessbjp, blaming]","['post', 'west', 'bengal', 'loss', 'gun', 'open', 'bjp', 'hardcore', 'bjp', 'supporter', 'trend', 'spinelessbjp', 'blame']"
13,1389884507751424001,Wake_Up_Mitron,2021-05-05 10:07:44,en,ndtv: delhi police asi stationed lodhi road crematorium helps cremation people died due covid helped nearly,0,50,"RT @ndtv: Delhi Police ASI, stationed at Lodhi Road Crematorium, helps in cremation of people who died due to COVID. ""I have helped nearly…","[ndtv:, delhi, police, asi, stationed, lodhi, road, crematorium, helps, cremation, people, died, due, covid, helped, nearly]","['ndtv', 'delhi', 'police', 'asi', 'station', 'lodhi', 'road', 'crematorium', 'help', 'cremation', 'people', 'die', 'covid', 'help', 'nearly']"
14,1389881849531535365,Wake_Up_Mitron,2021-05-05 09:57:10,en,aamnationalist kolkatapolice mrsgandhi mumbaipolice joebiden husband omnipresent miss opportunity,4,0,"@Aam_Nationalist @KolkataPolice @MrsGandhi @MumbaiPolice @JoeBiden Her husband is omnipresent, how can he miss this opportunity?","[aamnationalist, kolkatapolice, mrsgandhi, mumbaipolice, joebiden, husband, omnipresent, miss, opportunity]","['aamnationalist', 'kolkatapolice', 'mrsgandhi', 'mumbaipolice', 'joebiden', 'husband', 'omnipresent', 'miss', 'opportunity']"
15,1389879997331087362,Wake_Up_Mitron,2021-05-05 09:49:48,hi,akpandey kolkatapolice mrsgandhi mumbaipolice joebiden khud aayega airport,2,0,@AKPandey89 @KolkataPolice @MrsGandhi @MumbaiPolice @JoeBiden khud aayega airport😹😹 https://t.co/s6fZePxnHo,"[akpandey, kolkatapolice, mrsgandhi, mumbaipolice, joebiden, khud, aayega, airport]","['akpandey', 'kolkatapolice', 'mrsgandhi', 'mumbaipolice', 'joebiden', 'khud', 'aayega', 'airport']"
16,1389879262296121344,Wake_Up_Mitron,2021-05-05 09:46:53,en,great job kolkatapolice lady mrsgandhi perpetual offender arrest immediately mumbai,86,39,"Great job @KolkataPolice. This lady @MrsGandhi is perpetual offender, arrest her immediately. If she is in Mumbai t… https://t.co/QAHtPSPVX9","[great, job, kolkatapolice, lady, mrsgandhi, perpetual, offender, arrest, immediately, mumbai]","['great', 'job', 'kolkatapolice', 'lady', 'mrsgandhi', 'perpetual', 'offender', 'arrest', 'immediately', 'mumbai']"
17,1389876505384210433,Wake_Up_Mitron,2021-05-05 09:35:56,hi,aamnationalist kuchh bahut bada pak raha hai ya bjp pe sankat aane wali hai yae phir desh pe,8,2,@Aam_Nationalist Kuchh bahut bada pak raha hai! Ya to BJP pe sankat aane wali hai yae phir desh pe! 😐,"[aamnationalist, kuchh, bahut, bada, pak, raha, hai, ya, bjp, pe, sankat, aane, wali, hai, yae, phir, desh, pe]","['aamnationalist', 'kuchh', 'bahut', 'bada', 'pak', 'raha', 'hai', 'ya', 'bjp', 'pe', 'sankat', 'aane', 'wali', 'hai', 'yae', 'phir', 'desh', 'pe']"
18,1389875358997045248,Wake_Up_Mitron,2021-05-05 09:31:22,en,akpandey great news ask good rest weeks,1,0,@AKPandey89 Great news. Ask her for good rest for few weeks.,"[akpandey, great, news, ask, good, rest, weeks]","['akpandey', 'great', 'news', 'ask', 'good', 'rest', 'week']"
19,1389873393454002177,Wake_Up_Mitron,2021-05-05 09:23:34,en,ani: west bengal cm mamata banerjee reinstates ips officer virendra bengal dgp jawed shamim reinstated adg law order ec app,0,64,RT @ANI: West Bengal CM Mamata Banerjee reinstates IPS officer Virendra as Bengal DGP. Jawed Shamim reinstated as ADG Law and Order. EC app…,"[ani:, west, bengal, cm, mamata, banerjee, reinstates, ips, officer, virendra, bengal, dgp, jawed, shamim, reinstated, adg, law, order, ec, app]","['ani', 'west', 'bengal', 'cm', 'mamata', 'banerjee', 'reinstate', 'ips', 'officer', 'virendra', 'bengal', 'dgp', 'jawed', 'shamim', 'reinstate', 'adg', 'law', 'order', 'ec', 'app']"
20,1389873346221912066,Wake_Up_Mitron,2021-05-05 09:23:22,hi,aamnationalist:,0,38,RT @Aam_Nationalist: आज से नहीं चल पाएगा क्योंकि आज से पुलिस का कन्ट्रोल इनके हाथ से निकल जायेगा.... और अगर पुलिस चाहे तो 24 घंटे से ज्यादा…,[aamnationalist:],['aamnationalist']
21,1389872069718982658,Wake_Up_Mitron,2021-05-05 09:18:18,en,ikumar: urgent #sosdelhi - injection needed patients name- mrs sarita age- years admitted human care medical charitable tr,0,31,"RT @Ikumar7: Urgent #SOSDelhi - Injection needed! 

Patients name- Mrs. Sarita 
Age- 49 years 
Admitted in Human Care Medical Charitable Tr…","[ikumar:, urgent, #sosdelhi, -, injection, needed, patients, name-, mrs, sarita, age-, years, admitted, human, care, medical, charitable, tr]","['ikumar', 'urgent', 'sosdelhi', 'injection', 'need', 'patient', 'name-', 'mrs', 'sarita', 'age-', 'year', 'admit', 'human', 'care', 'medical', 'charitable', 'tr']"
22,1389872000286531584,Wake_Up_Mitron,2021-05-05 09:18:02,en,raghavchadha great job raghav putting public domain full transparency trying best,23,3,@raghav_chadha Great job Raghav by putting this in public domain for full transparency while trying your best to me… https://t.co/fxUeeOA5cK,"[raghavchadha, great, job, raghav, putting, public, domain, full, transparency, trying, best]","['raghavchadha', 'great', 'job', 'raghav', 'put', 'public', 'domain', 'transparency', 'try', 'best']"
23,1389871646857646082,Wake_Up_Mitron,2021-05-05 09:16:37,en,raghavchadha: delhi's oxygen bulletin th may,0,371,RT @raghav_chadha: Delhi's oxygen bulletin for 4th of May 2021 https://t.co/2UYTmDAPsN,"[raghavchadha:, delhi's, oxygen, bulletin, th, may]","['raghavchadha', 'delhi', 'oxygen', 'bulletin', 'th']"
