,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390120210498310151,WtephenWurrySZN,2021-05-06 01:44:20,en,danicakaiab spiritualkai peacefulkai kyriecapalot bryantoop mateosaga hacked sadly photoshop,1,0,"@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Hacked sadly, photoshop","[danicakaiab, spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, hacked, sadly, photoshop]","['danicakaiab', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'hack', 'sadly', 'photoshop']"
1,1390120138565996545,WtephenWurrySZN,2021-05-06 01:44:02,en,nba team player,2,0,@NBA Team player,"[nba, team, player]","['nba', 'team', 'player']"
2,1390120093619822595,WtephenWurrySZN,2021-05-06 01:43:52,en,spiritualkai mateosaga peacefulkai kyriecapalot bryantoop approve sadly,0,0,@spiritualkai @mateosaga_ @Peaceful_Kai @KyrieCapalot @bryan_toop I approve sadly,"[spiritualkai, mateosaga, peacefulkai, kyriecapalot, bryantoop, approve, sadly]","['spiritualkai', 'mateosaga', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'approve', 'sadly']"
3,1390119978318405633,WtephenWurrySZN,2021-05-06 01:43:24,und,danicakaiab spiritualkai peacefulkai kyriecapalot bryantoop mateosaga ren,0,0,@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Ren*,"[danicakaiab, spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, ren]","['danicakaiab', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'ren']"
4,1390119949616754690,WtephenWurrySZN,2021-05-06 01:43:17,en,danicakaiab spiritualkai peacefulkai kyriecapalot bryantoop mateosaga gonna talk spouse ten,0,0,@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ We gonna talk about how my spouse is not ten,"[danicakaiab, spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, gonna, talk, spouse, ten]","['danicakaiab', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'go', 'to', 'talk', 'spouse']"
5,1390119884701552640,WtephenWurrySZN,2021-05-06 01:43:02,en,lakerssuck baicallykanye thehoopcentral danemoorenba bozo,1,0,@Lakerssuck10 @Ba5icallyKanye @TheHoopCentral @DaneMooreNBA Own that bozo,"[lakerssuck, baicallykanye, thehoopcentral, danemoorenba, bozo]","['lakerssuck', 'baicallykanye', 'thehoopcentral', 'danemoorenba', 'bozo']"
6,1390119777620930563,WtephenWurrySZN,2021-05-06 01:42:36,und,mateosaga spiritualkai peacefulkai kyriecapalot bryantoop,1,0,@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop OWN,"[mateosaga, spiritualkai, peacefulkai, kyriecapalot, bryantoop]","['mateosaga', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop']"
7,1390119741113741313,WtephenWurrySZN,2021-05-06 01:42:28,en,bryantoop spiritualkai peacefulkai kyriecapalot mateosaga good,0,0,@bryan_toop @spiritualkai @Peaceful_Kai @KyrieCapalot @mateosaga_ Good,"[bryantoop, spiritualkai, peacefulkai, kyriecapalot, mateosaga, good]","['bryantoop', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'mateosaga', 'good']"
8,1390119442135359488,WtephenWurrySZN,2021-05-06 01:41:16,und,spiritualkai peacefulkai kyriecapalot bryantoop mateosaga ok,1,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Ok😡😡😡😡,"[spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, ok]","['spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'ok']"
9,1390118205125971974,WtephenWurrySZN,2021-05-06 01:36:21,en,spiritualkai peacefulkai kyriecapalot bryantoop mateosaga wassup,1,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Wassup,"[spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, wassup]","['spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'wassup']"
10,1390118160775348227,WtephenWurrySZN,2021-05-06 01:36:11,en,mateosaga spiritualkai peacefulkai kyriecapalot bryantoop good log,1,0,"@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop Good, about to log off","[mateosaga, spiritualkai, peacefulkai, kyriecapalot, bryantoop, good, log]","['mateosaga', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'good', 'log']"
11,1390117700186345472,WtephenWurrySZN,2021-05-06 01:34:21,en,bryantoop kyriecapalot spiritualkai mateosaga peacefulkai sure,1,0,@bryan_toop @KyrieCapalot @spiritualkai @mateosaga_ @Peaceful_Kai Sure,"[bryantoop, kyriecapalot, spiritualkai, mateosaga, peacefulkai, sure]","['bryantoop', 'kyriecapalot', 'spiritualkai', 'mateosaga', 'peacefulkai', 'sure']"
12,1390117676610097154,WtephenWurrySZN,2021-05-06 01:34:15,und,mateosaga spiritualkai peacefulkai kyriecapalot bryantoop yo,3,0,@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop Yo,"[mateosaga, spiritualkai, peacefulkai, kyriecapalot, bryantoop, yo]","['mateosaga', 'spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'yo']"
13,1390117602878492681,WtephenWurrySZN,2021-05-06 01:33:58,und,spiritualkai peacefulkai kyriecapalot bryantoop mateosaga heyyyyyyy,2,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Heyyyyyyy,"[spiritualkai, peacefulkai, kyriecapalot, bryantoop, mateosaga, heyyyyyyy]","['spiritualkai', 'peacefulkai', 'kyriecapalot', 'bryantoop', 'mateosaga', 'heyyyyyyy']"
14,1390114010545147904,WtephenWurrySZN,2021-05-06 01:19:41,und,bealburner mateosaga rencruzi w,2,0,@BealBurner3 @mateosaga_ @RenCruzi W,"[bealburner, mateosaga, rencruzi, w]","['bealburner', 'mateosaga', 'rencruzi', 'w']"
15,1390113888176328704,WtephenWurrySZN,2021-05-06 01:19:12,en,pamibetter jose thenbacentral ratio,1,0,@PamiBetter @Jose34131062 @TheNBACentral Ratio then,"[pamibetter, jose, thenbacentral, ratio]","['pamibetter', 'jose', 'thenbacentral', 'ratio']"
16,1390113833855995909,WtephenWurrySZN,2021-05-06 01:18:59,und,rogerexplainer mateosaga rencruzi w,1,0,@RogerExplainer @mateosaga_ @RenCruzi W,"[rogerexplainer, mateosaga, rencruzi, w]","['rogerexplainer', 'mateosaga', 'rencruzi', 'w']"
17,1390113815484903427,WtephenWurrySZN,2021-05-06 01:18:55,en,mateosaga rencruzi w babe ill make sure u k,1,0,@mateosaga_ @RenCruzi W babe I’ll make sure to do that when u at 3.8k,"[mateosaga, rencruzi, w, babe, ill, make, sure, u, k]","['mateosaga', 'rencruzi', 'w', 'babe', 'ill', 'sure', 'u', 'k']"
18,1390113729195479046,WtephenWurrySZN,2021-05-06 01:18:34,en,mateosaga rencruzi since k,0,0,@mateosaga_ @RenCruzi I have since 1k,"[mateosaga, rencruzi, since, k]","['mateosaga', 'rencruzi', 'k']"
19,1390113272175673344,WtephenWurrySZN,2021-05-06 01:16:45,en,mateosaga rencruzi possibly,1,0,@mateosaga_ @RenCruzi Possibly 😳,"[mateosaga, rencruzi, possibly]","['mateosaga', 'rencruzi', 'possibly']"
20,1390113229054021636,WtephenWurrySZN,2021-05-06 01:16:35,und,mateosaga rencruzi w,1,0,@mateosaga_ @RenCruzi W,"[mateosaga, rencruzi, w]","['mateosaga', 'rencruzi', 'w']"
