,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390061508059549699,YeshwantChitte,2021-05-05 21:51:04,en,kingro count,1,0,@KING__Ro45 Count me in.,"[kingro, count]","['kingro', 'count']"
1,1390060123226132483,YeshwantChitte,2021-05-05 21:45:34,en,tennis: make salad putting ingredients inside salad plenty ingredients become great player,0,25,"RT @Tennis: ""When you make a salad and you are putting ingredients inside the salad, he has plenty of ingredients to become a great player.…","[tennis:, make, salad, putting, ingredients, inside, salad, plenty, ingredients, become, great, player]","['tennis', 'salad', 'put', 'ingredient', 'inside', 'salad', 'plenty', 'ingredient', 'great', 'player']"
2,1390058973315751937,YeshwantChitte,2021-05-05 21:40:59,en,adsutherland reply especially last line,2,0,@ADSutherland_ Your reply was just 🔥🔥 especially the last line.,"[adsutherland, reply, especially, last, line]","['adsutherland', 'reply', 'especially', 'line']"
3,1390058027730890752,YeshwantChitte,2021-05-05 21:37:14,en,adsutherland: piersmorgan stood woman interested piers accepted got life,0,126,RT @ADSutherland_: @piersmorgan I was once stood up by a woman who wasn't interested in me Piers. I accepted it and got on with life. I did…,"[adsutherland:, piersmorgan, stood, woman, interested, piers, accepted, got, life]","['adsutherland', 'piersmorgan', 'stand', 'woman', 'interested', 'pier', 'accept', 'get', 'life']"
4,1390042888885604353,YeshwantChitte,2021-05-05 20:37:05,en,nataliegermanos: would like help aspiring commentators need tips maybe someone talk -,0,40,"RT @NatalieGermanos: I would like to help any aspiring commentators 
If you need any tips or maybe just someone to talk to - I am here
Its…","[nataliegermanos:, would, like, help, aspiring, commentators, need, tips, maybe, someone, talk, -]","['nataliegermanos', 'like', 'help', 'aspire', 'commentator', 'need', 'tip', 'maybe', 'talk']"
5,1390038362111700992,YeshwantChitte,2021-05-05 20:19:05,en,thesleigher: rohitswarrior hate rcb i'm mi fan hate csk i'm human,0,42,RT @The_Sleigher: @Rohits_warrior_ I hate RCB because I'm MI fan I hate CSK because I'm human,"[thesleigher:, rohitswarrior, hate, rcb, i'm, mi, fan, hate, csk, i'm, human]","['thesleigher', 'rohitswarrior', 'hate', 'rcb', 'mi', 'fan', 'hate', 'csk', 'human']"
6,1390037788741967876,YeshwantChitte,2021-05-05 20:16:49,en,petrakvitova: good today ashbarty proud tournament madrid - hasta la proxima mutuamadridopen,0,67,"RT @Petra_Kvitova: Too good today @ashbarty 👏  

Proud of my tournament here in Madrid - hasta la proxima! 🇪🇸

@MutuaMadridOpen https://t.c…","[petrakvitova:, good, today, ashbarty, proud, tournament, madrid, -, hasta, la, proxima, mutuamadridopen]","['petrakvitova', 'good', 'today', 'ashbarty', 'proud', 'tournament', 'madrid', 'hasta', 'la', 'proxima', 'mutuamadridopen']"
7,1390035656072597507,YeshwantChitte,2021-05-05 20:08:20,en,steve waugh gave piece marlon samuels samuels insisted waugh needed luck,3,1,Steve Waugh then gave a piece of it to Marlon Samuels after Samuels insisted Waugh that he needed some luck in 2001… https://t.co/cotu0D0om6,"[steve, waugh, gave, piece, marlon, samuels, samuels, insisted, waugh, needed, luck]","['steve', 'waugh', 'give', 'piece', 'marlon', 'samuels', 'samuels', 'insist', 'waugh', 'need', 'luck']"
8,1390025267687526405,YeshwantChitte,2021-05-05 19:27:03,und,petrakvitova: ashbarty,0,10,RT @Petra_Kvitova: @ashbarty 🙏🤗,"[petrakvitova:, ashbarty]","['petrakvitova', 'ashbarty']"
9,1390025224507203586,YeshwantChitte,2021-05-05 19:26:53,en,ashbarty: always pleasure friend petrakvitova,0,66,"RT @ashbarty: Always a pleasure, my friend ✨ @Petra_Kvitova https://t.co/3iFuw7tsjh","[ashbarty:, always, pleasure, friend, petrakvitova]","['ashbarty', 'pleasure', 'friend', 'petrakvitova']"
10,1390015933180043264,YeshwantChitte,2021-05-05 18:49:58,no,jhumkawali: #mumbai fraud alert,0,82,"RT @jhumkawali: #Mumbai 
⚠️ FRAUD ALERT 🚨 https://t.co/Oga0uH2eY8","[jhumkawali:, #mumbai, fraud, alert]","['jhumkawali', 'mumbai', 'fraud', 'alert']"
11,1390014919244845057,YeshwantChitte,2021-05-05 18:45:56,en,mourat: kind soul willing donate plasma thane tomorrow blood group ave please dm details,0,100,RT @MOU53RAT: Any kind soul be willing to donate plasma in Thane by tomorrow? Blood Group A+ve. Please DM me for details,"[mourat:, kind, soul, willing, donate, plasma, thane, tomorrow, blood, group, ave, please, dm, details]","['mourat', 'kind', 'soul', 'willing', 'donate', 'plasma', 'thane', 'tomorrow', 'blood', 'group', 'ave', 'dm', 'detail']"
