,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1388424482423980033,adamboultwood,2021-05-01 09:26:06,fr,dizzness elite tweet,2,0,@Dizzness Elite tweet.,"[dizzness, elite, tweet]","['dizzness', 'elite', 'tweet']"
1,1388118438170832900,adamboultwood,2021-04-30 13:10:00,en,ummofficialuk: joining sports clubs organising bodies broadcasters individuals switching social accounts,0,1,"RT @ummofficialuk: We will be joining sports clubs, organising bodies, broadcasters and individuals in switching off their social accounts…","[ummofficialuk:, joining, sports, clubs, organising, bodies, broadcasters, individuals, switching, social, accounts]","['ummofficialuk', 'join', 'sport', 'club', 'organise', 'body', 'broadcaster', 'individual', 'switch', 'social', 'account']"
2,1388085890401120258,adamboultwood,2021-04-30 11:00:40,en,theres one answer,39,1,there’s only one answer now https://t.co/andpLfpqaL https://t.co/LQC4qj4iDh,"[theres, one, answer]","['s', 'answer']"
3,1386398212789989379,adamboultwood,2021-04-25 19:14:26,en,ummofficialuk: fancy winning brand new ranger rover course chance win is: enter,0,2,"RT @ummofficialuk: Fancy winning a brand new Ranger Rover? Of course you do. 🚗

For your chance to win all you have to do is:

✅ Enter here…","[ummofficialuk:, fancy, winning, brand, new, ranger, rover, course, chance, win, is:, enter]","['ummofficialuk', 'fancy', 'win', 'brand', 'new', 'ranger', 'rover', 'course', 'chance', 'win', 'enter']"
4,1385315815038271488,adamboultwood,2021-04-22 19:33:22,en,ummofficialuk: twitter's bit boring tonight isnt heres video lad hitting crossbar win ps callux absolute,0,22,"RT @ummofficialuk: Twitter's a bit boring tonight, isn’t it. Here’s a video of a lad hitting a crossbar to win a PS5 off @callux.

Absolute…","[ummofficialuk:, twitter's, bit, boring, tonight, isnt, heres, video, lad, hitting, crossbar, win, ps, callux, absolute]","['ummofficialuk', 'twitter', 'bit', 'boring', 'tonight', 'not', 'heres', 'video', 'lad', 'hit', 'crossbar', 'win', 'ps', 'callux', 'absolute']"
5,1385291351311454210,adamboultwood,2021-04-22 17:56:10,en,jamesallcott chrismd chelsearory yet allcott best player pitch,7,0,@jamesallcott @chrismd10 @Chelsearory And yet Allcott was the best player on the pitch...,"[jamesallcott, chrismd, chelsearory, yet, allcott, best, player, pitch]","['jamesallcott', 'chrismd', 'chelsearory', 'allcott', 'good', 'player', 'pitch']"
6,1385212603664904194,adamboultwood,2021-04-22 12:43:15,en,bruno really said,67,4,Bruno really said https://t.co/ykttFPN8HG https://t.co/4634J6RIpm,"[bruno, really, said]","['bruno', 'say']"
7,1384969946371854341,adamboultwood,2021-04-21 20:39:01,en,ummofficialuk: love see guy darealakinfenwa scores first goal championship mobbed teammates,0,12,RT @ummofficialuk: WE LOVE TO SEE IT. Our guy @daRealAkinfenwa scores his first goal in the Championship and is mobbed by his teammates 👏…,"[ummofficialuk:, love, see, guy, darealakinfenwa, scores, first, goal, championship, mobbed, teammates]","['ummofficialuk', 'love', 'guy', 'darealakinfenwa', 'score', 'goal', 'championship', 'mob', 'teammate']"
8,1384897259427569666,adamboultwood,2021-04-21 15:50:11,en,giving away ps crossbar challenge yeah lot fun make,13,0,"Giving away a PS5 with a crossbar challenge? Yeah, this was a lot of fun to make. https://t.co/TOauq0pZgz","[giving, away, ps, crossbar, challenge, yeah, lot, fun, make]","['give', 'away', 'ps', 'crossbar', 'challenge', 'yeah', 'lot', 'fun']"
9,1384779196380164098,adamboultwood,2021-04-21 08:01:03,en,ankaman: kick times ticket prices funding women's game lasting anti-racism initiatives proper wealth distribution r,0,3895,RT @Ankaman616: Kick off times. Ticket Prices. Funding for the women's game. Lasting Anti-racism initiatives. Proper wealth distribution. R…,"[ankaman:, kick, times, ticket, prices, funding, women's, game, lasting, anti-racism, initiatives, proper, wealth, distribution, r]","['ankaman', 'kick', 'time', 'ticket', 'price', 'fund', 'woman', 'game', 'last', 'anti', 'racism', 'initiative', 'proper', 'wealth', 'distribution', 'r']"
10,1384630686670282754,adamboultwood,2021-04-20 22:10:55,en,dshanahan embarrassing isnt arsenals one even close sounding like sincere apology,11,0,@dshanahan930 Embarrassing isn’t it. Arsenal’s the only one even close to sounding like a  sincere apology,"[dshanahan, embarrassing, isnt, arsenals, one, even, close, sounding, like, sincere, apology]","['dshanahan', 'embarrassing', 'not', 'arsenal', 'close', 'sound', 'like', 'sincere', 'apology']"
11,1384628139008081922,adamboultwood,2021-04-20 22:00:48,en,regret anxiety upset caused real apology shame,56,2,"“We regret the anxiety and upset caused.”

No real apology. No shame. https://t.co/1OZcsieDt3","[regret, anxiety, upset, caused, real, apology, shame]","['regret', 'anxiety', 'upset', 'cause', 'real', 'apology', 'shame']"
12,1384589624606089216,adamboultwood,2021-04-20 19:27:45,en,tears eyes timeline absolute chaos,67,0,tears in my eyes the timeline is absolute chaos https://t.co/6imINFMuuC,"[tears, eyes, timeline, absolute, chaos]","['tear', 'eye', 'timeline', 'absolute', 'chaos']"
13,1384589237673205762,adamboultwood,2021-04-20 19:26:13,en,got rid one dickhead mate need another one,432,13,"we just got rid of one dickhead mate, we don't need another one https://t.co/3yzeSPTyJS","[got, rid, one, dickhead, mate, need, another, one]","['get', 'rid', 'dickhead', 'mate', 'need']"
14,1384575014666743808,adamboultwood,2021-04-20 18:29:42,en,debaser want part series detailing every hilarious hour sorry existence,6,0,@Debaser92 I want a 48 part series detailing every hilarious hour of its sorry existence,"[debaser, want, part, series, detailing, every, hilarious, hour, sorry, existence]","['debaser', 'want', 'series', 'detail', 'hilarious', 'hour', 'sorry', 'existence']"
