,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389982171599831043,amitabhnews18,2021-05-05 16:35:48,en,#covid supplies received global community effectively allocated states/uts govt india,0,0,"#COVID19 supplies received from Global Community have been Effectively Allocated to States/UTs by Govt of India 
*1… https://t.co/jTSaFWzDpm","[#covid, supplies, received, global, community, effectively, allocated, states/uts, govt, india]","['covid', 'supply', 'receive', 'global', 'community', 'effectively', 'allocate', 'states', 'uts', 'govt', 'india']"
1,1389901073477931020,amitabhnews18,2021-05-05 11:13:33,en,india meaindia strongly condemns terror attack logarafghanistan leaving innocent deadover injured nee,2,0,"India @MEAIndia strongly condemns terror attack in Logar,Afghanistan leaving 21 innocent dead&amp;over100 injured 
*nee… https://t.co/tDVy3YGzMg","[india, meaindia, strongly, condemns, terror, attack, logarafghanistan, leaving, innocent, deadover, injured, nee]","['india', 'meaindia', 'strongly', 'condemn', 'terror', 'attack', 'logarafghanistan', 'leave', 'innocent', 'deadover', 'injure', 'nee']"
2,1389896762651860996,amitabhnews18,2021-05-05 10:56:25,en,cabinet #ccea chaired pm narendramodi approves strategic disinvestmenttransfer management control,4,1,Cabinet #CCEA chaired by PM @narendramodi approves strategic disinvestment&amp;transfer of management control in… https://t.co/FokCAHUW34,"[cabinet, #ccea, chaired, pm, narendramodi, approves, strategic, disinvestmenttransfer, management, control]","['cabinet', 'ccea', 'chair', 'pm', 'narendramodi', 'approve', 'strategic', 'disinvestmenttransfer', 'management', 'control']"
3,1389862545930932225,amitabhnews18,2021-05-05 08:40:28,en,atal bihari #vajpayee #covid hospital setup drdoindia lucknow made operational today may,1,1,Atal Bihari #Vajpayee #COVID19 hospital setup by @DRDO_India in Lucknow made operational today on 5 May… https://t.co/UmJfApxwu7,"[atal, bihari, #vajpayee, #covid, hospital, setup, drdoindia, lucknow, made, operational, today, may]","['atal', 'bihari', 'vajpayee', 'covid', 'hospital', 'setup', 'drdoindia', 'lucknow', 'operational', 'today']"
4,1389631246314065920,amitabhnews18,2021-05-04 17:21:21,en,delhi receive tonnes #oxygen today oxygen express would deliver nearly mt #lmo #delhi,3,0,"Delhi to receive 244 tonnes more #Oxygen Today. Now, Oxygen Express would deliver nearly 450 MT of #LMO to #Delhi a… https://t.co/mVyKzpqbst","[delhi, receive, tonnes, #oxygen, today, oxygen, express, would, deliver, nearly, mt, #lmo, #delhi]","['delhi', 'receive', 'tonne', 'oxygen', 'today', 'oxygen', 'express', 'deliver', 'nearly', 'mt', 'lmo', 'delhi']"
5,1389627177805570048,amitabhnews18,2021-05-04 17:05:11,en,indianhrc takes cognizance alleged post poll violence bengal orders investigation fact finding team r,24,10,. @India_NHRC takes cognizance of alleged post poll violence in Bengal. Orders investigation. A fact finding team r… https://t.co/dW6z2UXf2m,"[indianhrc, takes, cognizance, alleged, post, poll, violence, bengal, orders, investigation, fact, finding, team, r]","['indianhrc', 'take', 'cognizance', 'allege', 'post', 'poll', 'violence', 'bengal', 'orders', 'investigation', 'fact', 'find', 'team', 'r']"
6,1389574429919698944,amitabhnews18,2021-05-04 13:35:35,en,india-uk global innovation partnership announced johnson invited pm modi visit uk g- summit,4,1,"India-UK ‘Global Innovation Partnership’ was announced
*Johnson invited PM Modi to visit UK for G-7 Summit https://t.co/SSAOpFMqjx","[india-uk, global, innovation, partnership, announced, johnson, invited, pm, modi, visit, uk, g-, summit]","['india', 'uk', 'global', 'innovation', 'partnership', 'announce', 'johnson', 'invite', 'pm', 'modi', 'visit', 'uk', 'g-', 'summit']"
7,1389573672994676738,amitabhnews18,2021-05-04 13:32:35,en,pm narendramodi #uk pm borisjohnson virtual summit roadmap adopted comprehensive strategic partne,6,1,"PM @narendramodi &amp; #UK PM @BorisJohnson Virtual Summit 
*Roadmap 2030’ adopted  to a Comprehensive Strategic Partne… https://t.co/bNtsUouGWt","[pm, narendramodi, #uk, pm, borisjohnson, virtual, summit, roadmap, adopted, comprehensive, strategic, partne]","['pm', 'narendramodi', 'uk', 'pm', 'borisjohnson', 'virtual', 'summit', 'roadmap', 'adopt', 'comprehensive', 'strategic', 'partne']"
8,1389568717697077249,amitabhnews18,2021-05-04 13:12:53,en,drdoindia install medical #oxygen plants delhi haryana within st week may equipment arrives,20,10,". @DRDO_India to install 5 Medical #Oxygen Plants in Delhi &amp; Haryana within 1st week of May 
*Equipment arrives at… https://t.co/BbAzN2UmM2","[drdoindia, install, medical, #oxygen, plants, delhi, haryana, within, st, week, may, equipment, arrives]","['drdoindia', 'install', 'medical', 'oxygen', 'plant', 'delhi', 'haryana', 'st', 'week', 'equipment', 'arrive']"
9,1389533072840740866,amitabhnews18,2021-05-04 10:51:15,en,effective allocation centre #covid supplies received global community mohfwindia medical infrastruc,6,0,"Effective Allocation by Centre of #COVID19 supplies received from Global Community @MoHFW_INDIA
*Medical Infrastruc… https://t.co/8H8Fio3m0s","[effective, allocation, centre, #covid, supplies, received, global, community, mohfwindia, medical, infrastruc]","['effective', 'allocation', 'centre', 'covid', 'supply', 'receive', 'global', 'community', 'mohfwindia', 'medical', 'infrastruc']"
10,1389521746286497795,amitabhnews18,2021-05-04 10:06:15,en,production #remdesivir increased rapid pace #india achieved times production capacity remedesvir wi,3,1,Production of #Remdesivir increased at a rapid pace. #India achieved 3 times production capacity of Remedesvir &amp; wi… https://t.co/1X7DQYJxR1,"[production, #remdesivir, increased, rapid, pace, #india, achieved, times, production, capacity, remedesvir, wi]","['production', 'remdesivir', 'increase', 'rapid', 'pace', 'india', 'achieve', 'time', 'production', 'capacity', 'remedesvir', 'wi']"
11,1389514362365251588,amitabhnews18,2021-05-04 09:36:54,hi,newsindia: breakingnews #b,0,37,"RT @News18India: BreakingNews
बंगाल में हो रही हिंसा को लेकर प्रधानमंत्री मोदी ने बंगाल के राज्यपाल से फोन पर बात की और गहरी चिंता जताई

#B…","[newsindia:, breakingnews, #b]","['newsindia', 'breakingnews', 'b']"
