,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390186827932385286,andi_staub,2021-05-06 06:09:02,en,charts change perspective #marketing technology #martech #crm #bigdata #fintech #ai #ml,3,2,"10 Charts That Will Change Your Perspective Of #Marketing Technology

#martech #CRM #BigData #fintech #AI #ML… https://t.co/AcnCpphoTZ","[charts, change, perspective, #marketing, technology, #martech, #crm, #bigdata, #fintech, #ai, #ml]","['chart', 'change', 'perspective', 'marketing', 'technology', 'martech', 'crm', 'bigdata', 'fintech', 'ai', 'ml']"
1,1390178525123158019,andi_staub,2021-05-06 05:36:03,de,reimagine #digitaltransformation #ai #leadership #nocode #lowcode #fintech #rpa #futureofwork ipfconline,2,4,"Reimagine #DigitalTransformation in 2021

#AI #leadership #nocode #lowcode #fintech #RPA #futureofwork @ipfconline1… https://t.co/Oe78vnjcwe","[reimagine, #digitaltransformation, #ai, #leadership, #nocode, #lowcode, #fintech, #rpa, #futureofwork, ipfconline]","['reimagine', 'digitaltransformation', 'ai', 'leadership', 'nocode', 'lowcode', 'fintech', 'rpa', 'futureofwork', 'ipfconline']"
2,1390171226363027458,andi_staub,2021-05-06 05:07:03,en,report] #openbanking matters poor people #fintech #inclusion #innovation #api #wealth guzmand,7,6,"[report]

Why #OpenBanking Matters For Poor People

#fintech #inclusion #innovation #API #wealth @guzmand… https://t.co/Fibw84GBl0","[report], #openbanking, matters, poor, people, #fintech, #inclusion, #innovation, #api, #wealth, guzmand]","['report', 'openbanke', 'matter', 'poor', 'people', 'fintech', 'inclusion', 'innovation', 'api', 'wealth', 'guzmand']"
3,1390163675252674563,andi_staub,2021-05-06 04:37:02,en,evolution learning key better #artificialintelligence #robots #computerscience #fintech haroldsinnott,8,7,"Evolution of learning is key to better #ArtificialIntelligence

#Robots #computerscience #fintech @HaroldSinnott… https://t.co/MGI51otmhS","[evolution, learning, key, better, #artificialintelligence, #robots, #computerscience, #fintech, haroldsinnott]","['evolution', 'learn', 'key', 'well', 'artificialintelligence', 'robot', 'computerscience', 'fintech', 'haroldsinnott']"
4,1390156127933960193,andi_staub,2021-05-06 04:07:03,en,perspective history #artificialintelligence #datascience #fintech #insurtech #dl #ml ipfconline,4,7,"A perspective on the history of #ArtificialIntelligence

#DataScience #fintech #insurtech #DL #ML @ipfconline1… https://t.co/lkmSRErVAg","[perspective, history, #artificialintelligence, #datascience, #fintech, #insurtech, #dl, #ml, ipfconline]","['perspective', 'history', 'artificialintelligence', 'datascience', 'fintech', 'insurtech', 'dl', 'ml', 'ipfconline']"
5,1390148075105226753,andi_staub,2021-05-06 03:35:03,en,good design equals good business #designthinking #behavioraleconomics #fintech haroldsinnott salzer,6,4,"Why good design equals good business

#designthinking #BehavioralEconomics #fintech @HaroldSinnott @Salz_Er… https://t.co/OSdgCFXyOM","[good, design, equals, good, business, #designthinking, #behavioraleconomics, #fintech, haroldsinnott, salzer]","['good', 'design', 'equal', 'good', 'business', 'designthinke', 'behavioraleconomic', 'fintech', 'haroldsinnott', 'salzer']"
6,1390140779977494532,andi_staub,2021-05-06 03:06:04,en,unraveling #deeplearning #algorithms limited data #ai #datascience #bigdata #fintech fabriziobustama,17,22,"Unraveling #DeepLearning #Algorithms With Limited Data

#AI #DataScience #BigData #fintech @Fabriziobustama… https://t.co/CcuJtiekJ6","[unraveling, #deeplearning, #algorithms, limited, data, #ai, #datascience, #bigdata, #fintech, fabriziobustama]","['unravel', 'deeplearne', 'algorithms', 'limited', 'datum', 'ai', 'datascience', 'bigdata', 'fintech', 'fabriziobustama']"
7,1390114611500879878,andi_staub,2021-05-06 01:22:05,en,reread top #nocode #machinelearning platforms #ai #datascience #fintech #programming ipfconline,5,9,"ReRead

Top 8 #NoCode #MachineLearning Platforms

#AI #datascience #fintech #programming @ipfconline1… https://t.co/D4im2QnmAP","[reread, top, #nocode, #machinelearning, platforms, #ai, #datascience, #fintech, #programming, ipfconline]","['reread', 'nocode', 'machinelearne', 'platform', 'ai', 'datascience', 'fintech', 'programming', 'ipfconline']"
8,1390107052022894603,andi_staub,2021-05-06 00:52:02,en,reread race intelligent #ai #machinelearning #algorithms #nlp #fintech #neuralnetworks ipfconline,16,15,"ReRead

The Race for Intelligent #AI

#MachineLearning #Algorithms #NLP #fintech #NeuralNetworks @ipfconline1… https://t.co/sU4OTzPnLu","[reread, race, intelligent, #ai, #machinelearning, #algorithms, #nlp, #fintech, #neuralnetworks, ipfconline]","['reread', 'race', 'intelligent', 'ai', 'machinelearne', 'algorithms', 'nlp', 'fintech', 'neuralnetworks', 'ipfconline']"
9,1390099506222534656,andi_staub,2021-05-06 00:22:03,en,study] principles practice explainable #machinelearning #ai #fintech #datascience ipfconline,11,11,"[study]

Principles and Practice of Explainable #MachineLearning

#AI #fintech #DataScience @ipfconline1… https://t.co/uPnv5WT5Xg","[study], principles, practice, explainable, #machinelearning, #ai, #fintech, #datascience, ipfconline]","['study', 'principle', 'practice', 'explainable', 'machinelearne', 'ai', 'fintech', 'datascience', 'ipfconline']"
