,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389982059062603783,anildash,2021-05-05 16:35:22,en,femmefeministe: wearyourvoice finally wrote precarious position young bipoc writers find freelance w,0,75,"RT @Femmefeministe: For @WearYourVoice, I finally wrote about the precarious position young BIPOC writers find themselves in as freelance w…","[femmefeministe:, wearyourvoice, finally, wrote, precarious, position, young, bipoc, writers, find, freelance, w]","['femmefeministe', 'wearyourvoice', 'finally', 'write', 'precarious', 'position', 'young', 'bipoc', 'writer', 'find', 'freelance', 'w']"
1,1389980950625402886,anildash,2021-05-05 16:30:57,en,experiencejeff would indeed nonsensical using email deliver web pages,1,0,"@Experience_Jeff That would, indeed, be as nonsensical as using email to deliver web pages, but here we are.","[experiencejeff, would, indeed, nonsensical, using, email, deliver, web, pages]","['experiencejeff', 'nonsensical', 'email', 'deliver', 'web', 'page']"
2,1389980777006370819,anildash,2021-05-05 16:30:16,en,chartier feedbin feedly know whyyyy next they'll send us png text newsletter,2,0,"@chartier @feedbin @feedly I know, but... whyyyy. Next they'll send us a png of the text of the newsletter, and the… https://t.co/M2ih6lASFD","[chartier, feedbin, feedly, know, whyyyy, next, they'll, send, us, png, text, newsletter]","['chartier', 'feedbin', 'feedly', 'know', 'whyyyy', 'send', 'png', 'text', 'newsletter']"
3,1389964003619835906,anildash,2021-05-05 15:23:37,en,melissaryan gahhh know common thing idea generating email purpose gives hives,13,0,"@MelissaRyan Gahhh I know this is a common thing, but the idea of generating *more* email for myself on purpose gives me hives.","[melissaryan, gahhh, know, common, thing, idea, generating, email, purpose, gives, hives]","['melissaryan', 'gahhh', 'know', 'common', 'thing', 'idea', 'generate', 'email', 'purpose', 'give', 'hive']"
4,1389963231268122625,anildash,2021-05-05 15:20:33,en,kengoldsholl dont really want email involved,5,0,@KenGoldsholl I don’t really want email involved at all.,"[kengoldsholl, dont, really, want, email, involved]","['kengoldsholl', 'not', 'want', 'email', 'involve']"
5,1389962993929228294,anildash,2021-05-05 15:19:36,en,carlinarivera: exactly type reimagining hope encourage #openstreetsnyc,0,12,RT @CarlinaRivera: This is exactly the type of reimagining we hope to encourage with #OpenStreetsNYC. https://t.co/byoGOIskzG,"[carlinarivera:, exactly, type, reimagining, hope, encourage, #openstreetsnyc]","['carlinarivera', 'exactly', 'type', 'reimagining', 'hope', 'encourage', 'openstreetsnyc']"
6,1389962412967792643,anildash,2021-05-05 15:17:18,en,dont want read substantive things email want read things web browser reading apps,150,10,"I don’t want to read substantive things in email, I want to read things in my web browser. Or in reading apps, if t… https://t.co/iYkE37faUR","[dont, want, read, substantive, things, email, want, read, things, web, browser, reading, apps]","['not', 'want', 'read', 'substantive', 'thing', 'email', 'want', 'read', 'thing', 'web', 'browser', 'read', 'app']"
7,1389948437152649216,anildash,2021-05-05 14:21:46,en,parkermolloy: many internet uproar stories exactly terrible journalism,0,130,"RT @ParkerMolloy: So many ""The internet is in an uproar!"" stories are exactly this. It's terrible journalism.","[parkermolloy:, many, internet, uproar, stories, exactly, terrible, journalism]","['parkermolloy', 'internet', 'uproar', 'story', 'exactly', 'terrible', 'journalism']"
8,1389948314322448385,anildash,2021-05-05 14:21:16,en,hmcghee: official: obamas higher ground produce #thesumofusbook podcast forging cross-racial solidarity exclusivel,0,133,"RT @hmcghee: It’s official: the Obamas’ Higher Ground will produce a #TheSumofUsBook podcast on forging cross-racial solidarity, exclusivel…","[hmcghee:, official:, obamas, higher, ground, produce, #thesumofusbook, podcast, forging, cross-racial, solidarity, exclusivel]","['hmcghee', 'official', 'obamas', 'high', 'ground', 'produce', 'thesumofusbook', 'podcast', 'forge', 'cross', 'racial', 'solidarity', 'exclusivel']"
9,1389946014619119618,anildash,2021-05-05 14:12:08,en,newkthagod ucheblackstock may dont feel comfortable expressing around given assumpt,2,0,@NewkThaGod @uche_blackstock It may be that they don’t feel comfortable expressing it around you given that assumpt… https://t.co/TA5ph4AqBg,"[newkthagod, ucheblackstock, may, dont, feel, comfortable, expressing, around, given, assumpt]","['newkthagod', 'ucheblackstock', 'not', 'feel', 'comfortable', 'express', 'give', 'assumpt']"
