,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390018340710719492,e2org,2021-05-05 18:59:32,en,fact americans employed clean energy fossil fuels message need america,5,2,The fact that there more Americans are employed by clean energy than fossil fuels is a message we need more America… https://t.co/HKH489XxbL,"[fact, americans, employed, clean, energy, fossil, fuels, message, need, america]","['fact', 'americans', 'employ', 'clean', 'energy', 'fossil', 'fuel', 'message', 'need', 'america']"
1,1390004716822728708,e2org,2021-05-05 18:05:24,en,climatepower: secretarypete gets it: investing clean energy = investing good union jobs rebuilding infrastructure = rebui,0,58,"RT @ClimatePower: .@SecretaryPete gets it: Investing in clean energy = investing in good, union jobs. Rebuilding our infrastructure = rebui…","[climatepower:, secretarypete, gets, it:, investing, clean, energy, =, investing, good, union, jobs, rebuilding, infrastructure, =, rebui]","['climatepower', 'secretarypete', 'get', 'invest', 'clean', 'energy', '=', 'invest', 'good', 'union', 'job', 'rebuild', 'infrastructure', '=', 'rebui']"
2,1390004284561965068,e2org,2021-05-05 18:03:41,en,johnarnoldfndtn: often hear concerns land requirements renewable energy including bloomberg article last week two poi,0,128,"RT @JohnArnoldFndtn: I often hear concerns about land requirements of renewable energy, including in a Bloomberg article last week. Two poi…","[johnarnoldfndtn:, often, hear, concerns, land, requirements, renewable, energy, including, bloomberg, article, last, week, two, poi]","['johnarnoldfndtn', 'hear', 'concern', 'land', 'requirement', 'renewable', 'energy', 'include', 'bloomberg', 'article', 'week', 'poi']"
3,1389985241486528516,e2org,2021-05-05 16:48:00,en,million -- that's many jobs could created globally wind energy next yrs accd analysis,2,0,"3.3 MILLION -- That's how many jobs could be created globally by wind energy over the next 5 yrs, accd to analysis… https://t.co/j88zme34Qd","[million, --, that's, many, jobs, could, created, globally, wind, energy, next, yrs, accd, analysis]","['million', 'job', 'create', 'globally', 'wind', 'energy', 'yrs', 'accd', 'analysis']"
4,1389672936769040400,e2org,2021-05-04 20:07:01,en,electrifying buildings pace scale needed meet climate goals opportunity create millions f,1,0,Electrifying buildings at the pace and scale needed to meet climate goals is an opportunity to create millions of f… https://t.co/fVHzTZAOT6,"[electrifying, buildings, pace, scale, needed, meet, climate, goals, opportunity, create, millions, f]","['electrify', 'building', 'pace', 'scale', 'need', 'meet', 'climate', 'goal', 'opportunity', 'create', 'million', 'f']"
5,1389615804568637442,e2org,2021-05-04 16:20:00,en,aspiring business leader looking work smart climate policies lead us economic growth,2,0,Are YOU an aspiring business leader looking to work on smart climate policies that can lead U.S. economic growth in… https://t.co/dpBofY3jbP,"[aspiring, business, leader, looking, work, smart, climate, policies, lead, us, economic, growth]","['aspire', 'business', 'leader', 'look', 'work', 'smart', 'climate', 'policy', 'lead', 'economic', 'growth']"
6,1389610003179393024,e2org,2021-05-04 15:56:57,en,know: even pandemic-fueled saw #cleanenergy jobs decrease st time since e began trac,1,0,DID YOU KNOW: Even after a pandemic-fueled 2020 saw #cleanenergy jobs decrease for the 1st time since E2 began trac… https://t.co/QAnYB1flrg,"[know:, even, pandemic-fueled, saw, #cleanenergy, jobs, decrease, st, time, since, e, began, trac]","['know', 'pandemic', 'fuel', 'saw', 'cleanenergy', 'job', 'decrease', 'st', 'time', 'e', 'begin', 'trac']"
7,1389608720020217860,e2org,2021-05-04 15:51:51,en,epamichaelregan: breaking: epa taking another significant step address climate crisis phasedown #hfcs promote,0,79,RT @EPAMichaelRegan: Breaking: ⁦@EPA⁩ is taking another significant step to address the climate crisis. The phasedown of #HFCs will promote…,"[epamichaelregan:, breaking:, epa, taking, another, significant, step, address, climate, crisis, phasedown, #hfcs, promote]","['epamichaelregan', 'break', 'epa', 'take', 'significant', 'step', 'address', 'climate', 'crisis', 'phasedown', 'hfcs', 'promote']"
8,1389263073303797765,e2org,2021-05-03 16:58:22,en,architects contractors engineers agreed back march letter congress message transit,0,1,"200+ architects, contractors, and engineers agreed back in March in our letter to Congress.

Their message? Transit… https://t.co/ughylW2VtC","[architects, contractors, engineers, agreed, back, march, letter, congress, message, transit]","['architects', 'contractor', 'engineer', 'agree', 'march', 'letter', 'congress', 'message', 'transit']"
9,1389262490794594309,e2org,2021-05-03 16:56:03,en,jswatz: epa estimated hfc rule result billion health environmental benefits middle,0,38,RT @jswatz: The E.P.A. estimated that the HFC rule will result in $283.9 billion in health and environmental benefits by the middle of the…,"[jswatz:, epa, estimated, hfc, rule, result, billion, health, environmental, benefits, middle]","['jswatz', 'epa', 'estimate', 'hfc', 'rule', 'result', 'billion', 'health', 'environmental', 'benefit', 'middle']"
