,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390074831589216261,eatright,2021-05-05 22:44:00,en,babies start eat solid foods dietary needs change certain nutrients key growing deve,8,1,"When babies start to eat solid foods, their dietary needs change, and certain nutrients are key to growing and deve… https://t.co/SJiV51M6dA","[babies, start, eat, solid, foods, dietary, needs, change, certain, nutrients, key, growing, deve]","['baby', 'start', 'eat', 'solid', 'food', 'dietary', 'need', 'change', 'certain', 'nutrient', 'key', 'grow', 'deve']"
1,1390051356598226944,eatright,2021-05-05 21:10:43,en,dcdietitians: age bodies different needs certain nutrients become especially important good health use h,0,1,"RT @DCDietitians: As we age, our bodies have different needs and certain nutrients become especially important for good health. Use these h…","[dcdietitians:, age, bodies, different, needs, certain, nutrients, become, especially, important, good, health, use, h]","['dcdietitians', 'age', 'body', 'different', 'need', 'certain', 'nutrient', 'especially', 'important', 'good', 'health', 'use', 'h']"
2,1390049667237523459,eatright,2021-05-05 21:04:01,en,since evening april muslims celebrating #ramadan practicing act fasting dawn,4,3,"Since the evening of April 12, Muslims have been celebrating #Ramadan and practicing the act of fasting from dawn t… https://t.co/1n7JKo8Zfa","[since, evening, april, muslims, celebrating, #ramadan, practicing, act, fasting, dawn]","['evening', 'april', 'muslims', 'celebrate', 'ramadan', 'practice', 'act', 'fast', 'dawn']"
3,1389992549545390081,eatright,2021-05-05 17:17:03,en,tonight celebrate #cincodemayo home prepare delicious nutritious spread family's fiesta u,22,11,"Tonight, celebrate #CincodeMayo at home! 🥳 To prepare a delicious and nutritious spread for your family's fiesta, u… https://t.co/33xpA3juqQ","[tonight, celebrate, #cincodemayo, home, prepare, delicious, nutritious, spread, family's, fiesta, u]","['tonight', 'celebrate', 'cincodemayo', 'home', 'prepare', 'delicious', 'nutritious', 'spread', 'family', 'fiesta', 'u']"
4,1389988789532209155,eatright,2021-05-05 17:02:06,en,eatrightohio: #magnesium important part enzymes found body enzymes involved processes,0,7,RT @EatRightOhio: #Magnesium is an important part of the more than 300 enzymes found in your body. These enzymes involved in processes that…,"[eatrightohio:, #magnesium, important, part, enzymes, found, body, enzymes, involved, processes]","['eatrightohio', 'magnesium', 'important', 'enzyme', 'find', 'body', 'enzyme', 'involve', 'process']"
5,1389985779397668864,eatright,2021-05-05 16:50:09,en,lubbockagrilife: simple steps keep food safe eatright cross-contamination bacteria spread occurs juices,0,4,"RT @LubbockAgriLife: 4 Simple Steps to Keep Food Safe
@eatright Cross-contamination is how bacteria can spread. It occurs when juices from…","[lubbockagrilife:, simple, steps, keep, food, safe, eatright, cross-contamination, bacteria, spread, occurs, juices]","['lubbockagrilife', 'simple', 'step', 'food', 'safe', 'eatright', 'cross', 'contamination', 'bacteria', 'spread', 'occur', 'juice']"
6,1389943470555545605,eatright,2021-05-05 14:02:01,en,know people #celiacdisease alleviate symptoms #nutrition first week,10,7,Did you know people with #celiacdisease can alleviate symptoms through #nutrition? During the first week of… https://t.co/J37SHNDZwX,"[know, people, #celiacdisease, alleviate, symptoms, #nutrition, first, week]","['know', 'people', 'celiacdisease', 'alleviate', 'symptom', 'nutrition', 'week']"
7,1389941298635976704,eatright,2021-05-05 13:53:24,en,gingerhultinrd: know estimated american children allergic certain foods throughout national #foodallergy aware,0,1,RT @GingerHultinRD: Did you know an estimated 8% of American children are allergic to certain foods? Throughout National #FoodAllergy Aware…,"[gingerhultinrd:, know, estimated, american, children, allergic, certain, foods, throughout, national, #foodallergy, aware]","['gingerhultinrd', 'know', 'estimate', 'american', 'child', 'allergic', 'certain', 'food', 'national', 'foodallergy', 'aware']"
8,1389717982251831296,eatright,2021-05-04 23:06:01,en,infused southeast asian tradition flavor outdoor grilling satay makes great warm-weather main di,1,2,"Infused with Southeast Asian tradition and the flavor of outdoor grilling, satay makes a great warm-weather main di… https://t.co/pUp8caTftB","[infused, southeast, asian, tradition, flavor, outdoor, grilling, satay, makes, great, warm-weather, main, di]","['infuse', 'southeast', 'asian', 'tradition', 'flavor', 'outdoor', 'grill', 'satay', 'make', 'great', 'warm', 'weather', 'main', 'di']"
9,1389703940439220224,eatright,2021-05-04 22:10:13,en,nutritioustable: dyk may #celiacawarenessmonth take minutes learn risk factors symptoms diagnosis celiac,0,3,"RT @NutritiousTable: DYK May is #CeliacAwarenessMonth? Take a few minutes to learn about the risk factors, symptoms and diagnosis of celiac…","[nutritioustable:, dyk, may, #celiacawarenessmonth, take, minutes, learn, risk, factors, symptoms, diagnosis, celiac]","['nutritioustable', 'dyk', 'celiacawarenessmonth', 'minute', 'learn', 'risk', 'factor', 'symptom', 'diagnosis', 'celiac']"
