,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1393685764043595776,garyvee,2021-05-15 21:52:34,en,ajv innonate msg finally,28,0,@ajv @innonate @msg Finally,"[ajv, innonate, msg, finally]","['ajv', 'innonate', 'msg', 'finally']"
1,1393685711526760456,garyvee,2021-05-15 21:52:21,en,minutes away final drop open market,341,37,4 minutes away from the final drop .. after that it’s all open market ... https://t.co/tukU45Zmog,"[minutes, away, final, drop, open, market]","['minute', 'away', 'final', 'drop', 'open', 'market']"
2,1393654834918789127,garyvee,2021-05-15 19:49:40,en,teamgaryvee: respectfully give damn people's opinions raising bar podcast -- listen applepodca,0,20,"RT @TeamGaryVee: ""How To Respectfully Not Give A Damn About Other People's Opinions | Raising The Bar Podcast"" -- Listen now on @ApplePodca…","[teamgaryvee:, respectfully, give, damn, people's, opinions, raising, bar, podcast, --, listen, applepodca]","['teamgaryvee', 'respectfully', 'damn', 'people', 'opinion', 'raise', 'bar', 'podcast', 'listen', 'applepodca']"
3,1393631601507061760,garyvee,2021-05-15 18:17:20,en,get one free mj im giveaways next week discord,355,28,Get one free MJ ... I’m doing giveaways next week on discord ♥️❤️ https://t.co/KoUtevvuYu,"[get, one, free, mj, im, giveaways, next, week, discord]","['free', 'mj', 'be', 'giveaway', 'week', 'discord']"
4,1393631532674437125,garyvee,2021-05-15 18:17:04,en,kaushalkakadia: garyvee hmmm keyword initial,0,5,"RT @KaushalKakadia: @garyvee Hmmm keyword is ""initial"" 🤔","[kaushalkakadia:, garyvee, hmmm, keyword, initial]","['kaushalkakadia', 'garyvee', 'hmmm', 'keyword', 'initial']"
5,1393628442374123521,garyvee,2021-05-15 18:04:47,en,,102,10,More https://t.co/oSI3UAGH6L,[],[]
6,1393625669972660231,garyvee,2021-05-15 17:53:46,en,got confused lol floor hits lol last initial drop man long week,257,18,Got confused lol 155 is when the floor hits .. lol .. 555 is last initial drop .. man this has been a long week ♥️ https://t.co/Q2vSNSFYqk,"[got, confused, lol, floor, hits, lol, last, initial, drop, man, long, week]","['get', 'confused', 'lol', 'floor', 'hit', 'lol', 'initial', 'drop', 'man', 'long', 'week']"
7,1393605157309591553,garyvee,2021-05-15 16:32:16,en,brianvlasich veefriends lava,24,2,@BrianVlasich @veefriends Lava is just so ...,"[brianvlasich, veefriends, lava]","['brianvlasich', 'veefriends', 'lava']"
8,1393319057055756296,garyvee,2021-05-14 21:35:24,en,teamgaryvee: people flex public wallets digital world kyle jackie show kyleandjackieo -- listen,0,25,"RT @TeamGaryVee: ""How People Will Flex Their Public Wallets In The Digital World | Kyle and Jackie O Show"" @kyleandjackieo -- Listen now on…","[teamgaryvee:, people, flex, public, wallets, digital, world, kyle, jackie, show, kyleandjackieo, --, listen]","['teamgaryvee', 'people', 'flex', 'public', 'wallet', 'digital', 'world', 'kyle', 'jackie', 'kyleandjackieo', 'listen']"
9,1393291047367753728,garyvee,2021-05-14 19:44:06,en,ufgator veefriends u win one discord - giving away tokens next week,37,0,@UF7Gator @veefriends U can win one in my discord - giving away 50 tokens next week,"[ufgator, veefriends, u, win, one, discord, -, giving, away, tokens, next, week]","['ufgator', 'veefriends', 'win', 'discord', 'give', 'away', 'token', 'week']"
10,1393289293083422720,garyvee,2021-05-14 19:37:08,en,rickydebler like marathons,4,0,@RickyDebler I like marathons,"[rickydebler, like, marathons]","['rickydebler', 'like', 'marathon']"
11,1393289133410357249,garyvee,2021-05-14 19:36:30,en,caring something silly id healthy balance life hobbies passions wonderful additions,1073,123,"Caring about something “silly” I’d such a healthy balance to life 

Hobbies and passions are wonderful additions to… https://t.co/iXsokVpKGk","[caring, something, silly, id, healthy, balance, life, hobbies, passions, wonderful, additions]","['care', 'silly', 'would', 'healthy', 'balance', 'life', 'hobby', 'passion', 'wonderful', 'addition']"
12,1393272265396076544,garyvee,2021-05-14 18:29:28,en,journey launch veefriends ill never forget get build years,2214,119,It was such a journey to launch ⁦@veefriends⁩ .. I’ll never forget it .. and now I get to build it for 45 years ❤️… https://t.co/X1kgxRBjEV,"[journey, launch, veefriends, ill, never, forget, get, build, years]","['journey', 'launch', 'veefriends', 'ill', 'forget', 'build', 'year']"
13,1393251396380676101,garyvee,2021-05-14 17:06:32,en,anyone know companys great making halloween costumes,700,40,Anyone know company’s they are great at making Halloween costumes ??,"[anyone, know, companys, great, making, halloween, costumes]","['know', 'company', 'great', 'make', 'halloween', 'costume']"
