,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390169316364996610,jasonlk,2021-05-06 04:59:27,en,jasonlk: we're back sf bay area vaccinated outside open air awesome unico,0,6,"RT @jasonlk: We're ... BACK!!

2021 https://t.co/5gjWmKLjC5

SF Bay Area
100% Vaccinated
100% Outside and Open Air
100% Awesome

150+ Unico…","[jasonlk:, we're, back, sf, bay, area, vaccinated, outside, open, air, awesome, unico]","['jasonlk', 'sf', 'bay', 'area', 'vaccinate', 'outside', 'open', 'air', 'awesome', 'unico']"
1,1390106409040105473,jasonlk,2021-05-06 00:49:29,en,dont expect ask another check avoid replaced ceo vcs saastr,13,3,"“Don’t expect — or ask for — another check.”

How to Avoid Being Replaced as CEO by Your VCs | SaaStr https://t.co/swywHrOQG4","[dont, expect, ask, another, check, avoid, replaced, ceo, vcs, saastr]","['not', 'expect', 'ask', 'check', 'avoid', 'replace', 'ceo', 'vcs', 'saastr']"
2,1390097643079036930,jasonlk,2021-05-06 00:14:39,en,jowyang early reg looks strong,0,0,@jowyang Early reg for https://t.co/5gjWmKtIdv looks strong,"[jowyang, early, reg, looks, strong]","['jowyang', 'early', 'reg', 'look', 'strong']"
3,1390088262971101188,jasonlk,2021-05-05 23:37:23,en,jasonlk: spend time -- customers prospects flashback rbernshteyn ceo co,0,3,"RT @jasonlk: What should you spend more time with -- customers or prospects?

A https://t.co/5gjWmKtIdv flashback with @rbernshteyn CEO @Co…","[jasonlk:, spend, time, --, customers, prospects, flashback, rbernshteyn, ceo, co]","['jasonlk', 'spend', 'time', 'customer', 'prospect', 'flashback', 'rbernshteyn', 'ceo', 'co']"
4,1390082886053728257,jasonlk,2021-05-05 23:16:01,en,related post here:,7,0,"A related post here:

https://t.co/WashA5iikE","[related, post, here:]","['related', 'post']"
5,1390077345676107776,jasonlk,2021-05-05 22:54:00,en,lose every deal sounds obvious perhaps # mistake saas start-ups make eve,101,6,"You lose every deal you aren't in

While that sounds obvious, it's perhaps #1 mistake SaaS start-ups make after eve… https://t.co/U2HGLhDBGG","[lose, every, deal, sounds, obvious, perhaps, #, mistake, saas, start-ups, make, eve]","['lose', 'deal', 'sound', 'obvious', 'mistake', 'saas', 'start', 'up', 'eve']"
6,1390044176155168769,jasonlk,2021-05-05 20:42:12,en,dafrankel mean zero folks,2,0,@dafrankel You mean zero folks,"[dafrankel, mean, zero, folks]","['dafrankel', 'mean', 'zero', 'folk']"
7,1390040770460020738,jasonlk,2021-05-05 20:28:40,en,deeper dive here:,2,0,"A deeper dive here:

https://t.co/7RvGG2grsX","[deeper, dive, here:]","['deep', 'dive']"
8,1390022542946050051,jasonlk,2021-05-05 19:16:14,en,harrystebbings end add true value customers added payments sho,4,0,"@HarryStebbings In the end, you add more &gt;true&lt; value to your customers

https://t.co/i0kR6w2wkH added payments
Sho… https://t.co/6ogim266rB","[harrystebbings, end, add, true, value, customers, added, payments, sho]","['harrystebbings', 'end', 'add', 'true', 'value', 'customer', 'add', 'payment', 'sho']"
9,1390003924812275713,jasonlk,2021-05-05 18:02:15,en,chrija beezer likes game,6,0,@chrija @Beezer232 He likes to game,"[chrija, beezer, likes, game]","['chrija', 'beezer', 'like', 'game']"
