,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390155936052834309,jimmy9toes,2021-05-06 04:06:17,en,thegoldenmuzzy feel bad mantha wilson visiting dentist tomorrow,0,0,"@thegoldenmuzzy Feel bad for Mantha, should have been Wilson visiting the dentist tomorrow.","[thegoldenmuzzy, feel, bad, mantha, wilson, visiting, dentist, tomorrow]","['thegoldenmuzzy', 'feel', 'bad', 'mantha', 'wilson', 'visit', 'dentist', 'tomorrow']"
1,1390142428334592005,jimmy9toes,2021-05-06 03:12:37,en,simontsn,1,0,@SimonTSN690 What did i do?,[simontsn],['simontsn']
2,1390130775933083650,jimmy9toes,2021-05-06 02:26:19,en,rrrawlings mixmastermike nellymo lavacantinatc bestie boys,3,0,@RRRawlings @mixmastermike @Nelly_Mo @lavacantinatc Bestie Boys?,"[rrrawlings, mixmastermike, nellymo, lavacantinatc, bestie, boys]","['rrrawlings', 'mixmastermike', 'nellymo', 'lavacantinatc', 'bestie', 'boy']"
3,1390124580228849669,jimmy9toes,2021-05-06 02:01:41,en,mrjjt dsimmons expomick rule look reffed years,0,0,"@Mr_JJT @dsimmons44 @expomick It’s a rule, look it up. I reffed for 30 years.","[mrjjt, dsimmons, expomick, rule, look, reffed, years]","['mrjjt', 'dsimmons', 'expomick', 'rule', 'look', 'reffe', 'year']"
4,1390120028616331266,jimmy9toes,2021-05-06 01:43:36,en,expomick im habs fan agree,1,0,@expomick I’m a Habs fan and I agree.,"[expomick, im, habs, fan, agree]","['expomick', 'be', 'habs', 'fan', 'agree']"
5,1390119845614686210,jimmy9toes,2021-05-06 01:42:53,en,mrjjt expomick cant third man fighting majors called,0,0,@Mr_JJT @expomick Can’t have a third man in if no fighting majors are called.,"[mrjjt, expomick, cant, third, man, fighting, majors, called]","['mrjjt', 'expomick', 'not', 'man', 'fight', 'major', 'call']"
6,1390115641177174021,jimmy9toes,2021-05-06 01:26:10,en,canadiensmtl habs deserve ass kicking playing like shit,0,0,@CanadiensMTL Habs deserve this ass kicking. Playing like shit.,"[canadiensmtl, habs, deserve, ass, kicking, playing, like, shit]","['canadiensmtl', 'habs', 'deserve', 'ass', 'kick', 'play', 'like', 'shit']"
7,1390107599702347778,jimmy9toes,2021-05-06 00:54:13,en,karineghg comeback time one playing win,0,0,@KarineGHG No comeback this time. No one playing to win.,"[karineghg, comeback, time, one, playing, win]","['karineghg', 'comeback', 'time', 'playing', 'win']"
8,1390105278687760386,jimmy9toes,2021-05-06 00:45:00,en,cloutkaniemi yup passion,1,0,@cloutkaniemi Yup. No passion.,"[cloutkaniemi, yup, passion]","['cloutkaniemi', 'yup', 'passion']"
9,1390105145459896322,jimmy9toes,2021-05-06 00:44:28,en,cloutkaniemi habs deserve tonight,0,0,@cloutkaniemi Habs deserve this tonight.,"[cloutkaniemi, habs, deserve, tonight]","['cloutkaniemi', 'habs', 'deserve', 'tonight']"
