,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390006739358081030,jrapepper,2021-05-05 18:13:26,en,thanks gary pleasure,1,0,Thanks Gary! Such a pleasure! https://t.co/uHujDjhZeL,"[thanks, gary, pleasure]","['thanks', 'gary', 'pleasure']"
1,1390001518493974531,jrapepper,2021-05-05 17:52:41,en,beyond excited confirm guests scalaradio #culturebunker may: st hanniganbarbara (on app now),9,1,"BEYOND excited to confirm my guests in the @ScalaRadio #CultureBunker this May:

1st @HanniganBarbara (on app now)… https://t.co/K9xRvfNcQ1","[beyond, excited, confirm, guests, scalaradio, #culturebunker, may:, st, hanniganbarbara, (on, app, now)]","['excited', 'confirm', 'guest', 'scalaradio', 'culturebunker', 'st', 'hanniganbarbara', 'app']"
2,1389857227234758658,jrapepper,2021-05-05 08:19:19,en,bbcphilharmonic: one thing #deafawarenessweek watch huge bsl signsong garybarlow officialalws heart-warmi,0,17,"RT @BBCPhilharmonic: If you do one thing this #DeafAwarenessWeek, watch our huge BSL SignSong to @GaryBarlow and @OfficialALW’s heart-warmi…","[bbcphilharmonic:, one, thing, #deafawarenessweek, watch, huge, bsl, signsong, garybarlow, officialalws, heart-warmi]","['bbcphilharmonic', 'thing', 'deafawarenessweek', 'watch', 'huge', 'bsl', 'signsong', 'garybarlow', 'officialalws', 'heart', 'warmi']"
3,1388965898518769673,jrapepper,2021-05-02 21:17:30,en,cant headline congrats fang bbcyoungmus finalists mark wigglesworth bbcphilharmonic,32,2,"Why can’t THIS be a headline? 

Congrats Fang and all 3 @BBCYoungMus Finalists, Mark Wigglesworth @BBCPhilharmonic… https://t.co/YXQHP05pqb","[cant, headline, congrats, fang, bbcyoungmus, finalists, mark, wigglesworth, bbcphilharmonic]","['not', 'headline', 'congrats', 'fang', 'bbcyoungmus', 'finalist', 'mark', 'wigglesworth', 'bbcphilharmonic']"
4,1388551816309321736,jrapepper,2021-05-01 17:52:05,en,way listen streisand matters scalaradio gives every word care - true,6,0,The only way to listen to Streisand and ‘What Matters Most’ on @ScalaRadio! She gives every word such care - a true… https://t.co/49LP2HUjF1,"[way, listen, streisand, matters, scalaradio, gives, every, word, care, -, true]","['way', 'listen', 'streisand', 'matters', 'scalaradio', 'give', 'word', 'care', 'true']"
5,1388534760901906443,jrapepper,2021-05-01 16:44:19,en,scalaradio: learn babys cry soprano conductor hanniganbarbara joining jrapepper explain plus w,0,2,"RT @ScalaRadio: What can we learn from a baby’s cry? Soprano &amp; conductor @HanniganBarbara is joining @jrapepper after 6 to explain. Plus, w…","[scalaradio:, learn, babys, cry, soprano, conductor, hanniganbarbara, joining, jrapepper, explain, plus, w]","['scalaradio', 'learn', 'babys', 'cry', 'soprano', 'conductor', 'hanniganbarbara', 'join', 'jrapepper', 'explain', 'plus', 'w']"
6,1388469087295135746,jrapepper,2021-05-01 12:23:21,en,nickichapman imperialcollege nhsuk braintumourorg huge respect nicki ray much-needed sunshine,1,0,@Nicki_Chapman @imperialcollege @NHSuk @BrainTumourOrg Huge respect to you Nicki. A ray of much-needed sunshine!! 👏,"[nickichapman, imperialcollege, nhsuk, braintumourorg, huge, respect, nicki, ray, much-needed, sunshine]","['nickichapman', 'imperialcollege', 'nhsuk', 'braintumourorg', 'huge', 'respect', 'nicki', 'ray', 'need', 'sunshine']"
7,1388468589670318085,jrapepper,2021-05-01 12:21:22,en,wearethemu: government announced plans impose catastrophic funding cut arts subjects higher education (he) level,0,3922,RT @WeAreTheMU: The Government has announced plans to impose a catastrophic 50% funding cut to arts subjects at higher education (HE) level…,"[wearethemu:, government, announced, plans, impose, catastrophic, funding, cut, arts, subjects, higher, education, (he), level]","['wearethemu', 'government', 'announce', 'plan', 'impose', 'catastrophic', 'funding', 'cut', 'art', 'subject', 'high', 'education', 'level']"
8,1388253626188042241,jrapepper,2021-04-30 22:07:11,en,tomhydecomposer: anthony payne ( - ) rip brilliant composer superb critic books schoenberg frank bridge - co,0,28,"RT @tomhydecomposer: Anthony Payne (1936 - 2021) RIP. A brilliant composer, superb critic, books on Schoenberg and Frank Bridge and - of co…","[tomhydecomposer:, anthony, payne, (, -, ), rip, brilliant, composer, superb, critic, books, schoenberg, frank, bridge, -, co]","['tomhydecomposer', 'anthony', 'payne', 'rip', 'brilliant', 'composer', 'superb', 'critic', 'book', 'schoenberg', 'frank', 'bridge', 'co']"
9,1387055748350242817,jrapepper,2021-04-27 14:47:15,en,danfloydperc scalaradio thanks listening dan glad youre enjoying,1,0,"@DanFloydPerc @ScalaRadio Thanks for listening, Dan! Glad you’re enjoying!","[danfloydperc, scalaradio, thanks, listening, dan, glad, youre, enjoying]","['danfloydperc', 'scalaradio', 'thank', 'listen', 'dan', 'glad', 'enjoy']"
10,1386247498331828224,jrapepper,2021-04-25 09:15:33,en,shugiehughie thanks hugh glad enjoyed barbara theme running,1,0,@shugiehughie Thanks Hugh! Glad you enjoyed. We have a Barbara theme running now!!!,"[shugiehughie, thanks, hugh, glad, enjoyed, barbara, theme, running]","['shugiehughie', 'thank', 'hugh', 'glad', 'enjoy', 'barbara', 'theme', 'run']"
11,1386020196494753797,jrapepper,2021-04-24 18:12:20,en,likeamusical: tune scalaradio tonight around pm hear lukebayer tell jrapepper award-winning success,0,5,RT @LikeAMusical: Tune into @ScalaRadio tonight around 7.15pm to hear @lukebayer tell @jrapepper all about his award-winning success in the…,"[likeamusical:, tune, scalaradio, tonight, around, pm, hear, lukebayer, tell, jrapepper, award-winning, success]","['likeamusical', 'tune', 'scalaradio', 'tonight', 'pm', 'hear', 'lukebayer', 'tell', 'jrapepper', 'award', 'win', 'success']"
12,1385996955671834626,jrapepper,2021-04-24 16:39:59,en,scalaradio: today jrapepper chats west end star lukebayer online show likeamusical kingsheadthtr jamiemusical,0,2,"RT @ScalaRadio: Today at 6 @jrapepper chats with West End star @lukebayer about online show @LikeAMusical @KingsHeadThtr, @JamieMusical &amp; a…","[scalaradio:, today, jrapepper, chats, west, end, star, lukebayer, online, show, likeamusical, kingsheadthtr, jamiemusical]","['scalaradio', 'today', 'jrapepper', 'chat', 'west', 'end', 'star', 'lukebayer', 'online', 'likeamusical', 'kingsheadthtr', 'jamiemusical']"
