,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390198065500344323,malpani,2021-05-06 06:53:42,en,shashispandey great title following,0,0,@Shashi_S_Pandey What a great title! Following you!,"[shashispandey, great, title, following]","['shashispandey', 'great', 'title', 'follow']"
1,1390197681226539010,malpani,2021-05-06 06:52:10,en,logicalsingh feel panic fear help behave logically,0,0,@logical_singh So you feel panic and fear help you behave logically?,"[logicalsingh, feel, panic, fear, help, behave, logically]","['logicalsingh', 'feel', 'panic', 'fear', 'help', 'behave', 'logically']"
2,1390194650162417666,malpani,2021-05-06 06:40:07,en,ironic #coronavirusvaccine clinical trials enrolled young healthy people whereas wa,10,1,"Isn't it ironic that the #CoronavirusVaccine clinical trials enrolled only young healthy people, whereas when it wa… https://t.co/SUi2Rm53dx","[ironic, #coronavirusvaccine, clinical, trials, enrolled, young, healthy, people, whereas, wa]","['ironic', 'coronavirusvaccine', 'clinical', 'trial', 'enrol', 'young', 'healthy', 'people', 'wa']"
3,1390192319656185861,malpani,2021-05-06 06:30:52,en,sanjogjz lots hyperbole messages reading indian hospitals likened dante's inferno,0,0,"@SanjogJZ Lots of hyperbole in the messages I am reading!
 Indian hospitals are being likened to Dante's inferno!","[sanjogjz, lots, hyperbole, messages, reading, indian, hospitals, likened, dante's, inferno]","['sanjogjz', 'lot', 'hyperbole', 'message', 'read', 'indian', 'hospital', 'liken', 'dante', 'inferno']"
4,1390191980899012610,malpani,2021-05-06 06:29:31,en,fun teach children want learn,4,0,It's fun to teach children who want to learn! https://t.co/FqWUvhuz1f,"[fun, teach, children, want, learn]","['fun', 'teach', 'child', 'want', 'learn']"
5,1390191103681302530,malpani,2021-05-06 06:26:02,en,students learning use google translate online learning helps make future,2,0,"Students learning how to use Google Translate at https://t.co/6U6AXZBeXK 
Online learning helps make them future re… https://t.co/PWWSPUPA2U","[students, learning, use, google, translate, online, learning, helps, make, future]","['student', 'learn', 'use', 'google', 'translate', 'online', 'learning', 'help', 'future']"
6,1390190209921261572,malpani,2021-05-06 06:22:29,en,great book written doctor summarised scientific evidence well anyone unders,9,3,"This is a great book, written by a doctor who has summarised the scientific evidence so well that anyone can unders… https://t.co/X4FygoguUU","[great, book, written, doctor, summarised, scientific, evidence, well, anyone, unders]","['great', 'book', 'write', 'doctor', 'summarise', 'scientific', 'evidence', 'under']"
7,1390189452492894209,malpani,2021-05-06 06:19:28,en,high-end residential housing societies different rules testing isolating servants #covid,14,1,"High-end residential housing societies have different rules for testing and isolating servants for #COVID19 , and d… https://t.co/XOsX5suEuo","[high-end, residential, housing, societies, different, rules, testing, isolating, servants, #covid]","['high', 'end', 'residential', 'housing', 'society', 'different', 'rule', 'test', 'isolate', 'servant', 'covid']"
8,1390187858837729280,malpani,2021-05-06 06:13:08,en,poor people get beds,11,4,How do poor people get beds? https://t.co/QOcXKml0hl,"[poor, people, get, beds]","['poor', 'people', 'bed']"
9,1390183597227741190,malpani,2021-05-06 05:56:12,en,souravroy please discuss implemented,0,0,@souravroy1215 Please discuss after you have implemented it,"[souravroy, please, discuss, implemented]","['souravroy', 'discuss', 'implement']"
10,1390183433771515904,malpani,2021-05-06 05:55:33,en,manosi yes truth often bitter unpalatable,0,0,"@mano_si_ Yes, the truth is often bitter and unpalatable","[manosi, yes, truth, often, bitter, unpalatable]","['manosi', 'yes', 'truth', 'bitter', 'unpalatable']"
11,1390183266251022338,malpani,2021-05-06 05:54:53,en,people made mind using face masks effective preventing #covid transmission w,14,0,"Once people have made up their mind that using face masks is effective for preventing #COVID19 transmission, they w… https://t.co/DKqHYg4Yes","[people, made, mind, using, face, masks, effective, preventing, #covid, transmission, w]","['people', 'mind', 'face', 'mask', 'effective', 'prevent', 'covid', 'transmission', 'w']"
12,1390177828201586695,malpani,2021-05-06 05:33:17,en,people #covid #rtpcr positive antibody positive likely able infect others,6,0,People who are both #COVID19 #RTPCR positive and antibody positive are not likely to be able to infect  others,"[people, #covid, #rtpcr, positive, antibody, positive, likely, able, infect, others]","['people', 'covid', 'rtpcr', 'positive', 'antibody', 'positive', 'likely', 'able', 'infect']"
13,1390177067916881923,malpani,2021-05-06 05:30:15,en,forcing people stay home damages mental physical health increases risk dying #covid,9,1,"Forcing people to stay at home damages both their mental and their physical health, and this increases their risk of dying of #COVID19","[forcing, people, stay, home, damages, mental, physical, health, increases, risk, dying, #covid]","['force', 'people', 'stay', 'home', 'damage', 'mental', 'physical', 'health', 'increase', 'risk', 'die', 'covid']"
14,1390176591506853888,malpani,2021-05-06 05:28:22,en,goliath one wins time spectators find boring,7,0,"Goliath is the one who wins most of the time, but spectators find this boring","[goliath, one, wins, time, spectators, find, boring]","['goliath', 'win', 'time', 'spectator', 'find', 'boring']"
15,1390176452893581312,malpani,2021-05-06 05:27:49,en,slow steady may win race nothing reporters write,6,1,Slow and steady may win the race but then there is nothing for reporters to write about,"[slow, steady, may, win, race, nothing, reporters, write]","['slow', 'steady', 'win', 'race', 'reporter', 'write']"
16,1390176042912866305,malpani,2021-05-06 05:26:11,en,iamsandeshsoni pay attention speaker saying working,1,0,@IamSandeshSoni How do you pay attention to what the speaker is saying while working?,"[iamsandeshsoni, pay, attention, speaker, saying, working]","['iamsandeshsoni', 'pay', 'attention', 'speaker', 'say', 'work']"
