,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389399528093126659,nimishhalkar,2021-05-04 02:00:35,en,thoroughly enjoyed #sulthan creative theme took deliver commercial entertainer could h,2,0,I thoroughly enjoyed #Sulthan because of the creative theme it took to deliver a commercial entertainer. It could h… https://t.co/WUZiF081iV,"[thoroughly, enjoyed, #sulthan, creative, theme, took, deliver, commercial, entertainer, could, h]","['thoroughly', 'enjoy', 'sulthan', 'creative', 'theme', 'take', 'deliver', 'commercial', 'entertainer', 'h']"
1,1389342382462746627,nimishhalkar,2021-05-03 22:13:31,und,billgates:,0,38962,RT @BillGates: https://t.co/padmHSgWGc,[billgates:],['billgate']
2,1389014218104524801,nimishhalkar,2021-05-03 00:29:30,en,watching #sulthan #karthi #sulthanfromtoday #rashmikamandanna,0,0,"Now watching #Sulthan 

#karthi #SulthanFromToday #RashmikaMandanna","[watching, #sulthan, #karthi, #sulthanfromtoday, #rashmikamandanna]","['watch', 'sulthan', 'karthi', 'sulthanfromtoday', 'rashmikamandanna']"
3,1388927180730683393,nimishhalkar,2021-05-02 18:43:39,en,watching #aspirants #tvfaspirants #tvforiginal,0,0,"Now watching #Aspirants 

#tvfaspirants #TVFOriginal https://t.co/gbOsSVck60","[watching, #aspirants, #tvfaspirants, #tvforiginal]","['watch', 'aspirant', 'tvfaspirant', 'tvforiginal']"
4,1388698407963971595,nimishhalkar,2021-05-02 03:34:35,en,finally watched #bangbaajabaarat hilarious web series genius #anandtiwari loved,0,0,"Finally watched #BangBaajaBaarat!! 

Hilarious Web Series by the genius #AnandTiwari!! 

Loved it!!","[finally, watched, #bangbaajabaarat, hilarious, web, series, genius, #anandtiwari, loved]","['finally', 'watch', 'bangbaajabaarat', 'hilarious', 'web', 'series', 'genius', 'anandtiwari', 'love']"
5,1388592818113990664,nimishhalkar,2021-05-01 20:35:01,en,#vakeelsaab - first #powerstar #pspk #pawankalyan film direction movie solid barring cou,5,0,"#VakeelSaab - My first #POWERSTAR #PSPK #PawanKalyan Film!!

The direction of this movie is solid and barring a cou… https://t.co/ThbIurmUj7","[#vakeelsaab, -, first, #powerstar, #pspk, #pawankalyan, film, direction, movie, solid, barring, cou]","['vakeelsaab', 'powerstar', 'pspk', 'pawankalyan', 'film', 'direction', 'movie', 'solid', 'bar', 'cou']"
6,1388571456246792200,nimishhalkar,2021-05-01 19:10:08,und,#ssmb #maheshbabu #trivikram #maheshtrivikram #ssmbupdate #superstariscoming,2,3,#SSMB28 #MaheshBabu #Trivikram #MaheshTrivikram3 #SSMB28Update #SuperstarIsComing https://t.co/MYMyRIH4tP,"[#ssmb, #maheshbabu, #trivikram, #maheshtrivikram, #ssmbupdate, #superstariscoming]","['ssmb', 'maheshbabu', 'trivikram', 'maheshtrivikram', 'ssmbupdate', 'superstariscome']"
7,1388311209930264580,nimishhalkar,2021-05-01 01:56:00,en,watching #gajakesari #yash #kgf #kannadacinema #rockingstaryash,3,0,"Now Watching #Gajakesari 

#Yash #KGF2 #kannadacinema  #rockingstaryash https://t.co/z0FSyPPgmd","[watching, #gajakesari, #yash, #kgf, #kannadacinema, #rockingstaryash]","['watch', 'gajakesari', 'yash', 'kgf', 'kannadacinema', 'rockingstaryash']"
8,1388309656112599040,nimishhalkar,2021-05-01 01:49:50,en,#vakeelsaab - good remake good performances everyone #vakeelsaabonprime #vakeelsaabservedjustice,8,5,"#VakeelSaab - 👍 Good Remake with good performances by everyone!!  

#VakeelSaabOnPrime #VakeelSaabServedJustice… https://t.co/IUiRj52Wi5","[#vakeelsaab, -, good, remake, good, performances, everyone, #vakeelsaabonprime, #vakeelsaabservedjustice]","['vakeelsaab', 'good', 'remake', 'good', 'performance', 'vakeelsaabonprime', 'vakeelsaabservedjustice']"
9,1388202093618606081,nimishhalkar,2021-04-30 18:42:25,und,#thuramukham #nivinpauly,3,4,#Thuramukham #NivinPauly https://t.co/k47uv2K1uu,"[#thuramukham, #nivinpauly]","['thuramukham', 'nivinpauly']"
