,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390009822431612935,oakhcft,2021-05-05 18:25:41,en,andrewadams: today oakhcft announced series c groups recover together company whose accessible respectful afforda,0,1,"RT @andrewadams97: Today @oakhcft announced a $60M Series C in Groups Recover Together, a company whose accessible, respectful, and afforda…","[andrewadams:, today, oakhcft, announced, series, c, groups, recover, together, company, whose, accessible, respectful, afforda]","['andrewadams', 'today', 'oakhcft', 'announce', 'series', 'c', 'group', 'recover', 'company', 'accessible', 'respectful', 'afforda']"
1,1390009306439954435,oakhcft,2021-05-05 18:23:38,en,paxosglobal: miss fireside chat paxos ceo charles cascarilla robinhoodapp ceo vladtenev moderated laurashin cat,0,1,"RT @PaxosGlobal: Miss the fireside chat between Paxos CEO Charles Cascarilla and @RobinhoodApp CEO @vladtenev, moderated by @laurashin? Cat…","[paxosglobal:, miss, fireside, chat, paxos, ceo, charles, cascarilla, robinhoodapp, ceo, vladtenev, moderated, laurashin, cat]","['paxosglobal', 'miss', 'fireside', 'chat', 'paxos', 'ceo', 'charles', 'cascarilla', 'robinhoodapp', 'ceo', 'vladtenev', 'moderate', 'laurashin', 'cat']"
2,1390009262227824646,oakhcft,2021-05-05 18:23:27,en,annielamont: thrilled announce oakhcfts participation groups recover togethers recent #seriesc groups strong commitment,0,3,RT @annielamont: Thrilled to announce @oakhcft’s participation in Groups Recover Together’s recent $60M #SeriesC. Groups’ strong commitment…,"[annielamont:, thrilled, announce, oakhcfts, participation, groups, recover, togethers, recent, #seriesc, groups, strong, commitment]","['annielamont', 'thrill', 'announce', 'oakhcfts', 'participation', 'group', 'recover', 'together', 'recent', 'seriesc', 'group', 'strong', 'commitment']"
3,1390008909813911557,oakhcft,2021-05-05 18:22:03,en,looking forward seeing co-founder managing partner annielamont join oodahealths webinar da,1,0,We’re looking forward to seeing our Co-Founder and Managing Partner @annielamont join @oodahealth’s webinar with Da… https://t.co/MuGen87cnz,"[looking, forward, seeing, co-founder, managing, partner, annielamont, join, oodahealths, webinar, da]","['look', 'forward', 'see', 'co', 'founder', 'managing', 'partner', 'annielamont', 'join', 'oodahealths', 'webinar', 'da']"
4,1390008553465856000,oakhcft,2021-05-05 18:20:38,en,nancybrownoak: excited welcome groups recover together oakhcft family announce recent series c look f,0,2,RT @nancybrownoak: Excited to welcome Groups Recover Together to the @oakhcft family as they announce their recent $60M Series C! We look f…,"[nancybrownoak:, excited, welcome, groups, recover, together, oakhcft, family, announce, recent, series, c, look, f]","['nancybrownoak', 'excited', 'welcome', 'group', 'recover', 'oakhcft', 'family', 'announce', 'recent', 'series', 'c', 'look', 'f']"
5,1389934599782940675,oakhcft,2021-05-05 13:26:46,en,honored announce addition groups recover together portfolio today company announced th,2,1,"We’re honored to announce the addition of Groups Recover Together to our portfolio! Today, the company announced th… https://t.co/2H9N9YL1sr","[honored, announce, addition, groups, recover, together, portfolio, today, company, announced, th]","['honor', 'announce', 'addition', 'group', 'recover', 'portfolio', 'today', 'company', 'announce', 'th']"
6,1389657915720675335,oakhcft,2021-05-04 19:07:20,en,may #mentalhealthawarenessmonth team oak hc/ft wanted recognize amazing work #healthcare p,1,0,May is #MentalHealthAwarenessMonth and our team at Oak HC/FT wanted to recognize the amazing work our #healthcare p… https://t.co/c2E7f8tNSa,"[may, #mentalhealthawarenessmonth, team, oak, hc/ft, wanted, recognize, amazing, work, #healthcare, p]","['mentalhealthawarenessmonth', 'team', 'oak', 'hc', 'ft', 'want', 'recognize', 'amazing', 'work', 'healthcare', 'p']"
7,1389657658559549449,oakhcft,2021-05-04 19:06:19,en,therapybrands: thrilled announce inaugural therapy brands circle excellence award winners outstanding employees,0,1,RT @therapybrands: We are thrilled to announce our inaugural Therapy Brands Circle of Excellence award winners! These outstanding employees…,"[therapybrands:, thrilled, announce, inaugural, therapy, brands, circle, excellence, award, winners, outstanding, employees]","['therapybrand', 'thrill', 'announce', 'inaugural', 'therapy', 'brands', 'circle', 'excellence', 'award', 'winner', 'outstanding', 'employee']"
8,1389657632865144832,oakhcft,2021-05-04 19:06:12,en,rapydpayments: fintech solve payments challenges provide new opportunities thomas kang rapyd's director,0,2,"RT @RapydPayments: Fintech can solve more than just payments challenges, it can provide new opportunities.

Thomas Kang, Rapyd's Director o…","[rapydpayments:, fintech, solve, payments, challenges, provide, new, opportunities, thomas, kang, rapyd's, director]","['rapydpayment', 'fintech', 'solve', 'payment', 'challenge', 'provide', 'new', 'opportunity', 'thomas', 'kang', 'rapyd', 'director']"
9,1389258337078894598,oakhcft,2021-05-03 16:39:33,en,uniteushq: unite us witnessing technological enablement kindness care scale virginiagarcia partne,0,1,"RT @UniteUsHQ: ""With Unite Us, we are witnessing the technological enablement of kindness and care to scale."" – @VirginiaGarcia, our partne…","[uniteushq:, unite, us, witnessing, technological, enablement, kindness, care, scale, virginiagarcia, partne]","['uniteushq', 'unite', 'witness', 'technological', 'enablement', 'kindness', 'care', 'scale', 'virginiagarcia', 'partne']"
10,1389258286772498438,oakhcft,2021-05-03 16:39:21,en,congrats komodohealth expansion partnership syneoshealth new integrated solution wi,1,0,Congrats to @KomodoHealth on the expansion of their partnership with @SyneosHealth! This new integrated solution wi… https://t.co/rB1Czij2A1,"[congrats, komodohealth, expansion, partnership, syneoshealth, new, integrated, solution, wi]","['congrats', 'komodohealth', 'expansion', 'partnership', 'syneoshealth', 'new', 'integrated', 'solution', 'wi']"
11,1389258024880062464,oakhcft,2021-05-03 16:38:18,en,hellobrightline: may #mentalhealthawarenessmonth we're say: matter family process,0,1,RT @hellobrightline: May is #MentalHealthAwarenessMonth and we're here to say: No matter where you and your family are in the process — we…,"[hellobrightline:, may, #mentalhealthawarenessmonth, we're, say:, matter, family, process]","['hellobrightline', 'mentalhealthawarenessmonth', 'matter', 'family', 'process']"
12,1388229627076820995,oakhcft,2021-04-30 20:31:49,en,fintech created equal oak hc/fts mrallenmiller tess munsie wrote #fintech ipo gold ru,0,0,“Not all fintech is created equal.” Oak HC/FT’s @MrAllenMiller and Tess Munsie wrote about the #fintech IPO gold ru… https://t.co/eMMxckF2aE,"[fintech, created, equal, oak, hc/fts, mrallenmiller, tess, munsie, wrote, #fintech, ipo, gold, ru]","['fintech', 'create', 'equal', 'oak', 'hc', 'fts', 'mrallenmiller', 'tess', 'munsie', 'write', 'fintech', 'ipo', 'gold', 'ru']"
13,1388221025339457537,oakhcft,2021-04-30 19:57:38,en,mrallenmiller: time weekend reading oakhcft colleague tess munsie discuss #fintech gold rush,0,2,"RT @MrAllenMiller: Just in time for your weekend reading. My @oakhcft colleague, Tess Munsie, and I discuss the #fintech gold rush and how…","[mrallenmiller:, time, weekend, reading, oakhcft, colleague, tess, munsie, discuss, #fintech, gold, rush]","['mrallenmiller', 'time', 'weekend', 'read', 'oakhcft', 'colleague', 'tess', 'munsie', 'discuss', 'fintech', 'gold', 'rush']"
14,1388221008813957123,oakhcft,2021-04-30 19:57:35,en,techcrunch: amid ipo gold rush value fintech startups mrallenmiller oakhcft,0,10,"RT @TechCrunch: Amid the IPO gold rush, how should we value fintech startups? https://t.co/FUIURjIbEJ by @MrAllenMiller and @oakhcft","[techcrunch:, amid, ipo, gold, rush, value, fintech, startups, mrallenmiller, oakhcft]","['techcrunch', 'amid', 'ipo', 'gold', 'rush', 'value', 'fintech', 'startup', 'mrallenmiller', 'oakhcft']"
15,1388178502403436547,oakhcft,2021-04-30 17:08:40,en,digassetmarkets: congratulations paxosglobal fantastic #seriesd funding round raising million billion dol,0,3,"RT @DigAssetMarkets: Congratulations to @PaxosGlobal for their fantastic #seriesD funding round, raising $300 million on a $2.4 billion dol…","[digassetmarkets:, congratulations, paxosglobal, fantastic, #seriesd, funding, round, raising, million, billion, dol]","['digassetmarkets', 'congratulation', 'paxosglobal', 'fantastic', 'seriesd', 'funding', 'round', 'raise', 'million', 'billion', 'dol']"
16,1388178480282624001,oakhcft,2021-04-30 17:08:35,en,check paxosglobal ceo charles cascarilla unchainedpod in-depth conversation founding paxos,1,0,Check out @PaxosGlobal CEO Charles Cascarilla on the @Unchained_pod for an in-depth conversation on founding Paxos… https://t.co/XalgALunvR,"[check, paxosglobal, ceo, charles, cascarilla, unchainedpod, in-depth, conversation, founding, paxos]","['check', 'paxosglobal', 'ceo', 'charles', 'cascarilla', 'unchainedpod', 'depth', 'conversation', 'found', 'paxos']"
17,1388178336367718403,oakhcft,2021-04-30 17:08:01,en,krney: paxos paypal's crypto partner raises b valuation - oak hc/ft led round participation previou,0,7,"RT @Kr00ney: Paxos, PayPal's crypto partner, raises $300M at a $2.4B valuation 

- Oak HC/FT led the round, with participation from previou…","[krney:, paxos, paypal's, crypto, partner, raises, b, valuation, -, oak, hc/ft, led, round, participation, previou]","['krney', 'paxos', 'paypal', 'crypto', 'partner', 'raise', 'b', 'valuation', 'oak', 'hc', 'ft', 'lead', 'round', 'participation', 'previou']"
18,1387852687820136455,oakhcft,2021-04-29 19:34:00,en,sidviswanathan: congrats oakhcft team leading paxosglobal series round paxos brilliant infrastructure appr,0,1,RT @sidviswanathan: Congrats to @oakhcft and team on leading the @PaxosGlobal Series D round. Paxos is such a brilliant infrastructure appr…,"[sidviswanathan:, congrats, oakhcft, team, leading, paxosglobal, series, round, paxos, brilliant, infrastructure, appr]","['sidviswanathan', 'congrats', 'oakhcft', 'team', 'lead', 'paxosglobal', 'series', 'round', 'paxos', 'brilliant', 'infrastructure', 'appr']"
19,1387852645679960065,oakhcft,2021-04-29 19:33:50,en,patriciakemp: companies approaching digital assets clear vision #blockchain technology revolutionize,0,1,RT @_PatriciaKemp: Few companies are approaching digital assets with such a clear vision as to how #blockchain technology can revolutionize…,"[patriciakemp:, companies, approaching, digital, assets, clear, vision, #blockchain, technology, revolutionize]","['patriciakemp', 'company', 'approach', 'digital', 'asset', 'clear', 'vision', 'blockchain', 'technology', 'revolutionize']"
20,1387852573500231690,oakhcft,2021-04-29 19:33:33,en,romaindillet: paxos raises million build cryptocurrency infrastructure giant,0,1,RT @romaindillet: Paxos raises $300 million to build a cryptocurrency infrastructure giant https://t.co/WP3oJl2Ara,"[romaindillet:, paxos, raises, million, build, cryptocurrency, infrastructure, giant]","['romaindillet', 'paxos', 'raise', 'million', 'build', 'cryptocurrency', 'infrastructure', 'giant']"
21,1387852548237930496,oakhcft,2021-04-29 19:33:27,en,technology: blockchain startup paxos trust valued billion raising million investors,0,5,RT @technology: Blockchain startup Paxos Trust valued at $2.4 billion after raising $300 million from investors https://t.co/60QgIUi3AX,"[technology:, blockchain, startup, paxos, trust, valued, billion, raising, million, investors]","['technology', 'blockchain', 'startup', 'paxos', 'trust', 'value', 'billion', 'raise', 'million', 'investor']"
22,1387852378246946819,oakhcft,2021-04-29 19:32:46,en,excellent recognition portfolio company trov techrounduk's top insurtech companies list,0,0,Excellent recognition for our portfolio company @trov in @TechRoundUK's 2021 Top InsurTech Companies list!… https://t.co/6oxbxWWyyu,"[excellent, recognition, portfolio, company, trov, techrounduk's, top, insurtech, companies, list]","['excellent', 'recognition', 'portfolio', 'company', 'trov', 'techrounduk', 'insurtech', 'company', 'list']"
23,1387852046842347523,oakhcft,2021-04-29 19:31:27,en,cryptobuzznews: paxosglobal raised b series round led oakhcft participation declaration partners,0,6,"RT @cryptobuzznews: . @PaxosGlobal has raised $300M at $2.4B in Series D round led by @oakhcft and participation from Declaration Partners,…","[cryptobuzznews:, paxosglobal, raised, b, series, round, led, oakhcft, participation, declaration, partners]","['cryptobuzznews', 'paxosglobal', 'raise', 'b', 'series', 'round', 'lead', 'oakhcft', 'participation', 'declaration', 'partner']"
24,1387760643642626056,oakhcft,2021-04-29 13:28:15,en,welcome oak hc/ft family paxosglobal recently led series paxos support companys,2,1,"Welcome to the Oak HC/FT family, @PaxosGlobal! 

We recently led a $300M Series D in Paxos to support the company’s… https://t.co/6sB9Mk7otu","[welcome, oak, hc/ft, family, paxosglobal, recently, led, series, paxos, support, companys]","['welcome', 'oak', 'hc', 'ft', 'family', 'paxosglobal', 'recently', 'lead', 'series', 'paxos', 'support', 'companys']"
