,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390006113970442240,pudiharicharan,2021-05-05 18:10:57,en,ikaipullai start one,0,0,@ikaipullai Start one no ?,"[ikaipullai, start, one]","['ikaipullai', 'start']"
1,1390002897769832448,pudiharicharan,2021-05-05 17:58:10,en,pinkcancerian iphone,0,0,@PinkCancerian iPhone,"[pinkcancerian, iphone]","['pinkcancerian', 'iphone']"
2,1390001306278850560,pudiharicharan,2021-05-05 17:51:51,en,pinkcancerian yeah bug-free works fine im trying join spaces getting pushed,0,0,"@PinkCancerian Yeah. When it’s bug-free, it works fine. I’m trying to join a few spaces, getting pushed out.","[pinkcancerian, yeah, bug-free, works, fine, im, trying, join, spaces, getting, pushed]","['pinkcancerian', 'yeah', 'bug', 'free', 'work', 'fine', 'be', 'try', 'join', 'space', 'get', 'push']"
3,1390000956834648065,pudiharicharan,2021-05-05 17:50:27,en,pinkcancerian still beta kada therell bugs,0,0,@PinkCancerian Still beta kada. There’ll be bugs.,"[pinkcancerian, still, beta, kada, therell, bugs]","['pinkcancerian', 'beta', 'kada', 'will', 'bug']"
4,1389990641619320836,pudiharicharan,2021-05-05 17:09:28,en,theindustryman: right ra rightuuu,0,4,RT @theindustryman1: Right ra! Rightuuu. https://t.co/UO9LYojtBe,"[theindustryman:, right, ra, rightuuu]","['theindustryman', 'right', 'ra', 'rightuuu']"
5,1389987671670333441,pudiharicharan,2021-05-05 16:57:40,en,velvetyvirgo think issue spaces android,1,0,@Velvetyvirgo Think some issue with Spaces on Android,"[velvetyvirgo, think, issue, spaces, android]","['velvetyvirgo', 'think', 'issue', 'space', 'android']"
6,1389980196409798656,pudiharicharan,2021-05-05 16:27:58,en,kishendas please try let know,2,0,@kishendas Please try it. Do let me know 😀,"[kishendas, please, try, let, know]","['kishendas', 'try', 'let', 'know']"
7,1389978903322652672,pudiharicharan,2021-05-05 16:22:49,en,dinner fun eggs homemade whey ice cream whey ice cream:- frozen banana cocoa powder gm pe,33,0,"Dinner was fun. 4 eggs and some homemade whey ice cream. 

Whey ice cream:-
1 frozen banana 
Cocoa powder 
10 gm pe… https://t.co/QINqAnYaG5","[dinner, fun, eggs, homemade, whey, ice, cream, whey, ice, cream:-, frozen, banana, cocoa, powder, gm, pe]","['dinner', 'fun', 'egg', 'homemade', 'whey', 'ice', 'cream', 'whey', 'ice', 'cream:-', 'frozen', 'banana', 'cocoa', 'powder', 'gm', 'pe']"
8,1389965501531508736,pudiharicharan,2021-05-05 15:29:34,en,#mumbaisagaonprime - vintage bollywood style action fine line right wrong stunning acting perf,8,1,"#MumbaiSagaOnPrime - Vintage Bollywood style action, the fine line between right and wrong and stunning acting perf… https://t.co/elQ96FvQpO","[#mumbaisagaonprime, -, vintage, bollywood, style, action, fine, line, right, wrong, stunning, acting, perf]","['mumbaisagaonprime', 'vintage', 'bollywood', 'style', 'action', 'fine', 'line', 'right', 'wrong', 'stunning', 'acting', 'perf']"
9,1389936481888727042,pudiharicharan,2021-05-05 13:34:15,en,vasheegaran condolences please stay strong,1,0,@Vasheegaran My condolences. Please stay strong 🙏,"[vasheegaran, condolences, please, stay, strong]","['vasheegaran', 'condolence', 'stay', 'strong']"
