,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389541452812795907,rakeshrussell52,2021-05-04 11:24:33,en,fihhockey thehockeyindia even home match new zealand bhubaneswar,0,0,@FIH_Hockey @TheHockeyIndia Even the home match against New Zealand in bhubaneswar?,"[fihhockey, thehockeyindia, even, home, match, new, zealand, bhubaneswar]","['fihhockey', 'thehockeyindia', 'home', 'match', 'new', 'zealand', 'bhubaneswar']"
1,1389541013467930625,rakeshrussell52,2021-05-04 11:22:48,en,fihhockey: indias upcoming #fihproleague away matches spain germany scheduled - may - may respectively h,0,10,"RT @FIH_Hockey: India’s upcoming #FIHProLeague away matches against Spain and Germany, scheduled on 15-16 May and 22-23 May respectively, h…","[fihhockey:, indias, upcoming, #fihproleague, away, matches, spain, germany, scheduled, -, may, -, may, respectively, h]","['fihhockey', 'indias', 'upcoming', 'fihproleague', 'away', 'match', 'spain', 'germany', 'schedule', 'respectively', 'h']"
2,1388933903801532418,rakeshrussell52,2021-05-02 19:10:22,en,jaspreetssahni: pls help,0,1,RT @JaspreetSSahni: Pls help. Those who can. 🙏,"[jaspreetssahni:, pls, help]","['jaspreetssahni', 'pls', 'help']"
3,1388847480515739652,rakeshrussell52,2021-05-02 13:26:57,en,hockeyind hi members squad hockey teams announced,0,0,@hockeyind Hi when will the 16 members squad of our hockey teams will be announced?,"[hockeyind, hi, members, squad, hockey, teams, announced]","['hockeyind', 'hi', 'member', 'squad', 'hockey', 'team', 'announce']"
4,1388445022391988225,rakeshrussell52,2021-05-01 10:47:44,en,thehockeyindia: fih hockey pro league - schedule india ready start campaign taking new zealand followed,0,1,RT @TheHockeyIndia: FIH Hockey Pro League 2021-22 schedule is out. India will be ready to start the campaign taking on New Zealand followed…,"[thehockeyindia:, fih, hockey, pro, league, -, schedule, india, ready, start, campaign, taking, new, zealand, followed]","['thehockeyindia', 'fih', 'hockey', 'pro', 'league', 'schedule', 'india', 'ready', 'start', 'campaign', 'take', 'new', 'zealand', 'follow']"
5,1388133029554663424,rakeshrussell52,2021-04-30 14:07:59,en,fihhockey: fih #fihproleague participating national associations glad announce match schedule third sea,0,14,RT @FIH_Hockey: FIH and the #FIHProLeague participating National Associations are glad to announce that the match schedule of the third sea…,"[fihhockey:, fih, #fihproleague, participating, national, associations, glad, announce, match, schedule, third, sea]","['fihhockey', 'fih', 'fihproleague', 'participate', 'national', 'association', 'glad', 'announce', 'match', 'schedule', 'sea']"
6,1387115256154034180,rakeshrussell52,2021-04-27 18:43:43,en,rudawenglish: latest: iraqi airways officially suspended flights india notice due rapid increase coronav,0,6,RT @RudawEnglish: LATEST: Iraqi Airways has officially suspended flights to India until further notice due to the rapid increase in coronav…,"[rudawenglish:, latest:, iraqi, airways, officially, suspended, flights, india, notice, due, rapid, increase, coronav]","['rudawenglish', 'late', 'iraqi', 'airways', 'officially', 'suspend', 'flight', 'india', 'notice', 'rapid', 'increase', 'coronav']"
7,1387115230984118276,rakeshrussell52,2021-04-27 18:43:37,en,newstamil sunnewstamil pttvonlinenews iraq also suspended flights india,0,0,@news7tamil @sunnewstamil @PTTVOnlineNews Now Iraq also suspended flights to India https://t.co/Nydd5V1ix1,"[newstamil, sunnewstamil, pttvonlinenews, iraq, also, suspended, flights, india]","['newstamil', 'sunnewstamil', 'pttvonlinenews', 'iraq', 'suspend', 'flight', 'india']"
8,1387114791370694664,rakeshrussell52,2021-04-27 18:41:52,en,thehockeyindia main players play event,0,0,@TheHockeyIndia Does main players will play in this event?,"[thehockeyindia, main, players, play, event]","['thehockeyindia', 'main', 'player', 'play', 'event']"
9,1387091700720545792,rakeshrussell52,2021-04-27 17:10:07,en,fihhockey: #hockeys olympiccapital host first ever senior world hockeys event - september participants,0,23,"RT @FIH_Hockey: #Hockey5s

@Olympic_Capital will host the first ever Senior World Hockey5s event on 11-12 September 2021

The participants…","[fihhockey:, #hockeys, olympiccapital, host, first, ever, senior, world, hockeys, event, -, september, participants]","['fihhockey', 'hockeys', 'olympiccapital', 'host', 'senior', 'world', 'hockeys', 'event', 'september', 'participant']"
