,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389996321658966018,rssharma3,2021-05-05 17:32:02,en,ndtv: onrealitycheck dr rs sharma (rssharma) chairperson empowered committee administration #covid vaccine wh,0,28,"RT @ndtv: .@OnReality_Check | Dr  RS Sharma (@rssharma3), Chairperson Empowered Committee for the administration of #Covid19 vaccine, on wh…","[ndtv:, onrealitycheck, dr, rs, sharma, (rssharma), chairperson, empowered, committee, administration, #covid, vaccine, wh]","['ndtv', 'onrealitycheck', 'dr', 'rs', 'sharma', 'rssharma', 'chairperson', 'empower', 'committee', 'administration', 'covid', 'vaccine', 'wh']"
1,1389618655160242176,rssharma3,2021-05-04 16:31:19,en,nehaagarwal narendramodi true neha opened registration booking third parties yet,0,0,@22NehaAgarwal @narendramodi That is not true Neha. We have not opened the Registration and Booking for third parties as yet.,"[nehaagarwal, narendramodi, true, neha, opened, registration, booking, third, parties, yet]","['nehaagarwal', 'narendramodi', 'true', 'neha', 'open', 'registration', 'book', 'party']"
2,1389556347515985927,rssharma3,2021-05-04 12:23:44,en,pavanvd thanks pavanvd suggestion,2,0,"@pavanvd Thanks, @pavanvd for your suggestion.","[pavanvd, thanks, pavanvd, suggestion]","['pavanvd', 'thanks', 'pavanvd', 'suggestion']"
3,1389535039499632640,rssharma3,2021-05-04 10:59:04,en,pibfactcheck: message claims people register #covidvaccination downloading mobile application given l,0,201,RT @PIBFactCheck: A message claims that people can register for #COVID19Vaccination by downloading a mobile application through the given l…,"[pibfactcheck:, message, claims, people, register, #covidvaccination, downloading, mobile, application, given, l]","['pibfactcheck', 'message', 'claim', 'people', 'register', 'covidvaccination', 'download', 'mobile', 'application', 'give', 'l']"
4,1389428895305265152,rssharma3,2021-05-04 03:57:17,en,bmkj samirsinha nathngatey discretion state governments,1,1,@bmkj9 @samirsinha69 @nath_ngatey This is at discretion of State Governments.,"[bmkj, samirsinha, nathngatey, discretion, state, governments]","['bmkj', 'samirsinha', 'nathngatey', 'discretion', 'state', 'government']"
5,1389428654246010881,rssharma3,2021-05-04 03:56:20,en,pavanvd thanks,1,0,@pavanvd Thanks. Will do.,"[pavanvd, thanks]","['pavanvd', 'thank']"
6,1389174982983393281,rssharma3,2021-05-03 11:08:20,en,cnbci: million people registered india's online vaccine platform says rssharma ceo indian national health,0,4,"RT @CNBCi: More than 170 million people have registered on India's online vaccine platform, says @rssharma3, CEO of Indian National Health…","[cnbci:, million, people, registered, india's, online, vaccine, platform, says, rssharma, ceo, indian, national, health]","['cnbci', 'million', 'people', 'register', 'india', 'online', 'vaccine', 'platform', 'say', 'rssharma', 'ceo', 'indian', 'national', 'health']"
7,1389174858685194240,rssharma3,2021-05-03 11:07:50,en,ashims deploy near future,2,0,@ashims1515 We will deploy this in very near future.,"[ashims, deploy, near, future]","['ashim', 'deploy', 'near', 'future']"
8,1389127348046290947,rssharma3,2021-05-03 07:59:03,hi,pushpendrakum kuchh apni buddhi bhi lagao bhatije kewal cut paste se kaam nahin chalega ismein agle sentence,0,0,@pushpendrakum Kuchh apni buddhi bhi lagao bhatije! Kewal cut and paste se kaam nahin chalega. Ismein agle sentence… https://t.co/vnXMTKtc7T,"[pushpendrakum, kuchh, apni, buddhi, bhi, lagao, bhatije, kewal, cut, paste, se, kaam, nahin, chalega, ismein, agle, sentence]","['pushpendrakum', 'kuchh', 'apni', 'buddhi', 'bhi', 'lagao', 'bhatije', 'kewal', 'cut', 'paste', 'se', 'kaam', 'nahin', 'chalega', 'ismein', 'agle', 'sentence']"
9,1389126419096031236,rssharma3,2021-05-03 07:55:21,en,co-win public api discussion forum developers active forum,62,28,Co-WIN Public API discussion forum for developers is now active at https://t.co/LmH76w0Z1q This forum is for any he… https://t.co/Sx3UAD0Mxj,"[co-win, public, api, discussion, forum, developers, active, forum]","['co', 'win', 'public', 'api', 'discussion', 'forum', 'developers', 'active', 'forum']"
10,1388541886944612354,rssharma3,2021-05-01 17:12:38,en,harishsarma pmoindia narendramodi drharshvardhan checking utility already live,3,0,@harish_sarma @PMOIndia @narendramodi @drharshvardhan Checking utility is already live at https://t.co/YhG7gjKdEm.… https://t.co/jpIqxIApaQ,"[harishsarma, pmoindia, narendramodi, drharshvardhan, checking, utility, already, live]","['harishsarma', 'pmoindia', 'narendramodi', 'drharshvardhan', 'check', 'utility', 'live']"
11,1388342766132891649,rssharma3,2021-05-01 04:01:24,en,cnnnews: #exclusive co-win chief dr rs sharma (rssharma) spoke runjhunsharmas ahead phase vaccination drive p,0,10,"RT @CNNnews18: #EXCLUSIVE | Co-WIN Chief, Dr RS Sharma (@rssharma3) spoke to @Runjhunsharmas ahead of phase 3 of the vaccination drive.

""P…","[cnnnews:, #exclusive, co-win, chief, dr, rs, sharma, (rssharma), spoke, runjhunsharmas, ahead, phase, vaccination, drive, p]","['cnnnews', 'exclusive', 'co', 'win', 'chief', 'dr', 'rs', 'sharma', 'rssharma', 'speak', 'runjhunsharma', 'ahead', 'phase', 'vaccination', 'drive', 'p']"
12,1388313227071684611,rssharma3,2021-05-01 02:04:01,en,etnowlive: #vaccineforplus govt start registration process --year-olds get vaccinated cant ge,0,9,RT @ETNOWlive: #VaccineFor18Plus | Why did the govt start the registration process for 18-44-year-olds to get vaccinated when they can’t ge…,"[etnowlive:, #vaccineforplus, govt, start, registration, process, --year-olds, get, vaccinated, cant, ge]","['etnowlive', 'vaccineforplus', 'govt', 'start', 'registration', 'process', '--year', 'old', 'vaccinate', 'not', 'ge']"
13,1388170210738245635,rssharma3,2021-04-30 16:35:43,en,mootabaacha setuaarogya pmoindia drharshvardhan thanks good idea,2,0,@mootabaacha @SetuAarogya @PMOIndia @drharshvardhan Thanks. Good idea. Will do.,"[mootabaacha, setuaarogya, pmoindia, drharshvardhan, thanks, good, idea]","['mootabaacha', 'setuaarogya', 'pmoindia', 'drharshvardhan', 'thank', 'good', 'idea']"
14,1387809600804507652,rssharma3,2021-04-29 16:42:47,hi,mohfwindia: #largestvaccinedrive #unitefightcorona cowin ',0,48,"RT @MoHFW_INDIA: #LargestVaccineDrive #Unite2FightCorona 

क्या है अस्पतालों की CoWIN से जुड़ने की प्रक्रिया? जानिये 'डॉ राम सेवक शर्मा, मु…","[mohfwindia:, #largestvaccinedrive, #unitefightcorona, cowin, ']","['mohfwindia', 'largestvaccinedrive', 'unitefightcorona', 'cowin']"
