,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1388083939936456709,stephaniekotuby,2021-04-30 10:52:55,en,sollenbergerrc: scoop: confession letter repmattgaetz's good pal joel greenberg said gaetz paid sex -year-old girl,0,2670,"RT @SollenbergerRC: SCOOP: In a confession letter, @repmattgaetz's good pal Joel Greenberg said Gaetz paid for sex with a 17-year-old girl.…","[sollenbergerrc:, scoop:, confession, letter, repmattgaetz's, good, pal, joel, greenberg, said, gaetz, paid, sex, -year-old, girl]","['sollenbergerrc', 'scoop', 'confession', 'letter', 'repmattgaetz', 'good', 'pal', 'joel', 'greenberg', 'say', 'gaetz', 'pay', 'sex', '-year', 'old', 'girl']"
1,1387939329272655876,stephaniekotuby,2021-04-30 01:18:17,en,nytimes: people live years average globally twice long century ago huge gaps remain progr,0,69,"RT @nytimes: People now live 73 years on average globally, more than twice as long as they did a century ago, but huge gaps remain in progr…","[nytimes:, people, live, years, average, globally, twice, long, century, ago, huge, gaps, remain, progr]","['nytimes', 'people', 'live', 'year', 'average', 'globally', 'twice', 'long', 'century', 'ago', 'huge', 'gap', 'remain', 'progr']"
2,1387895973976936448,stephaniekotuby,2021-04-29 22:26:00,en,kylegriffin: breaking nyt: least one giuliani warrants seeking evidence related marie yovanovitch federal authoriti,0,1950,"RT @kylegriffin1: Breaking NYT: At least one of the Giuliani warrants was seeking evidence related to Marie Yovanovitch.

Federal authoriti…","[kylegriffin:, breaking, nyt:, least, one, giuliani, warrants, seeking, evidence, related, marie, yovanovitch, federal, authoriti]","['kylegriffin', 'break', 'nyt', 'giuliani', 'warrant', 'seek', 'evidence', 'relate', 'marie', 'yovanovitch', 'federal', 'authoriti']"
3,1387561043820417026,stephaniekotuby,2021-04-29 00:15:07,en,erinschaff: national guard patrol outside capitol president biden's joint address congress april,0,107,RT @erinschaff: National Guard patrol outside the Capitol before President Biden's joint address to Congress on April 28. https://t.co/307z…,"[erinschaff:, national, guard, patrol, outside, capitol, president, biden's, joint, address, congress, april]","['erinschaff', 'national', 'guard', 'patrol', 'outside', 'capitol', 'president', 'biden', 'joint', 'address', 'congress', 'april']"
4,1387482794310443011,stephaniekotuby,2021-04-28 19:04:11,und,,0,0,https://t.co/5iq9covksF,[],[]
5,1387183589192867844,stephaniekotuby,2021-04-27 23:15:14,en,ap: president biden call free preschool three- four-year-old children part trillion package focusing,0,1143,RT @AP: President Biden will call for free preschool for all three- and four-year-old children as part of a $1 trillion package focusing on…,"[ap:, president, biden, call, free, preschool, three-, four-year-old, children, part, trillion, package, focusing]","['ap', 'president', 'biden', 'free', 'preschool', 'three-', 'year', 'old', 'child', 'trillion', 'package', 'focus']"
6,1387183422574059525,stephaniekotuby,2021-04-27 23:14:35,en,kaitlancollins: president biden plans reference january riot first address congress tomorrow night presiden,0,251,RT @kaitlancollins: President Biden plans to reference the January 6 riot during his first address to Congress tomorrow night. The presiden…,"[kaitlancollins:, president, biden, plans, reference, january, riot, first, address, congress, tomorrow, night, presiden]","['kaitlancollins', 'president', 'biden', 'plan', 'reference', 'january', 'riot', 'address', 'congress', 'tomorrow', 'night', 'presiden']"
7,1387031808164892676,stephaniekotuby,2021-04-27 13:12:07,en,seungminkim: big news jestei: senators aligning gillibrands call overhaul sex assault cases handled th,0,206,RT @seungminkim: Big news from ⁦@jestei⁩: More senators aligning with Gillibrand’s call to overhaul how sex assault cases are handled in th…,"[seungminkim:, big, news, jestei:, senators, aligning, gillibrands, call, overhaul, sex, assault, cases, handled, th]","['seungminkim', 'big', 'news', 'jestei', 'senator', 'align', 'gillibrands', 'overhaul', 'sex', 'assault', 'case', 'handle', 'th']"
8,1386808239862554624,stephaniekotuby,2021-04-26 22:23:44,en,axios: west virginia offer savings bonds people - get vaccinated,0,63,RT @axios: West Virginia will offer $100 savings bonds to people from 16-35 who get vaccinated https://t.co/AAXWlBmm6x,"[axios:, west, virginia, offer, savings, bonds, people, -, get, vaccinated]","['axios', 'west', 'virginia', 'offer', 'saving', 'bond', 'people', 'vaccinated']"
9,1386772396279881728,stephaniekotuby,2021-04-26 20:01:18,en,axios: census official said new york counted additional people state would lost congressional seat minn,0,82,"RT @axios: A Census official said if New York had counted 89 additional people, the state would not have lost a congressional seat and Minn…","[axios:, census, official, said, new, york, counted, additional, people, state, would, lost, congressional, seat, minn]","['axios', 'census', 'official', 'say', 'new', 'york', 'count', 'additional', 'people', 'state', 'lose', 'congressional', 'seat', 'minn']"
10,1386766811719471106,stephaniekotuby,2021-04-26 19:39:07,en,mkraju: dick durbin senate democrat said doesnt know yet hes invited attend bidens speech congress wedne,0,37,"RT @mkraju: Dick Durbin, No. 2 Senate Democrat, said he doesn’t know yet if he’s been invited to attend Biden’s speech to Congress on Wedne…","[mkraju:, dick, durbin, senate, democrat, said, doesnt, know, yet, hes, invited, attend, bidens, speech, congress, wedne]","['mkraju', 'dick', 'durbin', 'senate', 'democrat', 'say', 'not', 'know', 's', 'invite', 'attend', 'bidens', 'speech', 'congress', 'wedne']"
11,1386764682313207811,stephaniekotuby,2021-04-26 19:30:39,en,redistrict: breaking: new census apportionment counts tx fl co mt nc ca il mi ny oh pa wv -,0,2682,"RT @Redistrict: BREAKING: new Census apportionment counts...

TX +2
FL +1
CO, MT, NC, OR +1

CA, IL, MI, NY, OH, PA, WV -1","[redistrict:, breaking:, new, census, apportionment, counts, tx, fl, co, mt, nc, ca, il, mi, ny, oh, pa, wv, -]","['redistrict', 'break', 'new', 'census', 'apportionment', 'count', 'tx', 'fl', 'co', 'mt', 'nc', 'il', 'mi', 'ny', 'oh', 'pa', 'wv']"
12,1386637645208502273,stephaniekotuby,2021-04-26 11:05:51,en,feel good story week,1,0,And now for your feel good story of the week.... https://t.co/Q1nrmp5zyy,"[feel, good, story, week]","['feel', 'good', 'story', 'week']"
13,1386633253759721478,stephaniekotuby,2021-04-26 10:48:24,en,jenniferjjacobs: assassinating soleimani iraq us delivered major blow iran damaging wiped entire,0,190,"RT @JenniferJJacobs: By assassinating Soleimani in Iraq, US delivered major blow to Iran, more damaging than if it had wiped out an entire…","[jenniferjjacobs:, assassinating, soleimani, iraq, us, delivered, major, blow, iran, damaging, wiped, entire]","['jenniferjjacobs', 'assassinate', 'soleimani', 'iraq', 'deliver', 'major', 'blow', 'iran', 'damage', 'wipe', 'entire']"
14,1386328064683036672,stephaniekotuby,2021-04-25 14:35:42,en,ap: year stuck sweatpants slippers americans starting dress buy clothes hopeful sign fo,0,91,"RT @AP: After a year of being stuck in sweatpants and slippers, Americans are starting to dress up and buy clothes again, a hopeful sign fo…","[ap:, year, stuck, sweatpants, slippers, americans, starting, dress, buy, clothes, hopeful, sign, fo]","['ap', 'year', 'stick', 'sweatpant', 'slipper', 'americans', 'start', 'dress', 'buy', 'clothe', 'hopeful', 'sign', 'fo']"
15,1386013854208077825,stephaniekotuby,2021-04-24 17:47:08,en,thehill: maryland launches review cases handled ex-medical chief served expert defense derek chauvin trial https:,0,62,RT @thehill: Maryland launches a review of cases handled by ex-medical chief who served as expert for defense in Derek Chauvin trial https:…,"[thehill:, maryland, launches, review, cases, handled, ex-medical, chief, served, expert, defense, derek, chauvin, trial, https:]","['thehill', 'maryland', 'launch', 'review', 'case', 'handle', 'ex', 'medical', 'chief', 'serve', 'expert', 'defense', 'derek', 'chauvin', 'trial', 'https']"
16,1385718053330112513,stephaniekotuby,2021-04-23 22:11:43,en,judywoodruff: dr anthony fauci says pause authorization j j vaccine reassuring rather problematic:,0,51,"RT @JudyWoodruff: Dr. Anthony Fauci says the pause in authorization of the J &amp; J vaccine should be reassuring, rather than problematic: he…","[judywoodruff:, dr, anthony, fauci, says, pause, authorization, j, j, vaccine, reassuring, rather, problematic:]","['judywoodruff', 'dr', 'anthony', 'fauci', 'say', 'pause', 'authorization', 'j', 'j', 'vaccine', 'reassure', 'problematic']"
17,1385379105588264964,stephaniekotuby,2021-04-22 23:44:52,en,really enjoying andersoncooper host jeopardy hes natural - kind contestants entertaini,2,0,REALLY enjoying @andersoncooper as the host of @Jeopardy!  He’s so natural - kind to the contestants and entertaini… https://t.co/PmINt6PQIz,"[really, enjoying, andersoncooper, host, jeopardy, hes, natural, -, kind, contestants, entertaini]","['enjoy', 'andersoncooper', 'host', 'jeopardy', 's', 'natural', 'kind', 'contestant', 'entertaini']"
18,1385270111058153480,stephaniekotuby,2021-04-22 16:31:46,en,ap: law enforcement leaders say conviction former minneapolis police officer derek chauvin george floyd's death step,0,48,RT @AP: Law enforcement leaders say the conviction of former Minneapolis Police Officer Derek Chauvin for George Floyd's death is a step to…,"[ap:, law, enforcement, leaders, say, conviction, former, minneapolis, police, officer, derek, chauvin, george, floyd's, death, step]","['ap', 'law', 'enforcement', 'leader', 'conviction', 'minneapolis', 'police', 'officer', 'derek', 'chauvin', 'george', 'floyd', 'death', 'step']"
19,1385247349279182854,stephaniekotuby,2021-04-22 15:01:19,en,ap: long protection covid- vaccines last experts know yet they're still studying vaccinated people se,0,103,RT @AP: How long does protection from COVID-19 vaccines last? Experts don't know yet because they're still studying vaccinated people to se…,"[ap:, long, protection, covid-, vaccines, last, experts, know, yet, they're, still, studying, vaccinated, people, se]","['ap', 'long', 'protection', 'covid-', 'vaccine', 'expert', 'know', 'study', 'vaccinated', 'people', 'se']"
20,1385190713420361729,stephaniekotuby,2021-04-22 11:16:16,en,apentertainment: prince remembered: prince fans visited paisley park wednesday mark fifth anniversary death,0,50,RT @APEntertainment: PRINCE REMEMBERED: Prince fans visited Paisley Park on Wednesday to mark the fifth anniversary of his death. https://t…,"[apentertainment:, prince, remembered:, prince, fans, visited, paisley, park, wednesday, mark, fifth, anniversary, death]","['apentertainment', 'prince', 'remember', 'prince', 'fans', 'visit', 'paisley', 'park', 'wednesday', 'mark', 'fifth', 'anniversary', 'death']"
21,1385186980812804097,stephaniekotuby,2021-04-22 11:01:26,en,burned pandemic health-care workers consider leaving profession,0,0,"Burned out by the pandemic, 3 in 10 health-care workers consider leaving the profession https://t.co/T3rRgn1Dfp","[burned, pandemic, health-care, workers, consider, leaving, profession]","['burn', 'pandemic', 'health', 'care', 'worker', 'consider', 'leave', 'profession']"
22,1384928067358019585,stephaniekotuby,2021-04-21 17:52:36,en,axios: minneapolis police department press release day george floyd's death last year claimed floyd physically,0,42,"RT @axios: The Minneapolis Police Department press release from the day of George Floyd's death last year claimed that Floyd ""physically re…","[axios:, minneapolis, police, department, press, release, day, george, floyd's, death, last, year, claimed, floyd, physically]","['axios', 'minneapolis', 'police', 'department', 'press', 'release', 'day', 'george', 'floyd', 'death', 'year', 'claim', 'floyd', 'physically']"
23,1384861849041182720,stephaniekotuby,2021-04-21 13:29:28,en,jonathanvswan: former new jersey gov chris christie seriously considering running president three people familiar,0,122,"RT @jonathanvswan: Former New Jersey Gov. Chris Christie is seriously considering running for president in 2024, three people familiar with…","[jonathanvswan:, former, new, jersey, gov, chris, christie, seriously, considering, running, president, three, people, familiar]","['jonathanvswan', 'new', 'jersey', 'gov', 'chris', 'christie', 'seriously', 'consider', 'run', 'president', 'people', 'familiar']"
24,1384859261528838145,stephaniekotuby,2021-04-21 13:19:12,en,jonlemire: washington (ap) ap source: justice department announce probe policing practices minneapolis george floyd',0,486,RT @JonLemire: WASHINGTON (AP) — AP source: Justice Department to announce probe into policing practices in Minneapolis after George Floyd'…,"[jonlemire:, washington, (ap), ap, source:, justice, department, announce, probe, policing, practices, minneapolis, george, floyd']","['jonlemire', 'washington', 'ap', 'ap', 'source', 'justice', 'department', 'announce', 'probe', 'policing', 'practices', 'minneapolis', 'george', 'floyd']"
25,1384653119154446337,stephaniekotuby,2021-04-20 23:40:03,en,davidnakamura: ag garland says federal civil rights investigation george floyds death remains ongoing,0,74,RT @DavidNakamura: AG Garland says federal civil rights investigation into George Floyd’s death remains ongoing. https://t.co/wLFYcY2Pxl,"[davidnakamura:, ag, garland, says, federal, civil, rights, investigation, george, floyds, death, remains, ongoing]","['davidnakamura', 'ag', 'garland', 'say', 'federal', 'civil', 'rights', 'investigation', 'george', 'floyds', 'death', 'remain', 'ongoing']"
26,1384637133411999745,stephaniekotuby,2021-04-20 22:36:32,en,justinjm: keith ellison really made difference (see thread last year),0,551,RT @justinjm1: Keith Ellison really made the difference (see thread from last year),"[justinjm:, keith, ellison, really, made, difference, (see, thread, last, year)]","['justinjm', 'keith', 'ellison', 'difference', 'thread', 'year']"
27,1384626151327518727,stephaniekotuby,2021-04-20 21:52:54,en,philmattingly: president biden vice president harris watched verdict staff private dining room pres biden spok,0,41,"RT @Phil_Mattingly: President Biden and Vice President Harris watched the verdict with staff in the Private Dining Room. 

Pres. Biden spok…","[philmattingly:, president, biden, vice, president, harris, watched, verdict, staff, private, dining, room, pres, biden, spok]","['philmattingly', 'president', 'biden', 'vice', 'president', 'harris', 'watch', 'verdict', 'staff', 'private', 'dining', 'room', 'pres', 'biden', 'spok']"
28,1384624206617485313,stephaniekotuby,2021-04-20 21:45:10,en,jonlemire: per white house: president vice president deliver remarks later evening derek chauvin verdict,0,140,"RT @JonLemire: Per White House: ""The President and the Vice President will deliver remarks later this evening on the Derek Chauvin verdict.""","[jonlemire:, per, white, house:, president, vice, president, deliver, remarks, later, evening, derek, chauvin, verdict]","['jonlemire', 'white', 'house', 'president', 'vice', 'president', 'deliver', 'remark', 'later', 'evening', 'derek', 'chauvin', 'verdict']"
29,1384614795098218499,stephaniekotuby,2021-04-20 21:07:46,en,yamiche: jury finds derek chauvin guilty charges death george floyd,0,11409,RT @Yamiche: Jury finds Derek Chauvin GUILTY of all charges in the death of George Floyd.,"[yamiche:, jury, finds, derek, chauvin, guilty, charges, death, george, floyd]","['yamiche', 'jury', 'find', 'derek', 'chauvin', 'guilty', 'charge', 'death', 'george', 'floyd']"
30,1384590630505037828,stephaniekotuby,2021-04-20 19:31:45,en,yamiche: breaking: verdict reached trial derek chauvin read : pm et,0,4904,RT @Yamiche: BREAKING: A verdict has been reached in the trial of Derek Chauvin. It will be read between 4:30 and 5 pm ET.,"[yamiche:, breaking:, verdict, reached, trial, derek, chauvin, read, :, pm, et]","['yamiche', 'break', 'verdict', 'reach', 'trial', 'derek', 'chauvin', 'read', 'pm', 'et']"
31,1384575359396495361,stephaniekotuby,2021-04-20 18:31:04,en,kyledcheney: new: looks like exterior fencing around capitol going go back ahead potential unrest chauvin,0,134,RT @kyledcheney: NEW: Looks like the exterior fencing around the Capitol is going to go back up ahead of potential unrest over the Chauvin…,"[kyledcheney:, new:, looks, like, exterior, fencing, around, capitol, going, go, back, ahead, potential, unrest, chauvin]","['kyledcheney', 'new', 'look', 'like', 'exterior', 'fencing', 'capitol', 'go', 'ahead', 'potential', 'unrest', 'chauvin']"
32,1384458389225418754,stephaniekotuby,2021-04-20 10:46:16,en,apeurope: newly widowed queen elizabeth ii turn wednesday enters final part reign attention turns,0,55,"RT @AP_Europe: Newly widowed, Queen Elizabeth II will turn 95 on Wednesday, as she enters the final part of her reign and attention turns t…","[apeurope:, newly, widowed, queen, elizabeth, ii, turn, wednesday, enters, final, part, reign, attention, turns]","['apeurope', 'newly', 'widow', 'queen', 'elizabeth', 'ii', 'turn', 'wednesday', 'enter', 'final', 'reign', 'attention', 'turn']"
33,1384305800269635586,stephaniekotuby,2021-04-20 00:39:56,en,axios: breaking: walter mondale died transformed role us vice president serving jimmy carter w,0,2045,"RT @axios: BREAKING: Walter Mondale has died at 93. 

He transformed the role of U.S. vice president while serving under Jimmy Carter and w…","[axios:, breaking:, walter, mondale, died, transformed, role, us, vice, president, serving, jimmy, carter, w]","['axios', 'break', 'walter', 'mondale', 'die', 'transform', 'role', 'vice', 'president', 'serve', 'jimmy', 'carter', 'w']"
34,1381050333649113088,stephaniekotuby,2021-04-11 01:03:52,en,nytobits: judy mcginn librarian ohio got first vaccine covid january came thought,0,8,"RT @NYTObits: Judy McGinn, a librarian in Ohio, got her first vaccine against Covid in January but then came down with what she thought was…","[nytobits:, judy, mcginn, librarian, ohio, got, first, vaccine, covid, january, came, thought]","['nytobits', 'judy', 'mcginn', 'librarian', 'ohio', 'get', 'vaccine', 'covid', 'january', 'come', 'think']"
35,1381050175729324032,stephaniekotuby,2021-04-11 01:03:15,en,newyorker: joe biden fourth president try achieve peace middle east south asia st century theres l,0,41,RT @NewYorker: Joe Biden is the fourth President to try to achieve peace in the Middle East and South Asia in the 21st century. There’s a l…,"[newyorker:, joe, biden, fourth, president, try, achieve, peace, middle, east, south, asia, st, century, theres, l]","['newyorker', 'joe', 'biden', 'fourth', 'president', 'try', 'achieve', 'peace', 'middle', 'east', 'south', 'asia', 'st', 'century', 's', 'l']"
36,1381049469429485569,stephaniekotuby,2021-04-11 01:00:26,en,dailymail: descendants black family owned resort la's manhattan beach land returned,0,7,RT @DailyMail: Descendants of black family who owned resort on LA's Manhattan Beach will have the land RETURNED to them https://t.co/gyCpyO…,"[dailymail:, descendants, black, family, owned, resort, la's, manhattan, beach, land, returned]","['dailymail', 'descendant', 'black', 'family', 'own', 'resort', 'la', 'manhattan', 'beach', 'land', 'return']"
37,1380476625834418177,stephaniekotuby,2021-04-09 11:04:10,en,royalfamily: deep sorrow majesty queen announced death beloved husband royal highness p,0,190351,"RT @RoyalFamily: It is with deep sorrow that Her Majesty The Queen has announced the death of her beloved husband, His Royal Highness The P…","[royalfamily:, deep, sorrow, majesty, queen, announced, death, beloved, husband, royal, highness, p]","['royalfamily', 'deep', 'sorrow', 'majesty', 'queen', 'announce', 'death', 'beloved', 'husband', 'royal', 'highness', 'p']"
38,1380312663184539649,stephaniekotuby,2021-04-09 00:12:38,en,anniekarni: buttigieg grew view asphalt enemy granholm faced gop legislature blocking biggest ambitions raimondo ha,0,43,"RT @anniekarni: Buttigieg grew to view asphalt as his enemy. 

Granholm faced GOP legislature blocking her biggest ambitions. 

Raimondo ha…","[anniekarni:, buttigieg, grew, view, asphalt, enemy, granholm, faced, gop, legislature, blocking, biggest, ambitions, raimondo, ha]","['anniekarni', 'buttigieg', 'grow', 'view', 'asphalt', 'enemy', 'granholm', 'face', 'gop', 'legislature', 'block', 'big', 'ambition', 'raimondo', 'ha']"
39,1380312488189820930,stephaniekotuby,2021-04-09 00:11:56,und,maggienyt: via lukebroadwater,0,70,RT @maggieNYT: https://t.co/DmsM2K7aDi via @lukebroadwater,"[maggienyt:, via, lukebroadwater]","['maggienyt', 'lukebroadwater']"
