,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389986606522773508,terryshumaker,2021-05-05 16:53:26,en,marceelias: desk marc elias donald trump failed one term president still peddling big lie house republica,0,2502,"RT @marceelias: From the Desk of Marc Elias

Donald Trump is a failed one term president who is still peddling the Big Lie. House Republica…","[marceelias:, desk, marc, elias, donald, trump, failed, one, term, president, still, peddling, big, lie, house, republica]","['marceelias', 'desk', 'marc', 'elias', 'donald', 'trump', 'fail', 'term', 'president', 'peddle', 'big', 'lie', 'house', 'republica']"
1,1389984963030880263,terryshumaker,2021-05-05 16:46:54,en,heidi trump thinks ugly,0,0,And that Heidi that Trump thinks is so ugly. https://t.co/weYjxBtmo8,"[heidi, trump, thinks, ugly]","['heidi', 'trump', 'think', 'ugly']"
2,1389774851808841731,terryshumaker,2021-05-05 02:52:00,en,mattboxer val gal,0,0,@MattBoxer94 Val is my Gal,"[mattboxer, val, gal]","['mattboxer', 'val', 'gal']"
3,1389770336586145798,terryshumaker,2021-05-05 02:34:03,en,thatericalper cry baby janis joplin,0,0,@ThatEricAlper Cry Baby. Janis Joplin,"[thatericalper, cry, baby, janis, joplin]","['thatericalper', 'cry', 'baby', 'janis', 'joplin']"
4,1389399157727797251,terryshumaker,2021-05-04 01:59:07,en,think whigs,1,0,Think Whigs https://t.co/iLHyKKco2P,"[think, whigs]","['think', 'whig']"
5,1389398821495508993,terryshumaker,2021-05-04 01:57:47,en,drewhampshire one best warm (asking friend),0,0,@DrewHampshire So how does one best warm them? (asking for a friend),"[drewhampshire, one, best, warm, (asking, friend)]","['drewhampshire', 'good', 'warm', 'ask', 'friend']"
6,1388973365969444866,terryshumaker,2021-05-02 21:47:10,en,drewhampshire thinking dylan many nobel prizes guy win,0,0,@DrewHampshire Was thinking more of Dylan. How many Nobel Prizes did that guy win?,"[drewhampshire, thinking, dylan, many, nobel, prizes, guy, win]","['drewhampshire', 'thinking', 'dylan', 'nobel', 'prize', 'guy', 'win']"
7,1388936465745317890,terryshumaker,2021-05-02 19:20:33,en,drewhampshire question music english whig prime ministers,0,0,"@DrewHampshire Question was music, not English Whig Prime Ministers","[drewhampshire, question, music, english, whig, prime, ministers]","['drewhampshire', 'question', 'music', 'english', 'whig', 'prime', 'minister']"
8,1388916773513318405,terryshumaker,2021-05-02 18:02:18,en,'s self-evident; explanation necessary,2,0,1960's self-evident; no explanation necessary https://t.co/k8CVf2dHor,"['s, self-evident;, explanation, necessary]","['self', 'evident', 'explanation', 'necessary']"
9,1388897030483988481,terryshumaker,2021-05-02 16:43:51,en,dakota's made two states one territory republicans controlled congress,1,0,Or how about the Dakota's which were made two states out of one territory because Republicans controlled Congress a… https://t.co/Q7uVNXhzrc,"[dakota's, made, two, states, one, territory, republicans, controlled, congress]","['dakota', 'state', 'territory', 'republicans', 'control', 'congress']"
10,1388652416078340098,terryshumaker,2021-05-02 00:31:50,en,pamelaapostolo omg ; interesting,0,0,@PamelaApostolo1 OMG  I am at 9; interesting,"[pamelaapostolo, omg, ;, interesting]","['pamelaapostolo', 'omg', 'interesting']"
