,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389988173665562626,trilbyberesford,2021-05-05 16:59:39,en,thr: audible partnered independent podcast company treefort media produce original scripted audio series part multi,0,7,RT @THR: Audible has partnered with independent podcast company Treefort Media to produce original scripted audio series as part of a multi…,"[thr:, audible, partnered, independent, podcast, company, treefort, media, produce, original, scripted, audio, series, part, multi]","['thr', 'audible', 'partner', 'independent', 'podcast', 'company', 'treefort', 'medium', 'produce', 'original', 'script', 'audio', 'series', 'multi']"
1,1389378202775158785,trilbyberesford,2021-05-04 00:35:51,en,thr: 'a quiet place ii' 'mass effect legendary edition' find latest entertainment picks heat vision,0,2,"RT @THR: From 'A Quiet Place II' to 'Mass Effect Legendary Edition,' find out the latest entertainment picks from Heat Vision https://t.co/…","[thr:, 'a, quiet, place, ii', 'mass, effect, legendary, edition', find, latest, entertainment, picks, heat, vision]","['thr', 'quiet', 'place', 'ii', 'mass', 'effect', 'legendary', 'edition', 'find', 'late', 'entertainment', 'pick', 'heat', 'vision']"
2,1389364062404812802,trilbyberesford,2021-05-03 23:39:40,en,thr: league legends animated series set netflix,0,12,RT @THR: ‘League of Legends’ Animated Series Set at Netflix https://t.co/98zQKrpc30,"[thr:, league, legends, animated, series, set, netflix]","['thr', 'league', 'legends', 'animate', 'series', 'set', 'netflix']"
3,1389335143760875523,trilbyberesford,2021-05-03 21:44:45,en,thierrynguyen nice one,0,0,@ThierryNguyen Nice one!,"[thierrynguyen, nice, one]","['thierrynguyen', 'nice']"
4,1389291785373978624,trilbyberesford,2021-05-03 18:52:28,en,thr: epic v apple antitrust trial begins,0,7,RT @THR: Epic v. Apple Antitrust Trial Begins https://t.co/Wj0CJ3CoUD,"[thr:, epic, v, apple, antitrust, trial, begins]","['thr', 'epic', 'v', 'apple', 'antitrust', 'trial', 'begin']"
5,1389273243903692802,trilbyberesford,2021-05-03 17:38:47,en,pleasure chat director dougliman last week #verizon g gaming spot:,1,0,Was a pleasure to chat with director @DougLiman last week about his #Verizon 5G gaming spot: https://t.co/pv2xaLZXxU https://t.co/wgzP5Z9xk2,"[pleasure, chat, director, dougliman, last, week, #verizon, g, gaming, spot:]","['pleasure', 'chat', 'director', 'dougliman', 'week', 'verizon', 'g', 'gaming', 'spot']"
6,1388925439561801728,trilbyberesford,2021-05-02 18:36:44,en,theryanparker: 'simpsons' legend john swartzwelder finally granted interview disappoint,0,20,RT @TheRyanParker: 'Simpsons' legend John Swartzwelder finally granted an interview — and it doesn't disappoint https://t.co/M58Tl3UL9d,"[theryanparker:, 'simpsons', legend, john, swartzwelder, finally, granted, interview, disappoint]","['theryanparker', 'simpson', 'legend', 'john', 'swartzwelder', 'finally', 'grant', 'interview', 'disappoint']"
7,1388165437339308032,trilbyberesford,2021-04-30 16:16:45,en,thr: call duty endowment launches campaign raise military veterans,0,11,RT @THR: Call of Duty Endowment Launches Campaign to Raise $3M for Military Veterans https://t.co/acpVHuetUi,"[thr:, call, duty, endowment, launches, campaign, raise, military, veterans]","['thr', 'duty', 'endowment', 'launch', 'campaign', 'raise', 'military', 'veteran']"
8,1387800105453977603,trilbyberesford,2021-04-29 16:05:03,en,thr: moviepass co-founder launches app gamers million seed funding,0,9,RT @THR: Moviepass Co-Founder Launches App for Gamers With $3 Million in Seed Funding https://t.co/tB2DmiGSn3,"[thr:, moviepass, co-founder, launches, app, gamers, million, seed, funding]","['thr', 'moviepass', 'co', 'founder', 'launch', 'app', 'gamer', 'million', 'seed', 'funding']"
9,1387543323901005824,trilbyberesford,2021-04-28 23:04:42,en,mobile gaming company wildlifestudios launches second independent studio team texas australia:,1,0,Mobile gaming company @wildlifestudios launches a second independent studio with a team in Texas and Australia: https://t.co/QtO5DxMzuS,"[mobile, gaming, company, wildlifestudios, launches, second, independent, studio, team, texas, australia:]","['mobile', 'gaming', 'company', 'wildlifestudios', 'launch', 'second', 'independent', 'studio', 'team', 'texas', 'australia']"
