,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389999383429713920,vineetkumar_s,2021-05-05 17:44:12,en,rachaha: #ncr #icubed urgent pediatric icu bed required month baby chitransh pandey govt hospital/ private hospital delh,0,195,RT @rach_aha: #NCR #ICUBed Urgent Pediatric ICU bed required for 2 month baby Chitransh Pandey in a govt hospital/ private hospital in Delh…,"[rachaha:, #ncr, #icubed, urgent, pediatric, icu, bed, required, month, baby, chitransh, pandey, govt, hospital/, private, hospital, delh]","['rachaha', 'ncr', 'icubed', 'urgent', 'pediatric', 'icu', 'bed', 'require', 'month', 'baby', 'chitransh', 'pandey', 'govt', 'hospital/', 'private', 'hospital', 'delh']"
1,1389994997328584705,vineetkumar_s,2021-05-05 17:26:46,en,roshanabbas: sant nirankari covid center -new contact person: rahul mogha - beds available oxygen concentrators,0,107,"RT @roshanabbas: Sant Nirankari Covid Center -New Contact Person: Rahul Mogha - 9625565752

Beds are available with oxygen concentrators an…","[roshanabbas:, sant, nirankari, covid, center, -new, contact, person:, rahul, mogha, -, beds, available, oxygen, concentrators]","['roshanabbas', 'sant', 'nirankari', 'covid', 'center', '-new', 'contact', 'person', 'rahul', 'mogha', 'bed', 'available', 'oxygen', 'concentrator']"
2,1389968670705790979,vineetkumar_s,2021-05-05 15:42:10,en,varungrover: alert: icu beds oxygen available green city hospital #patna call confirm,0,869,"RT @varungrover: Alert: 4 ICU beds with Oxygen available in Green City Hospital, #Patna. 

You can call at 8709253652 to confirm before you…","[varungrover:, alert:, icu, beds, oxygen, available, green, city, hospital, #patna, call, confirm]","['varungrover', 'alert', 'icu', 'bed', 'oxygen', 'available', 'green', 'city', 'hospital', 'patna', 'confirm']"
3,1389950962790404097,vineetkumar_s,2021-05-05 14:31:48,und,faneebhushan pranavmatraapps imanishsharma yogitabhayana iamritapandey isudhanshuin nitishkumar,2,0,@faneebhushan @PranavMatraaPPS @iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar… https://t.co/nIwke9fWcP,"[faneebhushan, pranavmatraapps, imanishsharma, yogitabhayana, iamritapandey, isudhanshuin, nitishkumar]","['faneebhushan', 'pranavmatraapps', 'imanishsharma', 'yogitabhayana', 'iamritapandey', 'isudhanshuin', 'nitishkumar']"
4,1389946690421936128,vineetkumar_s,2021-05-05 14:14:49,en,mynameyash iamsrk venkymysore gauravverma khyatimadaan redchilliesent vfxredchillies kkriders bilals,3,0,@mynameyash @iamsrk @VenkyMysore @_GauravVerma @khyatimadaan @RedChilliesEnt @vfx_redchillies @KKRiders @BilalS158… https://t.co/TteJSmtlDH,"[mynameyash, iamsrk, venkymysore, gauravverma, khyatimadaan, redchilliesent, vfxredchillies, kkriders, bilals]","['mynameyash', 'iamsrk', 'venkymysore', 'gauravverma', 'khyatimadaan', 'redchilliesent', 'vfxredchillies', 'kkriders', 'bilal']"
5,1389942624375689217,vineetkumar_s,2021-05-05 13:58:40,hi,mynameyash iamsrk venkymysore gauravverma khyatimadaan redchilliesent vfxredchillies kkriders bilals,2,0,@mynameyash @iamsrk @VenkyMysore @_GauravVerma @khyatimadaan @RedChilliesEnt @vfx_redchillies @KKRiders @BilalS158… https://t.co/1qqSsENrUN,"[mynameyash, iamsrk, venkymysore, gauravverma, khyatimadaan, redchilliesent, vfxredchillies, kkriders, bilals]","['mynameyash', 'iamsrk', 'venkymysore', 'gauravverma', 'khyatimadaan', 'redchilliesent', 'vfxredchillies', 'kkriders', 'bilal']"
6,1389940647495442432,vineetkumar_s,2021-05-05 13:50:48,in,gauravverma srinivasiyc tehseenp dekhta hun,4,1,@_GauravVerma @srinivasiyc @tehseenp Dekhta hun,"[gauravverma, srinivasiyc, tehseenp, dekhta, hun]","['gauravverma', 'srinivasiyc', 'tehseenp', 'dekhta', 'hun']"
7,1389938064680697859,vineetkumar_s,2021-05-05 13:40:33,en,pranavmatraapps imanishsharma yogitabhayana iamritapandey isudhanshuin nitishkumar mangalpandeybjp theadityakumar drop message,0,0,@PranavMatraaPPS @iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar @mangalpandeybjp @TheAdityaKumar Drop a message,"[pranavmatraapps, imanishsharma, yogitabhayana, iamritapandey, isudhanshuin, nitishkumar, mangalpandeybjp, theadityakumar, drop, message]","['pranavmatraapps', 'imanishsharma', 'yogitabhayana', 'iamritapandey', 'isudhanshuin', 'nitishkumar', 'mangalpandeybjp', 'theadityakumar', 'drop', 'message']"
8,1389937980371001348,vineetkumar_s,2021-05-05 13:40:12,hi,imanishsharma: esi oxn lev,0,604,"RT @iManishSharma_: मेरी माँ को पुरा परिवार बर्बादी के कगार हैंभाई कोई तो मदद करो वेंटिलेटर दिलवा दो 🙏 
अभी बिहटा esi में हूँ 
Oxn lev 35…","[imanishsharma:, esi, oxn, lev]","['imanishsharma', 'esi', 'oxn', 'lev']"
9,1389918953972113409,vineetkumar_s,2021-05-05 12:24:36,en,imanishsharma yogitabhayana iamritapandey isudhanshuin nitishkumar mangalpandeybjp theadityakumar,8,2,@iManishSharma_ @yogitabhayana @iAmritapandey_ @Isudhanshu_in @NitishKumar @mangalpandeybjp @TheAdityaKumar… https://t.co/0wpkceLTZt,"[imanishsharma, yogitabhayana, iamritapandey, isudhanshuin, nitishkumar, mangalpandeybjp, theadityakumar]","['imanishsharma', 'yogitabhayana', 'iamritapandey', 'isudhanshuin', 'nitishkumar', 'mangalpandeybjp', 'theadityakumar']"
