,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1390153725696626688,warikoo,2021-05-06 03:57:30,en,parrysingh: three things courageous leaders say: im sorry messed heres plan well work together,0,416,"RT @parrysingh: The three things courageous leaders say:
1.  I’m sorry, I messed up. 
2.  Here’s the plan, we’ll work on this together. 
3.…","[parrysingh:, three, things, courageous, leaders, say:, im, sorry, messed, heres, plan, well, work, together]","['parrysingh', 'thing', 'courageous', 'leader', 'be', 'sorry', 'messed', 'heres', 'plan', 'work']"
1,1390152744057532419,warikoo,2021-05-06 03:53:36,en,rajeshlalwani sorry loss rajesh praying strength hope family th,22,0,"@rajeshlalwani I am so sorry for your loss Rajesh. 
Praying for strength and hope for you and your family during th… https://t.co/QQFVVUamSI","[rajeshlalwani, sorry, loss, rajesh, praying, strength, hope, family, th]","['rajeshlalwani', 'sorry', 'loss', 'rajesh', 'pray', 'strength', 'hope', 'family', 'th']"
2,1390151759666970629,warikoo,2021-05-06 03:49:41,en,ankurwarikoobot: people never tell wrong people tell wrong peop,0,22,"RT @AnkurWarikooBot: There are people who never tell you that you are wrong
There are people who tell you that you are wrong
There are peop…","[ankurwarikoobot:, people, never, tell, wrong, people, tell, wrong, peop]","['ankurwarikoobot', 'people', 'tell', 'wrong', 'people', 'tell', 'wrong', 'peop']"
3,1390151481760698370,warikoo,2021-05-06 03:48:35,en,kunalb freedom privilege crave freedom forever slave,303,5,"@kunalb11 Freedom is a privilege. 

But if you crave freedom, you are forever a slave!","[kunalb, freedom, privilege, crave, freedom, forever, slave]","['kunalb', 'freedom', 'privilege', 'crave', 'freedom', 'forever', 'slave']"
4,1390151008387428352,warikoo,2021-05-06 03:46:42,und,ishikaajaain,18,0,@ishikaajaain https://t.co/ytFYYFHZ54,[ishikaajaain],['ishikaajaain']
5,1389987857771601920,warikoo,2021-05-05 16:58:24,en,people twitter always believe th option poll alternate platform,80,1,"People on Twitter will always believe they will be that 1% in the 4th option. 

Same poll on an alternate platform… https://t.co/4FJ2mcMncV","[people, twitter, always, believe, th, option, poll, alternate, platform]","['people', 'twitter', 'believe', 'th', 'option', 'poll', 'alternate', 'platform']"
6,1389920315594088449,warikoo,2021-05-05 12:30:01,en,ashav feel help someone way never helped sorry :))) resist fulf,18,0,"@ash6av What you will feel when you help someone in a way you were never helped 
Sorry :))) couldn't resist. 

Fulf… https://t.co/9SCNZxfg8k","[ashav, feel, help, someone, way, never, helped, sorry, :))), resist, fulf]","['ashav', 'feel', 'help', 'way', 'help', 'sorry', 'resist', 'fulf']"
7,1389919201544921103,warikoo,2021-05-05 12:25:35,en,fulfilling thing life help someone way never helped,2295,267,The most fulfilling thing you will do in your life is to help someone in a way you were never helped.,"[fulfilling, thing, life, help, someone, way, never, helped]","['fulfil', 'thing', 'life', 'help', 'way', 'help']"
8,1389889179752931331,warikoo,2021-05-05 10:26:18,en,misterwhiii game changer,26,0,@misterwhiii It’s a game changer,"[misterwhiii, game, changer]","['misterwhiii', 'game', 'changer']"
9,1389869728135589892,warikoo,2021-05-05 09:09:00,en,yashijaiswal thank :)),29,0,@Yashi__Jaiswal Thank you :)),"[yashijaiswal, thank, :))]","['yashijaiswal', 'thank']"
10,1389869278413869060,warikoo,2021-05-05 09:07:13,en,abbasshaikh gained leadership lessons following leaders directly working indirec,8,0,@Abbasshaikh42 I have gained all my leadership lessons by following leaders. Directly by working with them. Indirec… https://t.co/rA3jhKuDpa,"[abbasshaikh, gained, leadership, lessons, following, leaders, directly, working, indirec]","['abbasshaikh', 'gain', 'leadership', 'lesson', 'follow', 'leader', 'directly', 'work', 'indirec']"
11,1389851991984132099,warikoo,2021-05-05 07:58:31,en,leadership experience understanding people motivations collectively individuall,881,64,"99% of leadership in my experience, is understanding people and their motivations. 

Not collectively. 
Individuall… https://t.co/W2uJ0v7yf5","[leadership, experience, understanding, people, motivations, collectively, individuall]","['leadership', 'experience', 'understand', 'people', 'motivation', 'collectively', 'individuall']"
12,1389793737098862593,warikoo,2021-05-05 04:07:02,en,gabbbarsingh tragically true one feels guilty laughing video,102,0,"@GabbbarSingh This is so tragically true, that one feels guilty laughing at the video.","[gabbbarsingh, tragically, true, one, feels, guilty, laughing, video]","['gabbbarsingh', 'tragically', 'true', 'feel', 'guilty', 'laugh', 'video']"
13,1389792884820426752,warikoo,2021-05-05 04:03:39,en,gabbbarsingh feeds spend time,249,6,@GabbbarSingh We are the 5 feeds we spend most time with.,"[gabbbarsingh, feeds, spend, time]","['gabbbarsingh', 'feed', 'spend', 'time']"
14,1389768986808569857,warikoo,2021-05-05 02:28:41,und,dborah,0,0,@dborah955 🙏🙏,[dborah],['dborah']
15,1389768868986454018,warikoo,2021-05-05 02:28:13,en,ankurwarikoobot: commentary always easier playing ground -warikoo,0,55,"RT @AnkurWarikooBot: Commentary, will always be easier than playing on the ground.

-@warikoo","[ankurwarikoobot:, commentary, always, easier, playing, ground, -warikoo]","['ankurwarikoobot', 'commentary', 'easy', 'playing', 'ground', '-warikoo']"
16,1389613180490375172,warikoo,2021-05-04 16:09:34,und,unfak asoftstar yup,1,0,@unfak1314 @ASoftstar Yup,"[unfak, asoftstar, yup]","['unfak', 'asoftstar', 'yup']"
17,1389606975911067653,warikoo,2021-05-04 15:44:55,und,asoftstar,151,1,@ASoftstar https://t.co/ddy04ntEYZ,[asoftstar],['asoftstar']
18,1389606579649990658,warikoo,2021-05-04 15:43:20,en,kunalb wow believe think something fds worse yr horizon wow kaafi,712,16,"@kunalb11 Wow!! 58% believe think that something other than FDs will be worse over a 10yr horizon

Just wow!

Kaafi… https://t.co/wiprjc5WOb","[kunalb, wow, believe, think, something, fds, worse, yr, horizon, wow, kaafi]","['kunalb', 'wow', 'believe', 'think', 'fds', 'bad', 'yr', 'horizon', 'wow', 'kaafi']"
19,1389605591148941318,warikoo,2021-05-04 15:39:25,en,paraschopra youtube playlist motivational scenes :) even scene uplifts whenever watch,245,12,"@paraschopra YouTube playlist of “most motivational scenes” :) 

Even this scene uplifts me, whenever I watch it.… https://t.co/scUvvZKoji","[paraschopra, youtube, playlist, motivational, scenes, :), even, scene, uplifts, whenever, watch]","['paraschopra', 'youtube', 'playlist', 'motivational', 'scene', 'scene', 'uplift', 'watch']"
20,1389504859074822147,warikoo,2021-05-04 08:59:08,en,priyansha would call knowledge advice,1,0,"@_Priyansha__ I would call that knowledge. Not advice. 

https://t.co/KOZBUhBM3E","[priyansha, would, call, knowledge, advice]","['priyansha', 'knowledge', 'advice']"
21,1389504695136186370,warikoo,2021-05-04 08:58:29,en,ashav one clueless seek advice instead knowledge help distinction importan,9,0,"@ash6av When one is clueless, what they seek is not advice, instead knowledge or help.

The distinction is importan… https://t.co/HMZCFFIE6u","[ashav, one, clueless, seek, advice, instead, knowledge, help, distinction, importan]","['ashav', 'clueless', 'seek', 'advice', 'instead', 'knowledge', 'help', 'distinction', 'importan']"
22,1389498401331449857,warikoo,2021-05-04 08:33:29,en,advice seek know answer hoping better one,1391,95,Advice is what we seek when we know the answer but are hoping there is a better one!,"[advice, seek, know, answer, hoping, better, one]","['advice', 'seek', 'know', 'answer', 'hope', 'better']"
23,1389497822253182977,warikoo,2021-05-04 08:31:11,en,ankurwarikoobot: someone carries well mean heavy everyone carries heavy load -warikoo,0,56,"RT @AnkurWarikooBot: Just because someone carries it well, doesn't mean it isn't heavy.

Everyone carries a heavy load.

-@warikoo","[ankurwarikoobot:, someone, carries, well, mean, heavy, everyone, carries, heavy, load, -warikoo]","['ankurwarikoobot', 'carry', 'mean', 'heavy', 'carry', 'heavy', 'load', '-warikoo']"
24,1389258105452589062,warikoo,2021-05-03 16:38:38,en,naval: pain fact suffering choice,0,2947,"RT @naval: Pain is a fact. 

Suffering is a choice.","[naval:, pain, fact, suffering, choice]","['naval', 'pain', 'fact', 'suffer', 'choice']"
