,id,username,created_at,lang,cleaned_tweets,favorite_count,retweet_count,text,tokens,lemmas
0,1389996619211284480,yisongyue,2021-05-05 17:33:13,en,rasbt zacharylipton statements appear true depending sample papers one reads,1,0,@rasbt @zacharylipton Both statements can appear to be true depending on the sample of papers one reads.,"[rasbt, zacharylipton, statements, appear, true, depending, sample, papers, one, reads]","['rasbt', 'zacharylipton', 'statement', 'appear', 'true', 'depend', 'sample', 'paper', 'read']"
1,1389963283260530689,yisongyue,2021-05-05 15:20:45,en,pappasg: working interface machine learning control systems consider submitting regular paper technical,0,9,RT @pappasg69: Working on the interface between machine learning and control systems? Consider submitting a regular paper or a technical no…,"[pappasg:, working, interface, machine, learning, control, systems, consider, submitting, regular, paper, technical]","['pappasg', 'work', 'interface', 'machine', 'learn', 'control', 'system', 'consider', 'submit', 'regular', 'paper', 'technical']"
2,1389521254793818115,yisongyue,2021-05-04 10:04:17,en,smandt: new paper: hierarchical autoregressive modeling neural video compression tomorrow (tuesday) pm pdt #iclr (with rui,0,5,"RT @s_mandt: New paper: hierarchical autoregressive modeling for neural video compression. Tomorrow (Tuesday), 5pm PDT. #ICLR2021 (with Rui…","[smandt:, new, paper:, hierarchical, autoregressive, modeling, neural, video, compression, tomorrow, (tuesday), pm, pdt, #iclr, (with, rui]","['smandt', 'new', 'paper', 'hierarchical', 'autoregressive', 'model', 'neural', 'video', 'compression', 'tomorrow', 'tuesday', 'pm', 'pdt', 'iclr', 'rui']"
3,1389359116720566275,yisongyue,2021-05-03 23:20:01,en,controlmeetsml: next talk: may : steve brunton (uw) eigensteve data-driven dynamical systems control please visit http,0,9,"RT @ControlMeetsML: Our next talk:
May 5: Steve Brunton (UW) @eigensteve  

“Data-Driven Dynamical Systems and Control” 

Please visit http…","[controlmeetsml:, next, talk:, may, :, steve, brunton, (uw), eigensteve, data-driven, dynamical, systems, control, please, visit, http]","['controlmeetsml', 'talk', 'steve', 'brunton', 'uw', 'eigensteve', 'data', 'drive', 'dynamical', 'system', 'control', 'visit', 'http']"
4,1389283889009500161,yisongyue,2021-05-03 18:21:05,en,nasamarshall: four books nasajpl's ingenuity #marshelicopter completed another record-setting flight friday traveling ov,0,221,"RT @NASA_Marshall: Four in the books!

@NASAJPL's Ingenuity #MarsHelicopter completed another record-setting flight on Friday, traveling ov…","[nasamarshall:, four, books, nasajpl's, ingenuity, #marshelicopter, completed, another, record-setting, flight, friday, traveling, ov]","['nasamarshall', 'book', 'nasajpl', 'ingenuity', 'marshelicopter', 'complete', 'record', 'set', 'flight', 'friday', 'travel', 'ov']"
5,1389256816064753669,yisongyue,2021-05-03 16:33:30,en,wenzeljakob: last year group pondering great deal differentiable rendering understand theoretical,0,113,"RT @wenzeljakob: During the last year, my group has been pondering a great deal about differentiable rendering to understand it theoretical…","[wenzeljakob:, last, year, group, pondering, great, deal, differentiable, rendering, understand, theoretical]","['wenzeljakob', 'year', 'group', 'ponder', 'great', 'deal', 'differentiable', 'rendering', 'understand', 'theoretical']"
6,1389253527143260162,yisongyue,2021-05-03 16:20:26,en,masahiroono: strongly reminds hsue-shen tsien co-founder jpl made substantial contribution american rocketry,0,13,"RT @masahiro_ono: This strongly reminds me of Hsue-Shen Tsien, a co-founder of JPL who made a substantial contribution to American rocketry…","[masahiroono:, strongly, reminds, hsue-shen, tsien, co-founder, jpl, made, substantial, contribution, american, rocketry]","['masahiroono', 'strongly', 'remind', 'hsue', 'shen', 'tsien', 'co', 'founder', 'jpl', 'substantial', 'contribution', 'american', 'rocketry']"
7,1389247729159655424,yisongyue,2021-05-03 15:57:24,en,nianshuang wang helped design covid- vaccine also considered leaving us much troubl,54,9,Nianshuang Wang helped design the COVID-19 vaccine. He also considered leaving the US because he had so much troubl… https://t.co/WfTowOhzrM,"[nianshuang, wang, helped, design, covid-, vaccine, also, considered, leaving, us, much, troubl]","['nianshuang', 'wang', 'help', 'design', 'covid-', 'vaccine', 'consider', 'leave', 'troubl']"
8,1389212103093886980,yisongyue,2021-05-03 13:35:50,en,yuqirose: today pdt pdt - poster session #iclr see,0,3,RT @yuqirose: Today 9 a.m. PDT — 11 a.m. PDT - Poster Session 02 at #ICLR2021. See you there!,"[yuqirose:, today, pdt, pdt, -, poster, session, #iclr, see]","['yuqirose', 'today', 'pdt', 'pdt', 'poster', 'session', 'iclr']"
9,1389043490743406593,yisongyue,2021-05-03 02:25:50,en,geomblog: exactly,0,19,"RT @geomblog: This is exactly it. 

https://t.co/GTE8Z3YHNf","[geomblog:, exactly]","['geomblog', 'exactly']"
