username,interest_vector,Politics,Entertainment,Healthcare,Sports,Entrepreneurship,ScienceandTech
viewfinderfc,"[0.24, 0.54, 0.17, 0.26, 0.31, 0.25]",0.24,0.54,0.17,0.26,0.31,0.25
FHF_Official,"[0.18, 0.48, 0.13, 0.18, 0.2, 0.19]",0.18,0.48,0.13,0.18,0.2,0.19
lisaschwarzbaum,"[0.48, 0.62, 0.34, 0.43, 0.57, 0.48]",0.48,0.62,0.34,0.43,0.57,0.48
zlatko_minev,"[0.26, 0.33, 0.22, 0.24, 0.38, 0.34]",0.26,0.33,0.22,0.24,0.38,0.34
tanyabasu,"[0.49, 0.58, 0.44, 0.44, 0.64, 0.63]",0.49,0.58,0.44,0.44,0.64,0.63
astrocaits,"[0.44, 0.48, 0.42, 0.4, 0.58, 0.56]",0.44,0.48,0.42,0.4,0.58,0.56
garyvee,"[0.29, 0.37, 0.22, 0.27, 0.45, 0.31]",0.29,0.37,0.22,0.27,0.45,0.31
mcuban,"[0.45, 0.45, 0.36, 0.41, 0.6, 0.47]",0.45,0.45,0.36,0.41,0.6,0.47
philipvandusen,"[0.33, 0.39, 0.26, 0.27, 0.58, 0.37]",0.33,0.39,0.26,0.27,0.58,0.37
michaelmina_lab,"[0.32, 0.29, 0.47, 0.29, 0.39, 0.41]",0.32,0.29,0.47,0.29,0.39,0.41
cmyeaton,"[0.45, 0.36, 0.72, 0.35, 0.51, 0.55]",0.45,0.36,0.72,0.35,0.51,0.55
ashishkjha,"[0.49, 0.38, 0.71, 0.37, 0.49, 0.54]",0.49,0.38,0.71,0.37,0.49,0.54
ChrisHammer180,"[0.33, 0.42, 0.25, 0.56, 0.42, 0.35]",0.33,0.42,0.25,0.56,0.42,0.35
Richard_Mann11,"[0.36, 0.45, 0.26, 0.52, 0.47, 0.36]",0.36,0.45,0.26,0.52,0.47,0.36
nassercricket,"[0.25, 0.32, 0.19, 0.35, 0.33, 0.25]",0.25,0.32,0.19,0.35,0.33,0.25
JMullinsGrissom,"[0.61, 0.45, 0.44, 0.39, 0.54, 0.48]",0.61,0.45,0.44,0.39,0.54,0.48
revathii95,"[0.34, 0.25, 0.34, 0.25, 0.26, 0.29]",0.34,0.25,0.34,0.25,0.26,0.29
RuhiTewari,"[0.29, 0.21, 0.33, 0.22, 0.22, 0.26]",0.29,0.21,0.33,0.22,0.22,0.26
mspecter,"[0.43, 0.38, 0.33, 0.31, 0.46, 0.46]",0.43,0.38,0.33,0.31,0.46,0.46
ShamikaRavi,"[0.31, 0.25, 0.4, 0.25, 0.28, 0.31]",0.31,0.25,0.4,0.25,0.28,0.31
engineers_feed,"[0.27, 0.26, 0.22, 0.29, 0.33, 0.34]",0.27,0.26,0.22,0.29,0.33,0.34
